#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210312   22:29:29      2    10     2    59    48     -     0     0     0     0  5508  1379     0     0
 20210312   22:29:34      2   711     2   141    53     -    97    48     0     0  5005  1885     0     0
 20210312   22:29:39      2   711     2   144    55     -    97    48     0     0  5005  1885     0     0
 20210312   22:29:44      2   711     2   150    57     -    97    47     0     0  5005  1873     0     0
 20210312   22:29:49      2   711     2   142    59     -    97    48     0     0  5005  1873     0     0
 20210312   22:29:54      2   711     2   144    61     -    97    47     0     0  5005  1860     0     0
 20210312   22:29:59      2   711     2   144    63     -    97    47     0     0  5005  1860     0     0
 20210312   22:30:04      2   711     2   146    64     -    97    47     0     0  5005  1860     0     0
 20210312   22:30:09      2   711     2   148    65     -    97    47     0     0  5005  1860     0     0
 20210312   22:30:14      2   711     2   148    67     -    97    47     0     0  5005  1860     0     0
 20210312   22:30:19      2   711     2   147    68     -    97    47     0     0  5005  1860     0     0
 20210312   22:30:24      2   711     2   148    69     -    97    48     0     0  5005  1860     0     0
 20210312   22:30:29      2   711     2   150    70     -    97    47     0     0  5005  1860     0     0
 20210312   22:30:34      2   711     2   139    71     -    97    47     0     0  5005  1847     0     0
 20210312   22:30:39      2   711     2   140    72     -    97    47     0     0  5005  1847     0     0
 20210312   22:30:44      2   711     2   154    72     -    97    47     0     0  5005  1847     0     0
 20210312   22:30:49      2   723     2   153    73     -    97    47     0     0  5005  1847     0     0
 20210312   22:30:54      2   723     2   154    73     -    97    47     0     0  5005  1847     0     0
 20210312   22:30:59      2   723     2   162    74     -    97    47     0     0  5005  1847     0     0
 20210312   22:31:04      2   723     2   153    74     -    97    47     0     0  5005  1847     0     0
 20210312   22:31:09      2   723     2   154    75     -    97    47     0     0  5005  1847     0     0
 20210312   22:31:14      2   723     2   154    75     -    97    47     0     0  5005  1847     0     0
 20210312   22:31:19      2   723     2   149    76     -    97    47     0     0  5005  1822     0     0
 20210312   22:31:24      2   723     2   150    76     -    97    47     0     0  5005  1822     0     0
 20210312   22:31:29      2   723     2   152    76     -    97    47     0     0  5005  1822     0     0
 20210312   22:31:34      2   723     2   152    76     -    97    47     0     0  5005  1822     0     0
 20210312   22:31:39      2   723     2   151    77     -    97    47     0     0  5005  1822     0     0
 20210312   22:31:44      2   723     2   152    77     -    97    47     0     0  5005  1822     0     0
 20210312   22:31:49      2   723     2   152    77     -    97    47     0     0  5005  1822     0     0
 20210312   22:31:54      2   723     2   150    77     -    97    47     0     0  5005  1822     0     0
 20210312   22:31:59      2   723     2   152    77     -    97    47     0     0  5005  1822     0     0
 20210312   22:32:05      2   723     2   155    78     -    97    47     0     0  5005  1822     0     0
 20210312   22:32:10      2   723     2   152    78     -    97    47     0     0  5005  1822     0     0
 20210312   22:32:15      2   723     2   153    78     -    97    47     0     0  5005  1822     0     0
 20210312   22:32:20      2   723     2   152    78     -    97    47     0     0  5005  1822     0     0
 20210312   22:32:25      2   723     2   153    78     -    97    47     0     0  5005  1822     0     0
 20210312   22:32:30      2   723     2   153    79     -    97    47     0     0  5005  1822     0     0
 20210312   22:32:35      2   723     2   153    79     -    97    47     0     0  5005  1822     0     0
 20210312   22:32:40      2   723     2   154    79     -    97    47     0     0  5005  1822     0     0
 20210312   22:32:45      2   723     2   154    79     -    97    47     0     0  5005  1822     0     0
 20210312   22:32:50      2   723     2   154    79     -    97    47     0     0  5005  1822     0     0
 20210312   22:32:55      2   723     2   155    80     -    97    47     0     0  5005  1822     0     0
 20210312   22:33:00      2   723     2   155    80     -    97    47     0     0  5005  1822     0     0
 20210312   22:33:05      2   723     2   152    80     -    97    47     0     0  5005  1822     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210312   22:33:10      2   723     2   154    80     -    97    47     0     0  5005  1822     0     0
 20210312   22:33:15      2   723     2   155    80     -    97    47     0     0  5005  1822     0     0
 20210312   22:33:20      2   723     2   154    80     -    97    47     0     0  5005  1822     0     0
