#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210313   08:39:20      2    10     2    60    40     -     0     0     0     0  5508  1480     0     0
 20210313   08:39:25      2   353     2   108    44     -    86    13     0     0  5005  1885     0     0
 20210313   08:39:30      2   353     2   109    46     -    86    13     0     0  5005  1885     0     0
 20210313   08:39:35      2   353     2   110    48     -    86    13     0     0  5005  1885     0     0
 20210313   08:39:40      2   353     2   112    50     -    86    13     0     0  5005  1885     0     0
 20210313   08:39:45      2   353     2   112    52     -    86    13     0     0  5005  1885     0     0
 20210313   08:39:50      2   353     2   113    53     -    86    13     0     0  5005  1885     0     0
 20210313   08:39:55      2   353     2   112    54     -    87    13     0     0  5005  1873     0     0
 20210313   08:40:00      2   353     2   113    56     -    86    13     0     0  5005  1873     0     0
 20210313   08:40:05      2   353     2   115    57     -    86    13     0     0  5005  1873     0     0
 20210313   08:40:10      2   353     2   115    58     -    86    13     0     0  5005  1873     0     0
 20210313   08:40:15      2   353     2   115    59     -    86    13     0     0  5005  1860     0     0
 20210313   08:40:20      2   353     2   118    59     -    87    13     0     0  5005  1860     0     0
 20210313   08:40:25      2   353     2   115    60     -    86    13     0     0  5005  1860     0     0
 20210313   08:40:30      2   353     2   114    61     -    86    13     0     0  5005  1860     0     0
 20210313   08:40:35      2   373     2   115    62     -    80    12     0     0  5005  1860     0     0
 20210313   08:40:40      2   373     2   116    62     -    87    13     0     0  5005  1860     0     0
 20210313   08:40:45      2   373     2   117    63     -    87    13     0     0  5005  1860     0     0
 20210313   08:40:50      2   373     2   116    64     -    82    13     0     0  5005  1860     0     0
 20210313   08:40:55      2   373     2   118    64     -    87    13     0     0  5005  1860     0     0
 20210313   08:41:00      2   373     2   120    65     -    87    13     0     0  5005  1860     0     0
 20210313   08:41:05      2   373     2   119    65     -    78    12     0     0  5005  1860     0     0
 20210313   08:41:10      2   373     2   119    66     -    86    13     0     0  5005  1860     0     0
 20210313   08:41:15      2   373     2   120    66     -    86    13     0     0  5005  1860     0     0
 20210313   08:41:20      2   373     2   120    66     -    86    13     0     0  5005  1860     0     0
