#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20191025	18:02:34	2	10	2	10	37	-	0	0	0	0	405	139	0	0
20191025	18:02:39	2	10	2	10	38	-	0	0	0	0	405	139	100	0
20191025	18:02:44	2	10	2	10	37	-	0	0	0	0	405	139	0	0
20191025	18:02:49	2	1757	2	194	44	-	82	41	0	0	5005	1898	100	0
20191025	18:02:54	2	1769	2	222	49	-	88	46	0	0	5005	1885	0	0
20191025	18:02:59	2	2699	2	222	53	-	76	38	0	0	5005	1885	0	0
20191025	18:03:04	2	2699	2	198	56	-	94	50	0	0	5005	1873	0	0
20191025	18:03:09	2	2699	2	223	60	-	64	27	0	0	5005	1860	0	0
20191025	18:03:14	2	2699	2	224	62	-	44	12	0	0	5005	1835	0	0
20191025	18:03:19	2	2699	2	228	65	-	84	46	0	0	5005	1860	0	0
20191025	18:03:24	2	2699	2	227	68	-	96	55	0	0	5005	1860	0	0
20191025	18:03:30	2	2699	2	232	70	-	96	53	0	0	5005	1847	0	0
20191025	18:03:35	2	3299	2	236	72	-	95	53	0	0	5005	1847	0	0
20191025	18:03:40	2	3299	2	240	74	-	97	56	0	0	5005	1847	0	0
20191025	18:03:45	2	3299	2	232	75	-	50	16	0	0	5005	1835	0	0
20191025	18:03:50	2	3299	2	241	77	-	68	27	0	0	5005	1809	0	0
20191025	18:03:55	2	3301	2	119	77	-	67	27	0	0	5005	1835	0	0
20191025	18:04:00	2	3301	2	181	79	-	93	49	0	0	5005	1835	0	0
20191025	18:04:05	2	3301	2	213	80	-	95	51	0	0	5005	1822	0	0
20191025	18:04:10	2	3301	2	136	80	-	74	32	0	0	5005	1822	0	0
20191025	18:04:15	2	3301	2	230	81	-	78	39	0	0	5005	1822	0	0
20191025	18:04:20	2	3301	2	232	82	-	78	37	0	0	5005	1822	0	0
20191025	18:04:25	2	3301	2	227	83	-	95	50	0	0	5005	1822	0	0
20191025	18:04:31	2	3301	2	225	83	-	96	55	0	0	5005	1822	0	0
20191025	18:04:36	2	3301	2	122	83	-	76	33	0	0	5005	1822	0	0
20191025	18:04:41	2	3991	2	111	84	-	96	53	0	0	5005	1784	0	0
20191025	18:04:46	2	3991	2	227	84	-	53	19	0	0	5005	1797	0	0
20191025	18:04:51	2	3991	2	205	84	-	95	50	0	0	5005	1759	0	0
20191025	18:04:56	2	3991	2	133	83	-	92	46	0	0	5005	1708	0	0
20191025	18:05:01	2	3993	2	129	84	-	79	36	0	0	5005	1822	0	0
