#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20191025	18:02:25	1	10	2	8	39	-	0	0	0	0	405	139	0	0
20191025	18:02:30	1	10	2	9	39	-	0	0	0	0	405	139	0	0
20191025	18:02:35	1	435	2	57	40	-	0	0	0	0	5005	1480	100	0
20191025	18:02:40	1	1433	2	201	47	-	78	32	0	0	5005	1860	0	0
20191025	18:02:45	1	1517	2	135	50	-	90	45	0	0	5005	1847	0	0
20191025	18:02:50	1	1601	2	173	55	-	84	43	0	0	5005	1847	0	0
20191025	18:02:55	1	1601	2	215	58	-	70	26	0	0	5005	1847	0	0
20191025	18:03:00	1	1601	2	200	61	-	76	35	0	0	5005	1835	0	0
20191025	18:03:05	1	1603	2	214	63	-	82	29	0	0	5005	1822	0	0
20191025	18:03:10	1	1787	2	168	67	-	71	23	0	0	5005	1822	0	0
20191025	18:03:15	1	1787	2	169	69	-	92	46	0	0	5005	1809	0	0
20191025	18:03:20	1	1987	2	216	71	-	71	26	0	0	5005	1809	0	0
20191025	18:03:26	1	1987	2	229	73	-	86	35	0	0	5005	1809	0	0
20191025	18:03:31	1	1987	2	230	75	-	90	43	0	0	5005	1797	0	0
20191025	18:03:36	1	1987	2	89	76	-	83	31	0	0	5005	1797	0	0
20191025	18:03:41	1	1987	2	207	78	-	75	36	0	0	5005	1797	0	0
20191025	18:03:46	1	1987	2	233	79	-	69	24	0	0	5005	1797	0	0
20191025	18:03:51	1	1989	2	205	81	-	75	33	0	0	5005	1797	0	0
20191025	18:03:56	1	1989	2	217	81	-	74	27	0	0	5005	1797	0	0
20191025	18:04:01	1	1989	2	132	82	-	92	46	0	0	5005	1797	0	0
20191025	18:04:06	1	1989	2	115	83	-	88	43	0	0	5005	1797	0	0
20191025	18:04:11	1	1989	2	155	82	-	91	35	0	0	5005	1480	0	0
20191025	18:04:16	1	1989	2	85	83	-	81	37	0	0	5005	1683	0	0
20191025	18:04:21	1	1989	2	185	84	-	30	9	0	0	5005	1683	0	0
20191025	18:04:26	1	1989	2	124	84	-	92	39	0	0	5005	1480	0	0
20191025	18:04:31	1	1989	2	132	84	-	92	41	0	0	5005	1480	0	0
20191025	18:04:36	1	1989	2	136	83	-	76	31	0	0	5005	1480	0	0
20191025	18:04:42	1	1989	2	195	84	-	77	36	0	0	5005	1657	0	0
20191025	18:04:47	1	1989	2	236	85	-	72	26	0	0	5005	1771	0	0
20191025	18:04:52	1	1989	2	225	85	-	74	29	0	0	5005	1784	0	0
20191025	18:04:57	1	1989	2	142	85	-	76	31	0	0	5005	1480	0	0
20191025	18:05:02	1	1989	2	116	85	-	91	43	0	0	5005	1721	0	0
20191025	18:05:07	1	1989	2	131	85	-	94	48	0	0	5005	1645	0	0
20191025	18:05:13	1	1989	2	102	85	-	92	39	0	0	5005	1480	0	0
20191025	18:05:18	1	1989	2	187	85	-	72	25	0	0	5005	1544	0	0
20191025	18:05:23	1	1989	2	82	85	-	93	41	0	0	5005	1695	0	0
20191025	18:05:29	1	1989	2	115	85	-	92	44	0	0	5005	1620	0	0
20191025	18:05:34	1	1989	2	220	86	-	73	30	0	0	5005	1784	0	0
20191025	18:05:40	1	1989	2	184	86	-	72	27	0	0	5005	1645	0	0
20191025	18:05:45	1	1989	2	134	86	-	92	38	0	0	5005	1480	0	0
20191025	18:05:51	1	1989	2	84	86	-	92	44	0	0	5005	1657	0	0
20191025	18:05:56	1	1989	2	218	87	-	73	29	0	0	5005	1746	0	0
20191025	18:06:02	1	1989	2	178	86	-	90	41	0	0	5005	1721	0	0
20191025	18:06:07	1	1989	2	135	86	-	72	27	0	0	5005	1632	0	0
20191025	18:06:12	1	2341	2	90	86	-	86	35	0	0	5005	1480	0	0
20191025	18:06:18	1	2341	2	116	85	-	76	26	0	0	5005	1607	0	0
20191025	18:06:23	1	2341	2	115	85	-	77	32	0	0	5005	1493	0	0
20191025	18:06:29	1	2341	2	85	85	-	92	43	0	0	5005	1544	0	0
20191025	18:06:34	1	2341	2	168	85	-	74	26	0	0	5005	1531	0	0
20191025	18:06:39	1	2341	2	205	85	-	68	20	0	0	5005	1632	0	0
20191025	18:06:44	1	2341	2	179	85	-	83	30	0	0	5005	1632	0	0
20191025	18:06:49	1	2341	2	231	86	-	77	35	0	0	5005	1784	0	0
20191025	18:06:55	1	2341	2	154	85	-	91	36	0	0	5005	1480	0	0
20191025	18:07:00	1	2341	2	103	85	-	90	38	0	0	5005	1632	0	0
20191025	18:07:05	1	2341	2	222	85	-	71	29	0	0	5005	1784	0	0
20191025	18:07:11	1	2341	2	170	85	-	72	23	0	0	5005	1632	0	0
20191025	18:07:17	1	2341	2	154	85	-	76	33	0	0	5005	1632	0	0
20191025	18:07:23	1	2341	2	222	86	-	71	40	0	0	5005	1733	0	0
20191025	18:07:29	1	2341	2	190	86	-	74	28	0	0	5005	1670	0	0
20191025	18:07:35	1	2341	2	148	86	-	86	37	0	0	5005	1480	0	0
20191025	18:07:40	1	2341	2	105	86	-	93	43	0	0	5005	1594	0	0
20191025	18:07:45	1	2341	2	155	86	-	74	26	0	0	5005	1531	0	0
20191025	18:07:50	1	2341	2	220	87	-	74	36	0	0	5005	1784	0	0
20191025	18:07:55	1	2341	2	191	87	-	73	28	0	0	5005	1721	0	0
20191025	18:08:01	1	2341	2	109	86	-	88	35	0	0	5005	1582	0	0
20191025	18:08:06	1	2341	2	158	86	-	75	28	0	0	5005	1480	0	0
20191025	18:08:12	1	2341	2	200	86	-	89	39	0	0	5005	1746	0	0
20191025	18:08:18	1	2341	2	114	86	-	87	37	0	0	5005	1784	0	0
20191025	18:08:24	1	2341	2	220	86	-	91	31	0	0	5005	1493	0	0
20191025	18:08:29	1	2341	2	170	86	-	76	31	0	0	5005	1620	0	0
20191025	18:08:35	1	2341	2	141	85	-	92	42	0	0	5005	1594	0	0
20191025	18:08:41	1	2341	2	202	85	-	73	28	0	0	5005	1733	0	0
20191025	18:08:47	1	2341	2	229	86	-	74	27	0	0	5005	1721	0	0
20191025	18:08:52	1	2341	2	226	86	-	74	28	0	0	5005	1733	0	0
20191025	18:08:57	1	2341	2	172	86	-	71	24	0	0	5005	1544	0	0
20191025	18:09:02	1	2341	2	232	86	-	87	36	0	0	5005	1683	0	0
20191025	18:09:07	1	2341	2	222	87	-	75	30	0	0	5005	1695	0	0
20191025	18:09:12	1	2341	2	135	86	-	92	40	0	0	5005	1480	0	0
20191025	18:09:18	1	2341	2	95	86	-	92	44	0	0	5005	1771	0	0
20191025	18:09:24	1	2341	2	200	87	-	76	36	0	0	5005	1721	0	0
20191025	18:09:29	1	2341	2	111	86	-	91	38	0	0	5005	1480	0	0
20191025	18:09:35	1	2341	2	188	85	-	73	25	0	0	5005	1518	0	0
20191025	18:09:41	1	2341	2	142	85	-	92	41	0	0	5005	1480	0	0
20191025	18:09:47	1	2341	2	144	85	-	93	43	0	0	5005	1480	0	0
20191025	18:09:52	1	2341	2	96	85	-	86	30	0	0	5005	1784	0	0
20191025	18:09:58	1	2341	2	101	84	-	88	32	0	0	5005	1632	0	0
20191025	18:10:03	1	2341	2	218	86	-	75	26	0	0	5005	1759	0	0
20191025	18:10:08	1	2341	2	175	85	-	74	24	0	0	5005	1632	0	0
20191025	18:10:14	1	2341	2	227	86	-	73	24	0	0	5005	1480	0	0
20191025	18:10:19	1	2341	2	216	86	-	89	39	0	0	5005	1784	0	0
20191025	18:10:24	1	2341	2	183	86	-	70	21	0	0	5005	1607	0	0
20191025	18:10:30	1	2341	2	115	85	-	91	36	0	0	5005	1518	0	0
20191025	18:10:35	1	2341	2	213	86	-	85	36	0	0	5005	1582	0	0
20191025	18:10:40	1	2341	2	216	85	-	90	40	0	0	5005	1721	0	0
20191025	18:10:45	1	2341	2	191	86	-	76	35	0	0	5005	1759	0	0
20191025	18:10:50	1	2341	2	86	85	-	90	33	0	0	5005	1480	0	0
20191025	18:10:55	1	2341	2	80	85	-	93	43	0	0	5005	1480	0	0
20191025	18:11:00	1	2341	2	148	86	-	77	34	0	0	5005	1632	0	0
20191025	18:11:06	1	2341	2	171	85	-	71	26	0	0	5005	1556	0	0
20191025	18:11:11	1	2341	2	233	85	-	77	28	0	0	5005	1670	0	0
20191025	18:11:16	1	2341	2	88	85	-	90	39	0	0	5005	1632	0	0
20191025	18:11:22	1	2341	2	200	85	-	87	31	0	0	5005	1480	0	0
20191025	18:11:27	1	2341	2	120	86	-	74	28	0	0	5005	1733	0	0
20191025	18:11:33	1	2341	2	162	85	-	92	40	0	0	5005	1480	0	0
20191025	18:11:38	1	3157	2	198	86	-	77	36	0	0	5005	1721	0	0
20191025	18:11:44	1	3157	2	107	85	-	93	40	0	0	5005	1480	0	0
20191025	18:11:49	1	3157	2	174	85	-	92	44	0	0	5005	1670	0	0
20191025	18:11:54	1	3157	2	235	85	-	88	40	0	0	5005	1784	0	0
20191025	18:11:59	1	3157	2	83	85	-	92	39	0	0	5005	1480	0	0
20191025	18:12:04	1	3157	2	121	85	-	91	39	0	0	5005	1480	0	0
20191025	18:12:10	1	3157	2	115	84	-	92	42	0	0	5005	1632	0	0
20191025	18:12:15	1	3157	2	135	85	-	91	43	0	0	5005	1721	0	0
20191025	18:12:20	1	3157	2	120	86	-	93	42	0	0	5005	1480	0	0
20191025	18:12:26	1	3157	2	167	86	-	92	44	0	0	5005	1645	0	0
20191025	18:12:31	1	3157	2	127	87	-	78	37	0	0	5005	1784	0	0
20191025	18:12:37	1	3157	2	226	86	-	73	26	0	0	5005	1480	0	0
20191025	18:12:42	1	3157	2	224	85	-	75	27	0	0	5005	1746	0	0
20191025	18:12:47	1	3157	2	208	85	-	74	28	0	0	5005	1721	0	0
20191025	18:12:53	1	3157	2	118	85	-	82	40	0	0	5005	1771	0	0
20191025	18:12:58	1	3157	2	171	85	-	91	42	0	0	5005	1683	0	0
20191025	18:13:03	1	3157	2	128	85	-	78	29	0	0	5005	1784	0	0
20191025	18:13:09	1	3157	2	113	86	-	92	46	0	0	5005	1721	0	0
20191025	18:13:15	1	3157	2	167	86	-	92	46	0	0	5005	1657	0	0
20191025	18:13:20	1	3157	2	216	86	-	73	26	0	0	5005	1695	0	0
20191025	18:13:25	1	3157	2	239	86	-	75	29	0	0	5005	1784	0	0
20191025	18:13:30	1	3157	2	157	86	-	74	20	0	0	5005	1480	0	0
20191025	18:13:35	1	3157	2	208	86	-	73	27	0	0	5005	1695	0	0
20191025	18:13:40	1	3157	2	188	87	-	89	44	0	0	5005	1771	0	0
20191025	18:13:45	1	3157	2	108	86	-	94	43	0	0	5005	1531	0	0
20191025	18:13:51	1	3157	2	103	86	-	89	41	0	0	5005	1784	0	0
20191025	18:13:56	1	3157	2	208	87	-	75	30	0	0	5005	1784	0	0
20191025	18:14:01	1	3157	2	124	86	-	92	38	0	0	5005	1493	0	0
20191025	18:14:07	1	3157	2	102	85	-	89	35	0	0	5005	1594	0	0
20191025	18:14:13	1	3157	2	145	85	-	89	30	0	0	5005	1556	0	0
20191025	18:14:19	1	3157	2	143	86	-	92	46	0	0	5005	1784	0	0
20191025	18:14:25	1	3157	2	215	86	-	69	21	0	0	5005	1784	0	0
20191025	18:14:31	1	3157	2	191	85	-	70	24	0	0	5005	1695	0	0
20191025	18:14:36	1	3157	2	159	86	-	91	45	0	0	5005	1784	0	0
20191025	18:14:42	1	3157	2	140	86	-	88	40	0	0	5005	1784	0	0
20191025	18:14:47	1	3157	2	242	86	-	73	27	0	0	5005	1771	0	0
20191025	18:14:53	1	3157	2	122	86	-	92	43	0	0	5005	1632	0	0
20191025	18:14:58	1	3157	2	112	86	-	91	39	0	0	5005	1620	0	0
20191025	18:15:04	1	3157	2	183	86	-	88	40	0	0	5005	1784	0	0
20191025	18:15:09	1	3157	2	144	85	-	93	44	0	0	5005	1506	0	0
20191025	18:15:15	1	3157	2	86	85	-	90	35	0	0	5005	1569	0	0
20191025	18:15:20	1	3157	2	80	85	-	88	34	0	0	5005	1620	0	0
20191025	18:15:25	1	3157	2	193	86	-	74	26	0	0	5005	1670	0	0
20191025	18:15:31	1	3157	2	142	86	-	84	39	0	0	5005	1708	0	0
20191025	18:15:36	1	3157	2	145	86	-	89	37	0	0	5005	1784	0	0
20191025	18:15:42	1	3157	2	217	86	-	75	32	0	0	5005	1784	0	0
20191025	18:15:47	1	3157	2	121	85	-	78	29	0	0	5005	1759	0	0
20191025	18:15:53	1	3157	2	143	86	-	77	30	0	0	5005	1493	0	0
20191025	18:15:58	1	3157	2	216	87	-	93	47	0	0	5005	1784	0	0
20191025	18:16:04	1	3157	2	209	87	-	74	26	0	0	5005	1746	0	0
20191025	18:16:10	1	3157	2	132	87	-	77	30	0	0	5005	1784	0	0
20191025	18:16:16	1	3157	2	234	87	-	77	32	0	0	5005	1607	0	0
20191025	18:16:22	1	3157	2	197	87	-	89	41	0	0	5005	1784	0	0
20191025	18:16:28	1	3157	2	159	86	-	69	29	0	0	5005	1480	0	0
20191025	18:16:34	1	3157	2	208	86	-	76	30	0	0	5005	1531	0	0
20191025	18:16:40	1	3157	2	180	86	-	80	37	0	0	5005	1670	0	0
20191025	18:16:46	1	3157	2	234	86	-	73	33	0	0	5005	1784	0	0
20191025	18:16:52	1	3157	2	162	86	-	74	29	0	0	5005	1708	0	0
20191025	18:16:57	1	3157	2	184	86	-	90	40	0	0	5005	1683	0	0
20191025	18:17:02	1	3157	2	181	85	-	71	21	0	0	5005	1632	0	0
20191025	18:17:07	1	3157	2	124	85	-	92	45	0	0	5005	1721	0	0
20191025	18:17:12	1	3157	2	149	86	-	76	32	0	0	5005	1670	0	0
20191025	18:17:18	1	3157	2	171	86	-	78	34	0	0	5005	1556	0	0
20191025	18:17:23	1	3157	2	100	85	-	77	25	0	0	5005	1632	0	0
20191025	18:17:29	1	3157	2	95	85	-	90	29	0	0	5005	1657	0	0
20191025	18:17:36	1	3157	2	118	85	-	92	38	0	0	5005	1632	0	0
20191025	18:17:42	1	3157	2	152	85	-	91	37	0	0	5005	1480	0	0
20191025	18:17:48	1	3157	2	122	85	-	82	32	0	0	5005	1784	0	0
20191025	18:17:53	1	3157	2	127	85	-	91	39	0	0	5005	1721	0	0
20191025	18:17:58	1	3157	2	111	86	-	79	39	0	0	5005	1784	0	0
20191025	18:18:03	1	3157	2	101	86	-	73	28	0	0	5005	1620	0	0
20191025	18:18:08	1	3157	2	189	86	-	74	31	0	0	5005	1784	0	0
20191025	18:18:13	1	3157	2	108	85	-	89	44	0	0	5005	1771	0	0
20191025	18:18:18	1	3157	2	140	85	-	93	39	0	0	5005	1480	0	0
20191025	18:18:24	1	3157	2	179	84	-	81	39	0	0	5005	1733	0	0
20191025	18:18:30	1	3157	2	143	85	-	78	28	0	0	5005	1556	0	0
20191025	18:18:36	1	3157	2	214	86	-	73	29	0	0	5005	1784	0	0
20191025	18:18:41	1	3157	2	200	86	-	72	30	0	0	5005	1784	0	0
20191025	18:18:47	1	3157	2	216	87	-	74	31	0	0	5005	1784	0	0
20191025	18:18:52	1	3157	2	169	86	-	91	44	0	0	5005	1683	0	0
20191025	18:18:58	1	3157	2	140	86	-	74	40	0	0	5005	1506	0	0
20191025	18:19:04	1	3157	2	228	86	-	81	33	0	0	5005	1784	0	0
20191025	18:19:09	1	3157	2	156	86	-	71	22	0	0	5005	1645	0	0
20191025	18:19:14	1	3157	2	222	86	-	72	31	0	0	5005	1771	0	0
20191025	18:19:19	1	3157	2	154	85	-	88	34	0	0	5005	1506	0	0
20191025	18:19:25	1	3157	2	94	85	-	93	48	0	0	5005	1784	0	0
20191025	18:19:30	1	3157	2	224	85	-	72	29	0	0	5005	1784	0	0
20191025	18:19:36	1	3157	2	238	86	-	94	45	0	0	5005	1569	0	0
20191025	18:19:41	1	3157	2	229	85	-	88	33	0	0	5005	1759	0	0
20191025	18:19:47	1	3157	2	155	85	-	79	33	0	0	5005	1480	0	0
20191025	18:19:52	1	3157	2	105	84	-	93	40	0	0	5005	1480	0	0
20191025	18:19:57	1	3157	2	195	85	-	90	43	0	0	5005	1784	0	0
20191025	18:20:03	1	3157	2	98	85	-	89	40	0	0	5005	1670	0	0
20191025	18:20:08	1	3157	2	125	86	-	91	43	0	0	5005	1733	0	0
20191025	18:20:13	1	3157	2	77	85	-	93	41	0	0	5005	1480	0	0
20191025	18:20:18	1	3157	2	168	85	-	74	25	0	0	5005	1569	0	0
20191025	18:20:23	1	3157	2	104	85	-	89	37	0	0	5005	1632	0	0
20191025	18:20:29	1	3157	2	111	86	-	92	45	0	0	5005	1784	0	0
20191025	18:20:34	1	3157	2	93	86	-	88	36	0	0	5005	1771	0	0
20191025	18:20:39	1	3157	2	124	86	-	90	39	0	0	5005	1506	0	0
20191025	18:20:45	1	3157	2	213	86	-	72	23	0	0	5005	1670	0	0
20191025	18:20:50	1	3157	2	193	87	-	91	42	0	0	5005	1784	0	0
20191025	18:20:56	1	3157	2	83	85	-	89	37	0	0	5005	1632	0	0
20191025	18:21:02	1	3157	2	89	85	-	82	28	0	0	5005	1645	0	0
20191025	18:21:08	1	3157	2	134	86	-	84	35	0	0	5005	1480	0	0
20191025	18:21:13	1	3157	2	174	86	-	68	42	0	0	5005	1480	0	0
20191025	18:21:19	1	3157	2	226	86	-	87	31	0	0	5005	1784	0	0
20191025	18:21:25	1	3157	2	79	85	-	93	23	0	0	5005	1746	0	0
20191025	18:21:31	1	3157	2	167	86	-	76	31	0	0	5005	1632	0	0
20191025	18:21:37	1	3157	2	90	85	-	93	45	0	0	5005	1556	0	0
20191025	18:21:42	1	3157	2	107	86	-	77	30	0	0	5005	1582	0	0
20191025	18:21:47	1	3157	2	139	85	-	89	34	0	0	5005	1632	0	0
20191025	18:21:52	1	3157	2	219	86	-	70	23	0	0	5005	1695	0	0
20191025	18:21:57	1	3157	2	166	85	-	72	24	0	0	5005	1493	0	0
20191025	18:22:02	1	3157	2	215	86	-	72	30	0	0	5005	1771	0	0
20191025	18:22:07	1	3157	2	103	85	-	92	45	0	0	5005	1721	0	0
20191025	18:22:12	1	3157	2	121	85	-	75	32	0	0	5005	1556	0	0
20191025	18:22:18	1	3157	2	224	86	-	74	33	0	0	5005	1759	0	0
20191025	18:22:23	1	3157	2	216	86	-	70	24	0	0	5005	1733	0	0
20191025	18:22:29	1	3157	2	144	85	-	76	26	0	0	5005	1620	0	0
20191025	18:22:34	1	3157	2	225	86	-	72	26	0	0	5005	1784	0	0
20191025	18:22:40	1	3157	2	132	85	-	83	41	0	0	5005	1784	0	0
20191025	18:22:46	1	3157	2	136	85	-	78	33	0	0	5005	1480	0	0
20191025	18:22:51	1	3157	2	236	86	-	78	30	0	0	5005	1784	0	0
20191025	18:22:56	1	3157	2	178	86	-	72	28	0	0	5005	1695	0	0
