#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20210312	22:29:27	1	10	2	59	49	-	0	0	0	0	5508	1392	0	0
20210312	22:29:32	1	707	2	135	53	-	96	46	0	0	5005	1847	0	0
20210312	22:29:37	1	707	2	135	56	-	97	46	0	0	5005	1847	0	0
20210312	22:29:42	1	707	2	133	58	-	97	46	0	0	5005	1835	0	0
20210312	22:29:47	1	707	2	134	60	-	97	46	0	0	5005	1835	0	0
20210312	22:29:52	1	707	2	136	62	-	97	46	0	0	5005	1835	0	0
20210312	22:29:57	1	707	2	136	63	-	96	46	0	0	5005	1835	0	0
20210312	22:30:02	1	719	2	138	65	-	97	46	0	0	5005	1835	0	0
20210312	22:30:07	1	719	2	137	67	-	93	44	0	0	5005	1822	0	0
20210312	22:30:12	1	719	2	138	68	-	97	46	0	0	5005	1822	0	0
20210312	22:30:17	1	719	2	139	69	-	97	46	0	0	5005	1822	0	0
20210312	22:30:22	1	719	2	138	71	-	97	46	0	0	5005	1822	0	0
20210312	22:30:27	1	719	2	140	72	-	97	46	0	0	5005	1809	0	0
20210312	22:30:32	1	719	2	140	73	-	97	46	0	0	5005	1809	0	0
20210312	22:30:37	1	719	2	141	74	-	97	46	0	0	5005	1809	0	0
20210312	22:30:42	1	719	2	143	74	-	97	46	0	0	5005	1809	0	0
20210312	22:30:47	1	719	2	141	75	-	97	46	0	0	5005	1809	0	0
20210312	22:30:52	1	719	2	143	76	-	97	46	0	0	5005	1809	0	0
20210312	22:30:57	1	719	2	142	76	-	88	42	0	0	5005	1809	0	0
20210312	22:31:02	1	719	2	138	77	-	89	42	0	0	5005	1797	0	0
20210312	22:31:07	1	719	2	139	77	-	85	40	0	0	5005	1797	0	0
20210312	22:31:12	1	719	2	140	78	-	97	46	0	0	5005	1797	0	0
20210312	22:31:17	1	719	2	140	78	-	90	42	0	0	5005	1797	0	0
20210312	22:31:22	1	719	2	141	79	-	97	46	0	0	5005	1797	0	0
20210312	22:31:27	1	719	2	141	79	-	97	46	0	0	5005	1797	0	0
20210312	22:31:32	1	719	2	141	79	-	97	46	0	0	5005	1797	0	0
20210312	22:31:37	1	719	2	141	80	-	97	46	0	0	5005	1797	0	0
20210312	22:31:42	1	719	2	141	80	-	97	46	0	0	5005	1797	0	0
20210312	22:31:47	1	719	2	141	80	-	97	46	0	0	5005	1797	0	0
20210312	22:31:52	1	719	2	141	80	-	97	46	0	0	5005	1797	0	0
20210312	22:31:57	1	719	2	143	81	-	97	46	0	0	5005	1797	0	0
20210312	22:32:02	1	719	2	141	81	-	97	46	0	0	5005	1797	0	0
20210312	22:32:07	1	719	2	144	81	-	97	46	0	0	5005	1797	0	0
20210312	22:32:12	1	719	2	142	82	-	97	46	0	0	5005	1797	0	0
20210312	22:32:17	1	719	2	142	82	-	97	46	0	0	5005	1797	0	0
20210312	22:32:22	1	719	2	144	82	-	97	46	0	0	5005	1797	0	0
20210312	22:32:27	1	719	2	143	82	-	97	46	0	0	5005	1797	0	0
20210312	22:32:32	1	719	2	143	83	-	97	46	0	0	5005	1797	0	0
20210312	22:32:37	1	719	2	144	83	-	97	46	0	0	5005	1797	0	0
20210312	22:32:42	1	719	2	144	83	-	97	46	0	0	5005	1797	0	0
20210312	22:32:47	1	719	2	144	83	-	97	46	0	0	5005	1797	0	0
20210312	22:32:52	1	719	2	144	83	-	97	46	0	0	5005	1797	0	0
20210312	22:32:57	1	719	2	145	83	-	97	46	0	0	5005	1797	0	0
20210312	22:33:02	1	719	2	140	84	-	97	45	0	0	5005	1771	0	0
#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20210312	22:33:07	1	719	2	138	83	-	97	45	0	0	5005	1746	0	0
20210312	22:33:12	1	719	2	142	84	-	97	46	0	0	5005	1784	0	0
20210312	22:33:17	1	719	2	144	84	-	97	45	0	0	5005	1784	0	0
20210312	22:33:22	1	719	2	143	84	-	97	46	0	0	5005	1784	0	0
20210312	22:33:27	1	719	2	139	84	-	97	45	0	0	5005	1759	0	0
20210312	22:33:32	1	719	2	137	84	-	97	45	0	0	5005	1759	0	0
20210312	22:33:37	1	719	2	135	83	-	97	45	0	0	5005	1733	0	0
20210312	22:33:42	1	719	2	136	83	-	97	46	0	0	5005	1746	0	0
20210312	22:33:47	1	719	2	135	84	-	97	45	0	0	5005	1746	0	0
20210312	22:33:52	1	719	2	131	83	-	97	44	0	0	5005	1708	0	0
20210312	22:33:57	1	719	2	133	83	-	97	45	0	0	5005	1721	0	0
20210312	22:34:02	1	719	2	131	83	-	97	44	0	0	5005	1695	0	0
20210312	22:34:08	1	719	2	142	84	-	97	45	0	0	5005	1771	0	0
20210312	22:34:13	1	719	2	131	83	-	97	45	0	0	5005	1721	0	0
20210312	22:34:18	1	719	2	133	83	-	97	45	0	0	5005	1721	0	0
20210312	22:34:23	1	719	2	134	83	-	97	45	0	0	5005	1733	0	0
20210312	22:34:28	1	719	2	131	83	-	96	44	0	0	5005	1708	0	0
20210312	22:34:33	1	719	2	136	84	-	97	45	0	0	5005	1746	0	0
20210312	22:34:38	1	719	2	131	83	-	96	45	0	0	5005	1721	0	0
20210312	22:34:43	1	719	2	128	83	-	97	44	0	0	5005	1695	0	0
20210312	22:34:48	1	719	2	137	83	-	97	46	0	0	5005	1746	0	0
20210312	22:34:53	1	719	2	133	83	-	97	45	0	0	5005	1733	0	0
20210312	22:34:58	1	719	2	132	83	-	97	45	0	0	5005	1721	0	0
20210312	22:35:03	1	719	2	126	84	-	97	44	0	0	5005	1683	0	0
20210312	22:35:08	1	719	2	140	84	-	97	46	0	0	5005	1771	0	0
20210312	22:35:13	1	719	2	134	84	-	97	45	0	0	5005	1721	0	0
20210312	22:35:18	1	719	2	131	83	-	97	45	0	0	5005	1708	0	0
20210312	22:35:23	1	719	2	131	83	-	96	44	0	0	5005	1708	0	0
20210312	22:35:28	1	719	2	127	84	-	97	44	0	0	5005	1695	0	0
20210312	22:35:33	1	719	2	127	84	-	93	42	0	0	5005	1670	0	0
20210312	22:35:38	1	719	2	123	84	-	97	44	0	0	5005	1645	0	0
20210312	22:35:43	1	719	2	127	83	-	97	44	0	0	5005	1683	0	0
20210312	22:35:48	1	719	2	125	84	-	97	44	0	0	5005	1670	0	0
20210312	22:35:53	1	719	2	133	84	-	97	45	0	0	5005	1721	0	0
20210312	22:35:58	1	719	2	134	84	-	92	43	0	0	5005	1733	0	0
20210312	22:36:03	1	719	2	133	83	-	96	45	0	0	5005	1721	0	0
20210312	22:36:08	1	719	2	133	84	-	97	45	0	0	5005	1733	0	0
20210312	22:36:13	1	719	2	130	84	-	94	43	0	0	5005	1721	0	0
20210312	22:36:18	1	719	2	132	84	-	97	44	0	0	5005	1721	0	0
