#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210313   13:49:33      1    10     2    58    40     -     0     0     0     0  5508  1392     0     0
 20210313   13:49:38      1   707     2   139    45     -    96    47     0     0  5005  1860     0     0
 20210313   13:49:43      1   707     2   129    48     -    97    47     0     0  5005  1847     0     0
 20210313   13:49:48      1   707     2   130    50     -    96    47     0     0  5005  1847     0     0
 20210313   13:49:53      1   707     2   134    52     -    96    47     0     0  5005  1847     0     0
 20210313   13:49:58      1   707     2   135    55     -    97    47     0     0  5005  1847     0     0
 20210313   13:50:03      1   707     2   135    57     -    96    47     0     0  5005  1847     0     0
 20210313   13:50:08      1   719     2   133    58     -    96    47     0     0  5005  1835     0     0
 20210313   13:50:13      1   719     2   135    60     -    96    47     0     0  5005  1835     0     0
 20210313   13:50:18      1   719     2   136    62     -    97    47     0     0  5005  1835     0     0
 20210313   13:50:23      1   719     2   133    63     -    97    46     0     0  5005  1822     0     0
 20210313   13:50:28      1   719     2   137    64     -    96    46     0     0  5005  1822     0     0
 20210313   13:50:33      1   719     2   136    65     -    97    46     0     0  5005  1822     0     0
 20210313   13:50:38      1   719     2   136    67     -    96    46     0     0  5005  1822     0     0
 20210313   13:50:43      1   719     2   138    68     -    97    46     0     0  5005  1822     0     0
 20210313   13:50:48      1   719     2   139    69     -    96    46     0     0  5005  1822     0     0
 20210313   13:50:53      1   719     2   139    70     -    97    46     0     0  5005  1822     0     0
 20210313   13:50:58      1   719     2   140    71     -    97    46     0     0  5005  1822     0     0
 20210313   13:51:03      1   719     2   141    71     -    97    46     0     0  5005  1822     0     0
 20210313   13:51:08      1   719     2   142    72     -    97    46     0     0  5005  1822     0     0
 20210313   13:51:13      1   719     2   141    73     -    97    46     0     0  5005  1809     0     0
 20210313   13:51:18      1   719     2   140    74     -    97    46     0     0  5005  1809     0     0
 20210313   13:51:23      1   719     2   142    74     -    97    46     0     0  5005  1809     0     0
 20210313   13:51:28      1   719     2   141    74     -    97    47     0     0  5005  1809     0     0
 20210313   13:51:33      1   719     2   142    75     -    97    46     0     0  5005  1809     0     0
 20210313   13:51:38      1   719     2   142    76     -    97    46     0     0  5005  1809     0     0
 20210313   13:51:43      1   719     2   142    76     -    97    46     0     0  5005  1809     0     0
 20210313   13:51:48      1   719     2   142    77     -    97    47     0     0  5005  1809     0     0
 20210313   13:51:53      1   719     2   143    77     -    97    46     0     0  5005  1809     0     0
 20210313   13:51:58      1   719     2   143    77     -    97    46     0     0  5005  1809     0     0
 20210313   13:52:03      1   719     2   141    78     -    97    46     0     0  5005  1797     0     0
 20210313   13:52:08      1   719     2   141    78     -    97    46     0     0  5005  1797     0     0
 20210313   13:52:13      1   719     2   141    78     -    97    46     0     0  5005  1797     0     0
 20210313   13:52:18      1   719     2   142    78     -    97    46     0     0  5005  1797     0     0
 20210313   13:52:23      1   719     2   141    79     -    97    46     0     0  5005  1797     0     0
 20210313   13:52:28      1   719     2   141    79     -    97    46     0     0  5005  1797     0     0
 20210313   13:52:33      1   719     2   142    79     -    97    46     0     0  5005  1797     0     0
 20210313   13:52:38      1   719     2   142    80     -    97    46     0     0  5005  1797     0     0
 20210313   13:52:43      1   719     2   142    80     -    97    46     0     0  5005  1797     0     0
 20210313   13:52:48      1   719     2   143    80     -    97    46     0     0  5005  1797     0     0
 20210313   13:52:53      1   719     2   142    80     -    97    46     0     0  5005  1797     0     0
 20210313   13:52:58      1   719     2   141    81     -    97    46     0     0  5005  1797     0     0
 20210313   13:53:03      1   719     2   143    81     -    97    46     0     0  5005  1797     0     0
 20210313   13:53:08      1   719     2   143    81     -    97    46     0     0  5005  1797     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
