#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20191025	19:25:29	3	10	2	87	84	-	58	6	0	0	5508	1759	0	0
20191025	19:25:34	3	10	2	66	80	-	0	0	0	0	5508	1354	0	0
20191025	19:25:39	3	477	2	67	79	-	9	0	0	0	5005	1480	0	0
20191025	19:25:44	3	1395	2	231	81	-	78	30	0	0	5005	1809	0	0
20191025	19:25:49	3	1579	2	143	83	-	90	45	0	0	5005	1809	0	0
20191025	19:25:54	3	1579	2	90	82	-	85	30	0	0	5005	1632	0	0
20191025	19:25:59	3	1579	2	87	84	-	78	37	0	0	5005	1721	0	0
20191025	19:26:05	3	1581	2	123	84	-	93	47	0	0	5005	1809	0	0
20191025	19:26:10	3	1701	2	110	84	-	73	26	0	0	5005	1683	0	0
20191025	19:26:17	3	1701	2	243	85	-	73	33	0	0	5005	1809	0	0
20191025	19:26:23	3	1701	2	99	85	-	92	30	0	0	5005	1657	0	0
20191025	19:26:29	3	1701	2	119	86	-	87	42	0	0	5005	1809	0	0
20191025	19:26:36	3	1701	2	181	86	-	82	40	0	0	5005	1708	0	0
20191025	19:26:42	3	1701	2	176	87	-	91	47	0	0	5005	1809	0	0
20191025	19:26:48	3	1909	2	216	86	-	89	38	0	0	5005	1544	0	0
20191025	19:26:54	3	1911	2	91	86	-	72	26	0	0	5005	1809	0	0
20191025	19:27:00	3	1911	2	91	85	-	91	37	0	0	5005	1632	0	0
20191025	19:27:05	3	1911	2	116	86	-	77	34	0	0	5005	1645	0	0
20191025	19:27:10	3	1911	2	193	86	-	72	26	0	0	5005	1733	0	0
20191025	19:27:15	3	1911	2	173	85	-	90	35	0	0	5005	1594	0	0
20191025	19:27:20	3	1911	2	234	86	-	73	31	0	0	5005	1809	0	0
20191025	19:27:26	3	1911	2	240	86	-	83	34	0	0	5005	1809	0	0
20191025	19:27:31	3	1911	2	199	85	-	76	33	0	0	5005	1809	0	0
20191025	19:27:38	3	1911	2	128	85	-	72	27	0	0	5005	1506	0	0
20191025	19:27:44	3	1911	2	190	86	-	73	29	0	0	5005	1809	0	0
