#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210312   22:29:31      3    10     2    52    48     -     0     0     0     0  5005  1139     0     0
 20210312   22:29:36      3   707     2   133    53     -    97    47     0     0  5005  1860     0     0
 20210312   22:29:41      3   717     2   136    55     -    97    47     0     0  5005  1860     0     0
 20210312   22:29:46      3   717     2   141    57     -    97    47     0     0  5005  1860     0     0
 20210312   22:29:51      3   717     2   139    59     -    97    47     0     0  5005  1860     0     0
 20210312   22:29:56      3   717     2   139    61     -    97    47     0     0  5005  1847     0     0
 20210312   22:30:01      3   717     2   140    63     -    97    47     0     0  5005  1847     0     0
 20210312   22:30:06      3   717     2   140    64     -    97    47     0     0  5005  1847     0     0
 20210312   22:30:11      3   717     2   140    66     -    97    47     0     0  5005  1847     0     0
 20210312   22:30:16      3   717     2   142    67     -    97    47     0     0  5005  1847     0     0
 20210312   22:30:21      3   717     2   141    68     -    97    47     0     0  5005  1847     0     0
 20210312   22:30:26      3   717     2   143    69     -    97    47     0     0  5005  1847     0     0
 20210312   22:30:31      3   717     2   143    70     -    97    47     0     0  5005  1847     0     0
 20210312   22:30:36      3   717     2   141    71     -    97    46     0     0  5005  1822     0     0
 20210312   22:30:41      3   717     2   141    72     -    97    47     0     0  5005  1822     0     0
 20210312   22:30:46      3   717     2   139    72     -    97    47     0     0  5005  1822     0     0
 20210312   22:30:51      3   717     2   140    73     -    97    46     0     0  5005  1822     0     0
 20210312   22:30:56      3   717     2   140    74     -    97    46     0     0  5005  1822     0     0
 20210312   22:31:01      3   719     2   141    74     -    97    47     0     0  5005  1822     0     0
 20210312   22:31:06      3   719     2   142    75     -    97    47     0     0  5005  1822     0     0
 20210312   22:31:11      3   719     2   143    75     -    97    47     0     0  5005  1822     0     0
 20210312   22:31:16      3   719     2   144    76     -    97    47     0     0  5005  1822     0     0
 20210312   22:31:21      3   719     2   141    76     -    97    46     0     0  5005  1809     0     0
 20210312   22:31:26      3   719     2   142    76     -    97    46     0     0  5005  1809     0     0
 20210312   22:31:31      3   719     2   143    77     -    97    46     0     0  5005  1809     0     0
 20210312   22:31:36      3   719     2   142    77     -    97    46     0     0  5005  1809     0     0
 20210312   22:31:41      3   719     2   142    77     -    97    46     0     0  5005  1809     0     0
 20210312   22:31:46      3   719     2   142    78     -    97    46     0     0  5005  1809     0     0
 20210312   22:31:51      3   719     2   142    78     -    97    46     0     0  5005  1809     0     0
 20210312   22:31:56      3   719     2   144    78     -    97    46     0     0  5005  1809     0     0
 20210312   22:32:01      3   719     2   142    79     -    97    46     0     0  5005  1809     0     0
 20210312   22:32:06      3   719     2   144    79     -    97    46     0     0  5005  1809     0     0
 20210312   22:32:11      3   719     2   143    79     -    97    47     0     0  5005  1809     0     0
 20210312   22:32:16      3   719     2   143    79     -    97    46     0     0  5005  1809     0     0
 20210312   22:32:21      3   719     2   145    80     -    97    46     0     0  5005  1809     0     0
 20210312   22:32:26      3   719     2   142    80     -    97    46     0     0  5005  1809     0     0
 20210312   22:32:31      3   719     2   143    80     -    97    46     0     0  5005  1809     0     0
 20210312   22:32:36      3   719     2   145    80     -    97    46     0     0  5005  1809     0     0
 20210312   22:32:41      3   719     2   144    81     -    97    46     0     0  5005  1809     0     0
 20210312   22:32:46      3   719     2   149    81     -    97    47     0     0  5005  1809     0     0
 20210312   22:32:51      3   719     2   146    81     -    97    46     0     0  5005  1809     0     0
 20210312   22:32:56      3   719     2   145    81     -    97    46     0     0  5005  1809     0     0
 20210312   22:33:01      3   719     2   147    81     -    97    46     0     0  5005  1809     0     0
 20210312   22:33:06      3   719     2   146    82     -    97    47     0     0  5005  1809     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210312   22:33:12      3   719     2   145    82     -    97    46     0     0  5005  1809     0     0
 20210312   22:33:17      3   719     2   147    82     -    97    46     0     0  5005  1809     0     0
 20210312   22:33:22      3   719     2   146    82     -    97    46     0     0  5005  1809     0     0
 20210312   22:33:27      3   719     2   150    82     -    97    46     0     0  5005  1809     0     0
 20210312   22:33:32      3   719     2   148    82     -    97    46     0     0  5005  1809     0     0
 20210312   22:33:37      3   719     2   148    83     -    97    46     0     0  5005  1809     0     0
 20210312   22:33:42      3   719     2   148    83     -    97    46     0     0  5005  1809     0     0
 20210312   22:33:47      3   719     2   149    83     -    97    46     0     0  5005  1809     0     0
 20210312   22:33:52      3   719     2   148    83     -    97    46     0     0  5005  1809     0     0
 20210312   22:33:57      3   719     2   147    83     -    97    46     0     0  5005  1809     0     0
 20210312   22:34:02      3   719     2   145    84     -    97    45     0     0  5005  1784     0     0
 20210312   22:34:07      3   719     2   136    83     -    97    46     0     0  5005  1746     0     0
 20210312   22:34:12      3   719     2   151    84     -    97    46     0     0  5005  1797     0     0
 20210312   22:34:17      3   729     2   146    84     -    97    46     0     0  5005  1797     0     0
 20210312   22:34:22      3   729     2   146    84     -    97    46     0     0  5005  1797     0     0
 20210312   22:34:27      3   729     2   142    84     -    97    46     0     0  5005  1784     0     0
 20210312   22:34:32      3   729     2   140    84     -    97    46     0     0  5005  1784     0     0
 20210312   22:34:37      3   729     2   149    84     -    97    46     0     0  5005  1797     0     0
 20210312   22:34:42      3   729     2   141    84     -    97    46     0     0  5005  1784     0     0
 20210312   22:34:47      3   729     2   137    83     -    97    45     0     0  5005  1746     0     0
 20210312   22:34:52      3   729     2   136    83     -    97    46     0     0  5005  1771     0     0
 20210312   22:34:57      3   729     2   139    83     -    97    46     0     0  5005  1771     0     0
 20210312   22:35:02      3   729     2   137    83     -    96    45     0     0  5005  1746     0     0
 20210312   22:35:07      3   729     2   141    84     -    96    45     0     0  5005  1784     0     0
 20210312   22:35:12      3   729     2   139    84     -    96    45     0     0  5005  1771     0     0
 20210312   22:35:17      3   729     2   138    83     -    97    46     0     0  5005  1771     0     0
 20210312   22:35:22      3   729     2   138    83     -    96    46     0     0  5005  1771     0     0
 20210312   22:35:27      3   729     2   144    83     -    97    46     0     0  5005  1797     0     0
 20210312   22:35:32      3   729     2   138    83     -    97    46     0     0  5005  1771     0     0
 20210312   22:35:37      3   729     2   138    83     -    97    46     0     0  5005  1784     0     0
 20210312   22:35:42      3   729     2   136    83     -    97    46     0     0  5005  1759     0     0
 20210312   22:35:47      3   729     2   137    83     -    97    46     0     0  5005  1759     0     0
 20210312   22:35:52      3   729     2   136    84     -    97    46     0     0  5005  1746     0     0
 20210312   22:35:57      3   729     2   134    83     -    97    45     0     0  5005  1746     0     0
 20210312   22:36:02      3   729     2   139    84     -    97    45     0     0  5005  1759     0     0
 20210312   22:36:07      3   729     2   141    84     -    97    46     0     0  5005  1784     0     0
 20210312   22:36:12      3   729     2   135    84     -    97    45     0     0  5005  1746     0     0
 20210312   22:36:17      3   729     2   135    84     -    97    46     0     0  5005  1746     0     0
 20210312   22:36:22      3   729     2   137    83     -    97    45     0     0  5005  1746     0     0
 20210312   22:36:27      3   729     2   131    83     -    97    45     0     0  5005  1708     0     0
 20210312   22:36:32      3   729     2   132    84     -    97    45     0     0  5005  1721     0     0
 20210312   22:36:37      3   729     2   138    83     -    97    46     0     0  5005  1746     0     0
 20210312   22:36:42      3   729     2   131    84     -    97    45     0     0  5005  1721     0     0
 20210312   22:36:47      3   729     2   138    83     -    97    47     0     0  5005  1784     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210312   22:36:52      3   729     2   136    84     -    97    46     0     0  5005  1746     0     0
 20210312   22:36:57      3   729     2   136    83     -    97    46     0     0  5005  1771     0     0
 20210312   22:37:02      3   729     2   139    83     -    97    45     0     0  5005  1771     0     0
 20210312   22:37:07      3   729     2   136    84     -    92    43     0     0  5005  1746     0     0
 20210312   22:37:12      3   729     2   129    83     -    97    44     0     0  5005  1708     0     0
 20210312   22:37:17      3   729     2   136    83     -    97    46     0     0  5005  1746     0     0
 20210312   22:37:22      3   729     2   137    84     -    92    43     0     0  5005  1759     0     0
 20210312   22:37:27      3   729     2   141    84     -    95    45     0     0  5005  1771     0     0
 20210312   22:37:32      3   729     2   135    84     -    97    45     0     0  5005  1746     0     0
 20210312   22:37:37      3   729     2   134    83     -    97    46     0     0  5005  1746     0     0
 20210312   22:37:42      3   729     2   136    83     -    94    44     0     0  5005  1746     0     0
 20210312   22:37:47      3   729     2   141    84     -    94    44     0     0  5005  1771     0     0
 20210312   22:37:52      3   729     2   130    84     -    94    44     0     0  5005  1721     0     0
 20210312   22:37:57      3   729     2   147    84     -    84    40     0     0  5005  1809     0     0
 20210312   22:38:02      3   729     2   133    84     -    91    43     0     0  5005  1733     0     0
 20210312   22:38:07      3   729     2   133    83     -    96    45     0     0  5005  1733     0     0
 20210312   22:38:12      3   729     2   133    83     -    97    45     0     0  5005  1733     0     0
 20210312   22:38:17      3   729     2   130    84     -    97    45     0     0  5005  1721     0     0
 20210312   22:38:22      3   729     2   131    83     -    97    45     0     0  5005  1721     0     0
 20210312   22:38:27      3   729     2   136    83     -    95    45     0     0  5005  1759     0     0
 20210312   22:38:32      3   729     2   127    83     -    97    45     0     0  5005  1683     0     0
 20210312   22:38:37      3   737     2   141    84     -    97    46     0     0  5005  1771     0     0
 20210312   22:38:42      3   737     2   130    83     -    97    45     0     0  5005  1721     0     0
 20210312   22:38:47      3   737     2   127    83     -    97    45     0     0  5005  1683     0     0
 20210312   22:38:52      3   737     2   130    84     -    97    45     0     0  5005  1721     0     0
 20210312   22:38:57      3   737     2   136    83     -    96    45     0     0  5005  1746     0     0
 20210312   22:39:02      3   737     2   135    83     -    97    45     0     0  5005  1733     0     0
 20210312   22:39:07      3   737     2   129    83     -    97    45     0     0  5005  1695     0     0
 20210312   22:39:12      3   737     2   126    83     -    97    45     0     0  5005  1670     0     0
 20210312   22:39:17      3   737     2   140    83     -    97    46     0     0  5005  1771     0     0
 20210312   22:39:22      3   737     2   139    84     -    97    45     0     0  5005  1759     0     0
 20210312   22:39:28      3   737     2   128    83     -    97    45     0     0  5005  1708     0     0
 20210312   22:39:33      3   737     2   140    84     -    97    46     0     0  5005  1784     0     0
 20210312   22:39:38      3   737     2   131    84     -    97    45     0     0  5005  1721     0     0
 20210312   22:39:43      3   737     2   130    83     -    97    46     0     0  5005  1733     0     0
 20210312   22:39:48      3   737     2   127    83     -    97    45     0     0  5005  1695     0     0
 20210312   22:39:53      3   737     2   129    83     -    97    45     0     0  5005  1708     0     0
 20210312   22:39:58      3   737     2   129    84     -    97    45     0     0  5005  1721     0     0
 20210312   22:40:03      3   737     2   136    84     -    97    45     0     0  5005  1746     0     0
 20210312   22:40:08      3   737     2   125    83     -    97    45     0     0  5005  1683     0     0
 20210312   22:40:13      3   737     2   133    83     -    97    46     0     0  5005  1733     0     0
 20210312   22:40:18      3   737     2   140    84     -    97    46     0     0  5005  1771     0     0
 20210312   22:40:23      3   737     2   134    84     -    97    45     0     0  5005  1721     0     0
 20210312   22:40:28      3   737     2   130    83     -    97    46     0     0  5005  1721     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210312   22:40:33      3   737     2   135    84     -    97    45     0     0  5005  1721     0     0
 20210312   22:40:38      3   737     2   136    83     -    97    46     0     0  5005  1759     0     0
 20210312   22:40:43      3   737     2   130    83     -    97    45     0     0  5005  1708     0     0
 20210312   22:40:48      3   737     2   132    84     -    97    45     0     0  5005  1721     0     0
 20210312   22:40:53      3   737     2   133    84     -    97    45     0     0  5005  1733     0     0
 20210312   22:40:58      3   737     2   130    84     -    97    45     0     0  5005  1708     0     0
 20210312   22:41:03      3   737     2   131    84     -    97    45     0     0  5005  1721     0     0
 20210312   22:41:08      3   737     2   130    83     -    97    45     0     0  5005  1708     0     0
 20210312   22:41:13      3   737     2   131    84     -    97    45     0     0  5005  1721     0     0
 20210312   22:41:18      3   737     2   130    83     -    97    45     0     0  5005  1721     0     0
 20210312   22:41:23      3   737     2   129    83     -    97    45     0     0  5005  1708     0     0
 20210312   22:41:28      3   737     2   132    83     -    97    45     0     0  5005  1721     0     0
 20210312   22:41:33      3   737     2   131    83     -    97    46     0     0  5005  1721     0     0
 20210312   22:41:38      3   737     2   127    83     -    97    44     0     0  5005  1683     0     0
 20210312   22:41:43      3   737     2   130    84     -    97    45     0     0  5005  1708     0     0
 20210312   22:41:48      3   737     2   128    83     -    97    45     0     0  5005  1695     0     0
 20210312   22:41:53      3   737     2   134    84     -    97    45     0     0  5005  1733     0     0
 20210312   22:41:58      3   737     2   134    84     -    97    45     0     0  5005  1733     0     0
