#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210313   13:49:56      3    10     2     9    37     -     0     0     0     0   405   139     0     0
 20210313   13:50:01      3   707     2   130    43     -    97    47     0     0  5005  1873     0     0
 20210313   13:50:06      3   717     2   134    46     -    97    47     0     0  5005  1873     0     0
 20210313   13:50:11      3   717     2   133    48     -    97    47     0     0  5005  1873     0     0
 20210313   13:50:16      3   717     2   132    50     -    97    47     0     0  5005  1860     0     0
 20210313   13:50:21      3   717     2   132    53     -    97    46     0     0  5005  1860     0     0
 20210313   13:50:26      3   717     2   135    55     -    97    47     0     0  5005  1860     0     0
 20210313   13:50:31      3   717     2   138    57     -    97    47     0     0  5005  1860     0     0
 20210313   13:50:36      3   717     2   139    58     -    97    47     0     0  5005  1860     0     0
 20210313   13:50:41      3   717     2   139    60     -    97    47     0     0  5005  1860     0     0
 20210313   13:50:46      3   717     2   136    61     -    97    46     0     0  5005  1847     0     0
 20210313   13:50:51      3   717     2   138    63     -    97    46     0     0  5005  1847     0     0
 20210313   13:50:56      3   717     2   137    64     -    97    47     0     0  5005  1847     0     0
 20210313   13:51:01      3   717     2   139    65     -    97    46     0     0  5005  1847     0     0
 20210313   13:51:06      3   717     2   142    66     -    97    46     0     0  5005  1847     0     0
 20210313   13:51:11      3   717     2   142    67     -    97    46     0     0  5005  1847     0     0
 20210313   13:51:16      3   717     2   141    68     -    97    46     0     0  5005  1847     0     0
 20210313   13:51:22      3   717     2   142    69     -    97    47     0     0  5005  1847     0     0
 20210313   13:51:27      3   719     2   142    70     -    97    46     0     0  5005  1847     0     0
 20210313   13:51:32      3   719     2   143    70     -    97    47     0     0  5005  1847     0     0
 20210313   13:51:37      3   719     2   138    71     -    97    46     0     0  5005  1822     0     0
 20210313   13:51:42      3   719     2   140    71     -    97    46     0     0  5005  1822     0     0
 20210313   13:51:47      3   719     2   139    72     -    97    46     0     0  5005  1822     0     0
 20210313   13:51:52      3   719     2   140    72     -    97    46     0     0  5005  1822     0     0
 20210313   13:51:57      3   719     2   140    73     -    97    46     0     0  5005  1822     0     0
 20210313   13:52:02      3   719     2   140    73     -    97    46     0     0  5005  1822     0     0
 20210313   13:52:07      3   719     2   141    74     -    97    46     0     0  5005  1822     0     0
 20210313   13:52:12      3   719     2   140    74     -    97    47     0     0  5005  1822     0     0
 20210313   13:52:17      3   719     2   145    74     -    97    46     0     0  5005  1822     0     0
 20210313   13:52:22      3   719     2   142    75     -    97    46     0     0  5005  1822     0     0
 20210313   13:52:27      3   719     2   142    75     -    96    46     0     0  5005  1822     0     0
 20210313   13:52:32      3   719     2   140    75     -    97    46     0     0  5005  1809     0     0
 20210313   13:52:37      3   719     2   141    76     -    97    46     0     0  5005  1809     0     0
 20210313   13:52:42      3   719     2   140    76     -    89    42     0     0  5005  1809     0     0
 20210313   13:52:47      3   719     2   143    76     -    97    46     0     0  5005  1809     0     0
 20210313   13:52:52      3   719     2   141    77     -    97    46     0     0  5005  1809     0     0
 20210313   13:52:57      3   719     2   142    77     -    97    46     0     0  5005  1809     0     0
 20210313   13:53:02      3   719     2   141    77     -    97    46     0     0  5005  1809     0     0
 20210313   13:53:07      3   719     2   141    77     -    97    46     0     0  5005  1809     0     0
 20210313   13:53:12      3   719     2   145    78     -    97    46     0     0  5005  1809     0     0
 20210313   13:53:17      3   719     2   142    78     -    97    46     0     0  5005  1809     0     0
 20210313   13:53:22      3   719     2   142    78     -    97    46     0     0  5005  1809     0     0
 20210313   13:53:27      3   719     2   143    78     -    91    43     0     0  5005  1809     0     0
 20210313   13:53:32      3   719     2   142    79     -    97    46     0     0  5005  1809     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210313   13:53:37      3   719     2   142    79     -    97    46     0     0  5005  1809     0     0
 20210313   13:53:42      3   719     2   143    79     -    97    46     0     0  5005  1809     0     0
 20210313   13:53:47      3   719     2   144    79     -    97    46     0     0  5005  1809     0     0
 20210313   13:53:52      3   719     2   142    80     -    93    44     0     0  5005  1809     0     0
 20210313   13:53:57      3   719     2   143    80     -    95    45     0     0  5005  1809     0     0
 20210313   13:54:02      3   719     2   143    80     -    97    46     0     0  5005  1809     0     0
 20210313   13:54:07      3   719     2   148    80     -    97    46     0     0  5005  1809     0     0
 20210313   13:54:12      3   719     2   144    80     -    97    46     0     0  5005  1809     0     0
 20210313   13:54:17      3   719     2   144    80     -    95    45     0     0  5005  1809     0     0
 20210313   13:54:22      3   719     2   148    81     -    97    46     0     0  5005  1809     0     0
 20210313   13:54:27      3   719     2   145    81     -    95    45     0     0  5005  1809     0     0
 20210313   13:54:32      3   719     2   145    81     -    93    44     0     0  5005  1809     0     0
 20210313   13:54:37      3   719     2   145    81     -    94    44     0     0  5005  1809     0     0
 20210313   13:54:42      3   729     2   145    81     -    97    46     0     0  5005  1809     0     0
 20210313   13:54:47      3   729     2   135    82     -    97    46     0     0  5005  1809     0     0
 20210313   13:54:52      3   729     2   146    82     -    97    46     0     0  5005  1809     0     0
 20210313   13:54:57      3   729     2   147    82     -    97    46     0     0  5005  1809     0     0
 20210313   13:55:02      3   729     2   147    82     -    97    46     0     0  5005  1809     0     0
 20210313   13:55:07      3   729     2   147    82     -    97    46     0     0  5005  1809     0     0
 20210313   13:55:12      3   729     2   145    82     -    97    46     0     0  5005  1809     0     0
 20210313   13:55:17      3   729     2   145    83     -    97    46     0     0  5005  1809     0     0
 20210313   13:55:22      3   729     2   146    83     -    97    46     0     0  5005  1809     0     0
 20210313   13:55:27      3   729     2   147    83     -    97    46     0     0  5005  1809     0     0
 20210313   13:55:32      3   729     2   146    83     -    97    46     0     0  5005  1809     0     0
 20210313   13:55:37      3   729     2   147    83     -    97    46     0     0  5005  1809     0     0
 20210313   13:55:42      3   729     2   146    83     -    97    46     0     0  5005  1809     0     0
 20210313   13:55:47      3   729     2   148    83     -    97    46     0     0  5005  1809     0     0
 20210313   13:55:52      3   729     2   137    83     -    97    46     0     0  5005  1809     0     0
 20210313   13:55:57      3   729     2   136    83     -    97    46     0     0  5005  1809     0     0
 20210313   13:56:02      3   729     2   140    83     -    97    46     0     0  5005  1784     0     0
 20210313   13:56:07      3   729     2   146    83     -    97    46     0     0  5005  1797     0     0
 20210313   13:56:12      3   729     2   138    83     -    97    45     0     0  5005  1771     0     0
 20210313   13:56:17      3   729     2   147    84     -    97    46     0     0  5005  1809     0     0
 20210313   13:56:22      3   729     2   136    84     -    97    46     0     0  5005  1797     0     0
 20210313   13:56:27      3   729     2   140    83     -    97    45     0     0  5005  1784     0     0
 20210313   13:56:32      3   729     2   136    83     -    97    46     0     0  5005  1771     0     0
 20210313   13:56:37      3   729     2   146    84     -    97    46     0     0  5005  1809     0     0
 20210313   13:56:42      3   729     2   145    84     -    97    46     0     0  5005  1797     0     0
 20210313   13:56:47      3   729     2   149    83     -    97    47     0     0  5005  1809     0     0
 20210313   13:56:52      3   729     2   140    83     -    97    46     0     0  5005  1784     0     0
 20210313   13:56:57      3   729     2   147    84     -    97    46     0     0  5005  1797     0     0
 20210313   13:57:02      3   729     2   136    83     -    97    45     0     0  5005  1746     0     0
 20210313   13:57:07      3   729     2   141    83     -    97    46     0     0  5005  1809     0     0
 20210313   13:57:12      3   729     2   137    83     -    96    45     0     0  5005  1771     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210313   13:57:17      3   729     2   140    84     -    97    46     0     0  5005  1784     0     0
 20210313   13:57:22      3   729     2   137    83     -    96    44     0     0  5005  1759     0     0
 20210313   13:57:27      3   729     2   135    83     -    97    45     0     0  5005  1746     0     0
 20210313   13:57:32      3   729     2   141    83     -    97    46     0     0  5005  1784     0     0
 20210313   13:57:37      3   729     2   146    84     -    96    45     0     0  5005  1797     0     0
 20210313   13:57:42      3   729     2   146    84     -    97    46     0     0  5005  1797     0     0
 20210313   13:57:47      3   729     2   139    83     -    97    45     0     0  5005  1771     0     0
 20210313   13:57:52      3   729     2   139    83     -    97    45     0     0  5005  1771     0     0
 20210313   13:57:57      3   729     2   140    83     -    97    46     0     0  5005  1771     0     0
 20210313   13:58:02      3   729     2   140    83     -    97    46     0     0  5005  1784     0     0
 20210313   13:58:07      3   729     2   146    84     -    97    45     0     0  5005  1797     0     0
 20210313   13:58:12      3   729     2   137    83     -    97    45     0     0  5005  1759     0     0
 20210313   13:58:17      3   729     2   137    83     -    97    46     0     0  5005  1759     0     0
 20210313   13:58:23      3   729     2   135    83     -    97    46     0     0  5005  1759     0     0
 20210313   13:58:28      3   729     2   140    84     -    97    46     0     0  5005  1784     0     0
 20210313   13:58:33      3   729     2   136    83     -    97    45     0     0  5005  1746     0     0
 20210313   13:58:38      3   729     2   138    83     -    97    46     0     0  5005  1759     0     0
 20210313   13:58:43      3   729     2   138    83     -    97    45     0     0  5005  1759     0     0
 20210313   13:58:48      3   729     2   139    84     -    97    46     0     0  5005  1771     0     0
 20210313   13:58:53      3   729     2   136    83     -    97    45     0     0  5005  1746     0     0
 20210313   13:58:58      3   729     2   138    84     -    97    46     0     0  5005  1771     0     0
 20210313   13:59:03      3   737     2   135    84     -    97    45     0     0  5005  1759     0     0
 20210313   13:59:08      3   737     2   139    83     -    97    46     0     0  5005  1771     0     0
 20210313   13:59:13      3   737     2   146    84     -    97    46     0     0  5005  1797     0     0
 20210313   13:59:18      3   737     2   136    84     -    97    46     0     0  5005  1759     0     0
 20210313   13:59:23      3   737     2   135    83     -    97    46     0     0  5005  1759     0     0
 20210313   13:59:28      3   737     2   135    84     -    97    45     0     0  5005  1746     0     0
 20210313   13:59:33      3   737     2   133    83     -    97    45     0     0  5005  1733     0     0
 20210313   13:59:38      3   737     2   136    84     -    97    45     0     0  5005  1759     0     0
 20210313   13:59:43      3   737     2   135    83     -    97    46     0     0  5005  1759     0     0
 20210313   13:59:48      3   737     2   130    83     -    97    45     0     0  5005  1721     0     0
 20210313   13:59:53      3   737     2   134    84     -    97    45     0     0  5005  1733     0     0
 20210313   13:59:58      3   737     2   140    83     -    97    46     0     0  5005  1771     0     0
 20210313   14:00:03      3   737     2   135    83     -    97    45     0     0  5005  1746     0     0
