#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20210313	08:39:23	3	10	2	60	39	-	0	0	0	0	5508	1480	0	0
20210313	08:39:28	3	353	2	106	43	-	86	13	0	0	5005	1873	0	0
20210313	08:39:33	3	363	2	107	45	-	85	13	0	0	5005	1873	0	0
20210313	08:39:38	3	363	2	105	47	-	81	12	0	0	5005	1873	0	0
20210313	08:39:43	3	363	2	105	49	-	85	13	0	0	5005	1873	0	0
20210313	08:39:48	3	363	2	107	51	-	86	13	0	0	5005	1873	0	0
20210313	08:39:53	3	363	2	104	52	-	86	13	0	0	5005	1860	0	0
20210313	08:39:58	3	363	2	110	54	-	86	13	0	0	5005	1860	0	0
20210313	08:40:03	3	363	2	104	55	-	86	13	0	0	5005	1860	0	0
20210313	08:40:08	3	363	2	107	56	-	86	13	0	0	5005	1860	0	0
20210313	08:40:13	3	363	2	109	57	-	87	13	0	0	5005	1860	0	0
20210313	08:40:18	3	363	2	107	58	-	86	13	0	0	5005	1847	0	0
20210313	08:40:23	3	363	2	110	59	-	72	11	0	0	5005	1847	0	0
20210313	08:40:28	3	363	2	109	60	-	72	11	0	0	5005	1847	0	0
20210313	08:40:33	3	363	2	110	61	-	87	13	0	0	5005	1847	0	0
20210313	08:40:38	3	363	2	111	62	-	86	13	0	0	5005	1847	0	0
20210313	08:40:43	3	363	2	110	62	-	87	13	0	0	5005	1847	0	0
20210313	08:40:48	3	373	2	113	63	-	87	13	0	0	5005	1847	0	0
20210313	08:40:53	3	373	2	109	63	-	87	13	0	0	5005	1847	0	0
20210313	08:40:58	3	373	2	113	64	-	87	13	0	0	5005	1847	0	0
20210313	08:41:03	3	373	2	111	64	-	87	13	0	0	5005	1847	0	0
20210313	08:41:08	3	373	2	112	65	-	87	13	0	0	5005	1847	0	0
20210313	08:41:13	3	373	2	111	66	-	87	13	0	0	5005	1847	0	0
20210313	08:41:18	3	373	2	112	66	-	86	13	0	0	5005	1847	0	0
20210313	08:41:23	3	373	2	110	66	-	87	13	0	0	5005	1847	0	0
20210313	08:41:28	3	373	2	116	67	-	87	13	0	0	5005	1847	0	0
20210313	08:41:33	3	373	2	116	67	-	87	13	0	0	5005	1847	0	0
20210313	08:41:38	3	373	2	110	67	-	87	13	0	0	5005	1835	0	0
20210313	08:41:43	3	373	2	115	68	-	88	13	0	0	5005	1835	0	0
20210313	08:41:48	3	373	2	113	68	-	87	13	0	0	5005	1835	0	0
20210313	08:41:53	3	373	2	111	68	-	87	13	0	0	5005	1835	0	0
20210313	08:41:58	3	373	2	114	69	-	87	13	0	0	5005	1835	0	0
20210313	08:42:03	3	373	2	113	69	-	87	13	0	0	5005	1835	0	0
20210313	08:42:08	3	373	2	113	69	-	87	13	0	0	5005	1835	0	0
20210313	08:42:13	3	373	2	113	69	-	87	13	0	0	5005	1835	0	0
20210313	08:42:18	3	373	2	111	70	-	87	13	0	0	5005	1835	0	0
20210313	08:42:23	3	373	2	114	70	-	87	13	0	0	5005	1835	0	0
20210313	08:42:28	3	373	2	113	70	-	87	13	0	0	5005	1835	0	0
20210313	08:42:33	3	373	2	114	70	-	87	13	0	0	5005	1835	0	0
20210313	08:42:38	3	373	2	115	71	-	87	13	0	0	5005	1835	0	0
20210313	08:42:43	3	373	2	114	71	-	87	13	0	0	5005	1835	0	0
20210313	08:42:48	3	373	2	113	71	-	87	13	0	0	5005	1835	0	0
20210313	08:42:53	3	373	2	116	71	-	87	13	0	0	5005	1835	0	0
20210313	08:42:58	3	373	2	116	72	-	88	13	0	0	5005	1835	0	0
#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20210313	08:43:03	3	373	2	114	72	-	87	13	0	0	5005	1835	0	0
20210313	08:43:08	3	373	2	117	72	-	87	13	0	0	5005	1835	0	0
20210313	08:43:13	3	373	2	121	72	-	87	13	0	0	5005	1835	0	0
20210313	08:43:18	3	373	2	115	72	-	88	13	0	0	5005	1822	0	0
20210313	08:43:23	3	373	2	111	72	-	88	13	0	0	5005	1822	0	0
20210313	08:43:28	3	373	2	114	73	-	88	13	0	0	5005	1822	0	0
20210313	08:43:33	3	373	2	115	73	-	88	13	0	0	5005	1822	0	0
20210313	08:43:38	3	373	2	111	73	-	88	13	0	0	5005	1822	0	0
20210313	08:43:43	3	373	2	113	73	-	88	13	0	0	5005	1822	0	0
20210313	08:43:48	3	383	2	111	73	-	87	13	0	0	5005	1822	0	0
20210313	08:43:53	3	383	2	110	73	-	88	13	0	0	5005	1822	0	0
20210313	08:43:58	3	383	2	115	73	-	88	13	0	0	5005	1822	0	0
20210313	08:44:03	3	383	2	116	73	-	87	13	0	0	5005	1822	0	0
20210313	08:44:08	3	383	2	114	73	-	88	13	0	0	5005	1822	0	0
20210313	08:44:13	3	383	2	115	74	-	88	13	0	0	5005	1822	0	0
20210313	08:44:18	3	383	2	113	74	-	88	13	0	0	5005	1822	0	0
20210313	08:44:24	3	383	2	117	74	-	88	13	0	0	5005	1822	0	0
20210313	08:44:29	3	383	2	114	74	-	88	13	0	0	5005	1822	0	0
20210313	08:44:34	3	383	2	115	74	-	88	13	0	0	5005	1822	0	0
20210313	08:44:39	3	383	2	114	74	-	88	13	0	0	5005	1822	0	0
20210313	08:44:44	3	383	2	112	74	-	88	13	0	0	5005	1822	0	0
20210313	08:44:49	3	383	2	114	74	-	88	13	0	0	5005	1822	0	0
20210313	08:44:54	3	383	2	115	75	-	88	13	0	0	5005	1822	0	0
20210313	08:44:59	3	383	2	114	75	-	88	13	0	0	5005	1822	0	0
20210313	08:45:04	3	383	2	115	75	-	88	13	0	0	5005	1822	0	0
20210313	08:45:09	3	383	2	114	75	-	88	13	0	0	5005	1822	0	0
20210313	08:45:14	3	383	2	114	75	-	88	13	0	0	5005	1822	0	0
20210313	08:45:19	3	383	2	113	75	-	88	13	0	0	5005	1822	0	0
20210313	08:45:24	3	383	2	113	75	-	88	13	0	0	5005	1822	0	0
20210313	08:45:29	3	383	2	117	75	-	88	13	0	0	5005	1822	0	0
20210313	08:45:34	3	383	2	116	75	-	88	13	0	0	5005	1822	0	0
20210313	08:45:39	3	383	2	116	76	-	88	13	0	0	5005	1822	0	0
20210313	08:45:44	3	383	2	117	76	-	88	13	0	0	5005	1822	0	0
20210313	08:45:49	3	383	2	114	76	-	88	13	0	0	5005	1822	0	0
20210313	08:45:54	3	383	2	116	76	-	88	13	0	0	5005	1822	0	0
20210313	08:45:59	3	383	2	115	76	-	88	13	0	0	5005	1822	0	0
20210313	08:46:04	3	383	2	116	76	-	88	13	0	0	5005	1822	0	0
20210313	08:46:09	3	383	2	117	76	-	88	13	0	0	5005	1822	0	0
20210313	08:46:14	3	383	2	117	76	-	88	13	0	0	5005	1822	0	0
20210313	08:46:19	3	383	2	116	76	-	88	13	0	0	5005	1822	0	0
20210313	08:46:24	3	383	2	115	76	-	88	13	0	0	5005	1822	0	0
20210313	08:46:29	3	383	2	116	76	-	88	13	0	0	5005	1822	0	0
