#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210312   22:29:17      0     0     2    58    39     -     0     0     0     0  5508  1480     0     0
 20210312   22:29:22      0   705     2   131    44     -    97    47     0     0  5005  1873     0     0
 20210312   22:29:27      0   705     2   130    46     -    97    47     0     0  5005  1860     0     0
 20210312   22:29:32      0   705     2   129    48     -    96    46     0     0  5005  1860     0     0
 20210312   22:29:37      0   705     2   133    50     -    97    46     0     0  5005  1860     0     0
 20210312   22:29:42      0   705     2   135    52     -    97    46     0     0  5005  1860     0     0
 20210312   22:29:47      0   717     2   136    54     -    97    46     0     0  5005  1860     0     0
 20210312   22:29:52      0   717     2   137    55     -    97    46     0     0  5005  1860     0     0
 20210312   22:29:57      0   717     2   136    56     -    97    47     0     0  5005  1860     0     0
 20210312   22:30:02      0   717     2   137    57     -    97    46     0     0  5005  1860     0     0
 20210312   22:30:07      0   717     2   137    58     -    97    46     0     0  5005  1860     0     0
 20210312   22:30:12      0   717     2   134    59     -    97    46     0     0  5005  1847     0     0
 20210312   22:30:17      0   717     2   135    60     -    97    46     0     0  5005  1847     0     0
 20210312   22:30:22      0   717     2   136    61     -    97    46     0     0  5005  1847     0     0
 20210312   22:30:27      0   717     2   135    61     -    97    46     0     0  5005  1847     0     0
 20210312   22:30:32      0   717     2   137    61     -    97    46     0     0  5005  1847     0     0
 20210312   22:30:37      0   717     2   135    62     -    97    46     0     0  5005  1847     0     0
 20210312   22:30:42      0   717     2   137    63     -    97    46     0     0  5005  1847     0     0
 20210312   22:30:47      0   717     2   135    63     -    97    46     0     0  5005  1847     0     0
 20210312   22:30:52      0   717     2   135    63     -    97    46     0     0  5005  1847     0     0
 20210312   22:30:57      0   717     2   137    63     -    97    47     0     0  5005  1847     0     0
 20210312   22:31:02      0   717     2   137    64     -    97    46     0     0  5005  1847     0     0
 20210312   22:31:07      0   717     2   137    64     -    97    46     0     0  5005  1847     0     0
 20210312   22:31:12      0   717     2   137    64     -    97    46     0     0  5005  1835     0     0
 20210312   22:31:17      0   717     2   136    64     -    97    46     0     0  5005  1835     0     0
 20210312   22:31:22      0   717     2   137    65     -    97    46     0     0  5005  1835     0     0
 20210312   22:31:27      0   717     2   137    65     -    97    46     0     0  5005  1835     0     0
 20210312   22:31:32      0   717     2   138    65     -    97    46     0     0  5005  1835     0     0
 20210312   22:31:37      0   717     2   137    65     -    97    46     0     0  5005  1835     0     0
 20210312   22:31:42      0   717     2   139    65     -    97    46     0     0  5005  1835     0     0
 20210312   22:31:47      0   717     2   138    65     -    97    46     0     0  5005  1835     0     0
 20210312   22:31:52      0   717     2   143    66     -    97    46     0     0  5005  1835     0     0
 20210312   22:31:57      0   717     2   138    66     -    97    46     0     0  5005  1835     0     0
 20210312   22:32:02      0   717     2   139    66     -    97    46     0     0  5005  1835     0     0
 20210312   22:32:07      0   717     2   138    66     -    97    46     0     0  5005  1835     0     0
 20210312   22:32:12      0   717     2   139    66     -    97    46     0     0  5005  1835     0     0
 20210312   22:32:17      0   717     2   139    66     -    97    46     0     0  5005  1835     0     0
 20210312   22:32:22      0   717     2   139    66     -    97    46     0     0  5005  1835     0     0
 20210312   22:32:27      0   717     2   138    67     -    97    46     0     0  5005  1835     0     0
 20210312   22:32:32      0   717     2   139    67     -    97    46     0     0  5005  1835     0     0
 20210312   22:32:37      0   717     2   139    67     -    97    46     0     0  5005  1835     0     0
 20210312   22:32:42      0   717     2   139    67     -    97    46     0     0  5005  1835     0     0
 20210312   22:32:47      0   717     2   138    67     -    97    46     0     0  5005  1835     0     0
 20210312   22:32:52      0   717     2   140    67     -    95    45     0     0  5005  1835     0     0
