#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210313   08:39:12      0     0     2    57    30     -     0     0     0     0  5508  1480     0     0
 20210313   08:39:17      0   353     2   103    34     -    84    13     0     0  5005  1885     0     0
 20210313   08:39:22      0   353     2   103    35     -    84    13     0     0  5005  1873     0     0
 20210313   08:39:27      0   353     2   103    37     -    84    13     0     0  5005  1873     0     0
 20210313   08:39:32      0   353     2   101    39     -    84    13     0     0  5005  1873     0     0
 20210313   08:39:37      0   353     2   100    40     -    84    13     0     0  5005  1873     0     0
 20210313   08:39:42      0   373     2   103    42     -    84    13     0     0  5005  1873     0     0
 20210313   08:39:47      0   373     2   104    43     -    84    13     0     0  5005  1873     0     0
 20210313   08:39:52      0   373     2   103    45     -    84    13     0     0  5005  1873     0     0
 20210313   08:39:58      0   373     2   103    46     -    84    13     0     0  5005  1860     0     0
 20210313   08:40:03      0   373     2   103    47     -    84    13     0     0  5005  1860     0     0
 20210313   08:40:08      0   373     2   102    48     -    84    13     0     0  5005  1860     0     0
 20210313   08:40:13      0   373     2   103    49     -    85    13     0     0  5005  1860     0     0
 20210313   08:40:18      0   373     2   104    50     -    84    13     0     0  5005  1860     0     0
 20210313   08:40:23      0   373     2   107    51     -    84    13     0     0  5005  1860     0     0
 20210313   08:40:28      0   373     2   106    52     -    84    13     0     0  5005  1860     0     0
 20210313   08:40:33      0   373     2   108    52     -    84    13     0     0  5005  1860     0     0
 20210313   08:40:38      0   373     2   107    53     -    84    13     0     0  5005  1860     0     0
 20210313   08:40:43      0   373     2   106    54     -    84    13     0     0  5005  1860     0     0
 20210313   08:40:48      0   373     2   107    54     -    84    13     0     0  5005  1860     0     0
 20210313   08:40:53      0   373     2   107    55     -    84    13     0     0  5005  1860     0     0
 20210313   08:40:58      0   373     2   107    55     -    84    13     0     0  5005  1860     0     0
 20210313   08:41:03      0   373     2   107    55     -    84    13     0     0  5005  1860     0     0
 20210313   08:41:08      0   373     2   110    56     -    84    13     0     0  5005  1860     0     0
 20210313   08:41:13      0   373     2   106    56     -    84    13     0     0  5005  1860     0     0
 20210313   08:41:18      0   373     2   109    56     -    84    13     0     0  5005  1860     0     0
 20210313   08:41:23      0   373     2   109    57     -    84    13     0     0  5005  1860     0     0
 20210313   08:41:28      0   373     2   111    57     -    84    13     0     0  5005  1860     0     0
 20210313   08:41:33      0   373     2   107    57     -    84    13     0     0  5005  1860     0     0
 20210313   08:41:38      0   373     2   107    57     -    84    13     0     0  5005  1860     0     0
 20210313   08:41:43      0   373     2   108    58     -    84    13     0     0  5005  1860     0     0
 20210313   08:41:48      0   373     2   108    58     -    84    13     0     0  5005  1860     0     0
 20210313   08:41:53      0   373     2   107    58     -    84    13     0     0  5005  1860     0     0
 20210313   08:41:58      0   373     2   109    58     -    84    13     0     0  5005  1860     0     0
