#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210225   19:43:53      1    10     2    30    27     -     0     0     0     0   715  1189     0     0
 20210225   19:43:54      1    10     2    30    27     -     0     0     0     0   715  1189     0     0
 20210225   19:43:55      1    10     2    30    27     -     0     0     0     0   715  1189     0     0
 20210225   19:43:56      1   433     2    30    27     -     7     0     0     0   715  1189     0     0
 20210225   19:43:57      1   535     2    30    27     -     2     0     0     0   715  1189     0     0
 20210225   19:43:58      1   609     2    30    27     -     0     0     0     0   715  1189     0     0
 20210225   19:43:59      1   715     2    30    27     -    10     0     0     0   715  1189     0     0
 20210225   19:44:00      1  1307     2    58    28     -    93    22     0     0   715  1328     0     0
 20210225   19:44:01      1  1307     2    92    29     -    78    18     0     0   715  1328     0     0
 20210225   19:44:02      1  1309     2   118    29     -    91    21     0     0   715  1328     0     0
 20210225   19:44:03      1  1309     2   109    30     -    71    10     0     0   715  1328     0     0
 20210225   19:44:04      1  1309     2    38    30     -    92    22     0     0   715  1328     0     0
 20210225   19:44:05      1  1399     2    97    31     -    93    25     0     0   715  1328     0     0
 20210225   19:44:06      1  1495     2   112    30     -    72    10     0     0   715  1328     0     0
 20210225   19:44:07      1  1495     2    74    31     -    93    24     0     0   715  1328     0     0
 20210225   19:44:08      1  1495     2   118    31     -    73    12     0     0   715  1328     0     0
 20210225   19:44:09      1  1495     2    91    31     -    93    24     0     0   715  1328     0     0
 20210225   19:44:10      1  1495     2   113    32     -    77    15     0     0   715  1328     0     0
 20210225   19:44:11      1  1495     2    51    31     -    90    20     0     0   715  1328     0     0
 20210225   19:44:12      1  1495     2   107    32     -    72    12     0     0   715  1328     0     0
 20210225   19:44:13      1  1495     2    35    31     -    79    11     0     0   715  1328     0     0
 20210225   19:44:14      1  1495     2   103    32     -    72    11     0     0   715  1328     0     0
 20210225   19:44:15      1  1495     2   116    32     -    90    17     0     0   715  1328     0     0
 20210225   19:44:16      1  1495     2   115    32     -    88    18     0     0   715  1328     0     0
 20210225   19:44:17      1  1495     2    83    32     -    74    16     0     0   715  1328     0     0
 20210225   19:44:18      1  1495     2   106    32     -    75    16     0     0   715  1328     0     0
 20210225   19:44:19      1  1495     2    47    32     -    85    12     0     0   715  1328     0     0
 20210225   19:44:20      1  1495     2   101    33     -    93    25     0     0   715  1328     0     0
 20210225   19:44:21      1  1495     2   118    33     -    71     9     0     0   715  1328     0     0
 20210225   19:44:22      1  1495     2   106    33     -    80    21     0     0   715  1328     0     0
 20210225   19:44:23      1  1495     2   121    33     -    72     9     0     0   715  1328     0     0
 20210225   19:44:24      1  1535     2    78    33     -    94    25     0     0   715  1328     0     0
 20210225   19:44:25      1  1535     2   110    33     -    84    14     0     0   715  1328     0     0
 20210225   19:44:26      1  1535     2    99    33     -    76    19     0     0   715  1328     0     0
 20210225   19:44:27      1  1537     2   122    33     -    89    14     0     0   715  1328     0     0
 20210225   19:44:28      1  1537     2    87    34     -    75    17     0     0   715  1328     0     0
 20210225   19:44:29      1  1537     2   113    33     -    92    22     0     0   715  1328     0     0
 20210225   19:44:30      1  1657     2   102    34     -    94    26     0     0   715  1328     0     0
 20210225   19:44:31      1  1657     2   111    34     -    73    14     0     0   715  1328     0     0
 20210225   19:44:32      1  1657     2    70    34     -    92    21     0     0   715  1328     0     0
 20210225   19:44:33      1  1657     2    37    34     -    89    14     0     0   715  1328     0     0
 20210225   19:44:34      1  1657     2   108    34     -    73    12     0     0   715  1328     0     0
 20210225   19:44:35      1  1657     2    64    34     -    93    24     0     0   715  1328     0     0
 20210225   19:44:37      1  1657     2   100    35     -    73    14     0     0   715  1328     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210225   19:44:38      1  1657     2   121    34     -    91    22     0     0   715  1328     0     0
 20210225   19:44:39      1  1657     2    42    34     -    79    10     0     0   715  1328     0     0
 20210225   19:44:40      1  1657     2   106    34     -    68     9     0     0   715  1328     0     0
 20210225   19:44:41      1  1657     2    66    35     -    91    21     0     0   715  1328     0     0
 20210225   19:44:42      1  1657     2   105    35     -    83    22     0     0   715  1328     0     0
 20210225   19:44:43      1  1657     2    69    35     -    93    25     0     0   715  1328     0     0
 20210225   19:44:44      1  1657     2   118    35     -    70    11     0     0   715  1328     0     0
 20210225   19:44:45      1  1657     2   101    35     -    74    13     0     0   715  1328     0     0
 20210225   19:44:46      1  1657     2   124    35     -    89    15     0     0   715  1328     0     0
 20210225   19:44:47      1  1657     2   109    35     -    70    11     0     0   715  1328     0     0
 20210225   19:44:48      1  1657     2    51    35     -    93    24     0     0   715  1328     0     0
 20210225   19:44:49      1  1657     2    82    35     -    93    23     0     0   715  1328     0     0
 20210225   19:44:50      1  1657     2    57    35     -    88    12     0     0   715  1328     0     0
 20210225   19:44:51      1  1657     2   121    35     -    71    10     0     0   715  1328     0     0
 20210225   19:44:52      1  1657     2    58    35     -    92    22     0     0   715  1328     0     0
 20210225   19:44:53      1  1657     2   115    35     -    70    10     0     0   715  1328     0     0
 20210225   19:44:54      1  1657     2    63    35     -    92    24     0     0   715  1328     0     0
 20210225   19:44:55      1  1657     2   102    36     -    74    14     0     0   715  1328     0     0
 20210225   19:44:56      1  1657     2    46    35     -    91    19     0     0   715  1328     0     0
 20210225   19:44:57      1  1657     2    98    36     -    75    14     0     0   715  1328     0     0
 20210225   19:44:58      1  1657     2    51    35     -    91    17     0     0   715  1328     0     0
 20210225   19:44:59      1  1657     2    94    36     -    84    22     0     0   715  1328     0     0
 20210225   19:45:00      1  1657     2    38    35     -    92    21     0     0   715  1328     0     0
 20210225   19:45:01      1  1657     2    93    36     -    74    13     0     0   715  1328     0     0
 20210225   19:45:02      1  1657     2   116    36     -    74    15     0     0   715  1328     0     0
 20210225   19:45:03      1  1657     2    79    36     -    92    22     0     0   715  1328     0     0
 20210225   19:45:04      1  1657     2   111    36     -    77    19     0     0   715  1328     0     0
 20210225   19:45:05      1  1657     2    61    36     -    88    15     0     0   715  1328     0     0
