#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210225   19:43:49      0     0     2    32    27     -     0     0     0     0   715  1189     0     0
 20210225   19:43:50      0     0     2    31    27     -     0     0     0     0   715  1189     0     0
 20210225   19:43:51      0   355     2    32    27     -     8     0     0     0   715  1189     0     0
 20210225   19:43:52      0   487     2    32    27     -     7     0     0     0   715  1189     0     0
 20210225   19:43:53      0   619     2    32    27     -     7     0     0     0   715  1189     0     0
 20210225   19:43:54      0   691     2    32    27     -    15     0     0     0   715  1189     0     0
 20210225   19:43:55      0  1891     2   104    28     -    81    24     0     0   715  1316     0     0
 20210225   19:43:56      0  1901     2    51    29     -    67    16     0     0   715  1328     0     0
 20210225   19:43:57      0  1903     2   123    30     -    64    15     0     0   715  1328     0     0
 20210225   19:43:58      0  1903     2    62    30     -    82    23     0     0   715  1328     0     0
 20210225   19:43:59      0  1903     2   115    30     -    55    10     0     0   715  1328     0     0
 20210225   19:44:00      0  1903     2    97    30     -    97    30     0     0   715  1328     0     0
 20210225   19:44:01      0  1905     2    40    30     -    46     6     0     0   715  1328     0     0
 20210225   19:44:02      0  1905     2   104    31     -    94    29     0     0   715  1328     0     0
 20210225   19:44:03      0  2355     2    86    31     -    87    25     0     0   715  1328     0     0
 20210225   19:44:04      0  2355     2   128    31     -    84    25     0     0   715  1328     0     0
 20210225   19:44:05      0  2835     2    92    31     -    91    28     0     0   715  1328     0     0
 20210225   19:44:06      0  2835     2    53    31     -    63    14     0     0   715  1328     0     0
 20210225   19:44:07      0  2835     2   105    31     -    79    22     0     0   715  1328     0     0
 20210225   19:44:08      0  2835     2    96    32     -    92    28     0     0   715  1328     0     0
 20210225   19:44:09      0  2835     2   119    32     -    48     8     0     0   715  1328     0     0
 20210225   19:44:10      0  2835     2   104    32     -    95    29     0     0   715  1328     0     0
 20210225   19:44:11      0  2835     2    52    31     -    59    11     0     0   715  1328     0     0
 20210225   19:44:12      0  2835     2   111    32     -    93    27     0     0   715  1328     0     0
 20210225   19:44:13      0  2835     2    57    32     -    65    14     0     0   715  1328     0     0
 20210225   19:44:14      0  2837     2    46    32     -    60    11     0     0   715  1328     0     0
 20210225   19:44:15      0  2837     2   106    33     -    96    28     0     0   715  1328     0     0
 20210225   19:44:16      0  2837     2    62    32     -    71    17     0     0   715  1328     0     0
 20210225   19:44:17      0  2837     2   121    33     -    50     9     0     0   715  1328     0     0
 20210225   19:44:18      0  2837     2    87    33     -    85    24     0     0   715  1328     0     0
 20210225   19:44:19      0  2837     2   119    33     -    59    11     0     0   715  1328     0     0
 20210225   19:44:20      0  2837     2   100    33     -    95    28     0     0   715  1328     0     0
 20210225   19:44:21      0  2837     2   134    32     -    62    13     0     0   715  1328     0     0
 20210225   19:44:22      0  2837     2   105    33     -    86    24     0     0   715  1328     0     0
 20210225   19:44:23      0  2837     2    62    33     -    68    16     0     0   715  1328     0     0
 20210225   19:44:24      0  2837     2    93    33     -    86    24     0     0   715  1328     0     0
 20210225   19:44:25      0  2841     2    43    33     -    60    12     0     0   715  1328     0     0
 20210225   19:44:26      0  2841     2   116    34     -    96    28     0     0   715  1328     0     0
 20210225   19:44:27      0  2841     2    54    34     -    61    13     0     0   715  1328     0     0
 20210225   19:44:28      0  2841     2   102    34     -    87    24     0     0   715  1328     0     0
 20210225   19:44:29      0  2841     2    77    34     -    80    22     0     0   715  1328     0     0
 20210225   19:44:30      0  2841     2   123    34     -    50     8     0     0   715  1328     0     0
 20210225   19:44:31      0  2841     2    82    34     -    89    26     0     0   715  1328     0     0
 20210225   19:44:32      0  2841     2    40    34     -    71    17     0     0   715  1328     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210225   19:44:33      0  2841     2   122    35     -    76    21     0     0   715  1328     0     0
 20210225   19:44:34      0  2841     2   101    35     -    94    28     0     0   715  1328     0     0
 20210225   19:44:35      0  2841     2   113    34     -    45     7     0     0   715  1328     0     0
 20210225   19:44:36      0  2841     2    99    35     -    85    24     0     0   715  1328     0     0
 20210225   19:44:37      0  2841     2    55    34     -    61    12     0     0   715  1328     0     0
 20210225   19:44:38      0  2841     2   114    35     -    96    28     0     0   715  1328     0     0
 20210225   19:44:39      0  2841     2    90    35     -    91    28     0     0   715  1328     0     0
 20210225   19:44:40      0  2841     2    92    34     -    52     7     0     0   715  1328     0     0
 20210225   19:44:41      0  2841     2   103    35     -    89    25     0     0   715  1328     0     0
 20210225   19:44:42      0  2841     2    94    35     -    92    28     0     0   715  1328     0     0
 20210225   19:44:43      0  2841     2   116    35     -    59    12     0     0   715  1328     0     0
 20210225   19:44:44      0  2841     2   110    36     -    95    29     0     0   715  1328     0     0
 20210225   19:44:45      0  2841     2    62    35     -    69    16     0     0   715  1328     0     0
 20210225   19:44:47      0  2841     2   125    35     -    42     5     0     0   715  1328     0     0
 20210225   19:44:48      0  2841     2   108    36     -    95    29     0     0   715  1328     0     0
 20210225   19:44:49      0  2841     2   141    35     -    46     7     0     0   715  1328     0     0
 20210225   19:44:50      0  3441     2   120    36     -    96    32     0     0   715  1328     0     0
 20210225   19:44:51      0  3441     2    97    36     -    92    28     0     0   715  1328     0     0
 20210225   19:44:52      0  3441     2   122    36     -    61    13     0     0   715  1328     0     0
 20210225   19:44:53      0  3441     2    64    36     -    79    22     0     0   715  1328     0     0
 20210225   19:44:54      0  3441     2   144    35     -    57    10     0     0   715  1328     0     0
 20210225   19:44:55      0  3441     2   111    36     -    98    30     0     0   715  1328     0     0
 20210225   19:44:56      0  3441     2    71    36     -    79    22     0     0   715  1328     0     0
 20210225   19:44:57      0  3441     2   129    37     -    45     7     0     0   715  1328     0     0
 20210225   19:44:58      0  3441     2   113    37     -    97    28     0     0   715  1328     0     0
 20210225   19:44:59      0  3441     2    56    36     -    79    21     0     0   715  1328     0     0
 20210225   19:45:00      0  3441     2   127    37     -    64    14     0     0   715  1328     0     0
 20210225   19:45:01      0  3441     2    98    37     -    91    27     0     0   715  1328     0     0
 20210225   19:45:02      0  3441     2   171    36     -    43     5     0     0   715  1328     0     0
 20210225   19:45:03      0  3441     2   130    36     -    46     5     0     0   715  1328     0     0
 20210225   19:45:04      0  3441     2   104    36     -    91    27     0     0   715  1328     0     0
 20210225   19:45:05      0  3441     2   121    37     -    56    10     0     0   715  1328     0     0
 20210225   19:45:06      0  3441     2   114    37     -    96    31     0     0   715  1328     0     0
 20210225   19:45:07      0  3441     2    80    37     -    90    27     0     0   715  1328     0     0
 20210225   19:45:08      0  3441     2   126    37     -    51     9     0     0   715  1328     0     0
 20210225   19:45:09      0  3441     2   108    37     -    86    23     0     0   715  1328     0     0
 20210225   19:45:10      0  3441     2    64    37     -    82    23     0     0   715  1328     0     0
 20210225   19:45:11      0  3441     2   127    37     -    67    17     0     0   715  1328     0     0
 20210225   19:45:12      0  3441     2    85    37     -    71    17     0     0   715  1328     0     0
 20210225   19:45:13      0  3441     2    55    36     -    58    10     0     0   715  1328     0     0
 20210225   19:45:14      0  3441     2   117    37     -    72    19     0     0   715  1328     0     0
 20210225   19:45:15      0  3441     2   106    37     -    95    30     0     0   715  1328     0     0
 20210225   19:45:16      0  3441     2    56    37     -    66    15     0     0   715  1328     0     0
 20210225   19:45:17      0  3441     2   106    37     -    95    29     0     0   715  1328     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210225   19:45:18      0  3441     2    40    37     -    61    12     0     0   715  1328     0     0
 20210225   19:45:19      0  3441     2   125    38     -    95    28     0     0   715  1328     0     0
 20210225   19:45:20      0  3441     2    89    37     -    87    25     0     0   715  1328     0     0
 20210225   19:45:21      0  3441     2   135    38     -    50    10     0     0   715  1328     0     0
 20210225   19:45:22      0  3441     2   105    38     -    92    27     0     0   715  1328     0     0
 20210225   19:45:23      0  3441     2    58    37     -    60    11     0     0   715  1328     0     0
 20210225   19:45:24      0  3441     2    51    37     -    45     5     0     0   715  1328     0     0
 20210225   19:45:25      0  3441     2    45    37     -    56    10     0     0   715  1328     0     0
 20210225   19:45:26      0  3441     2   115    38     -    94    28     0     0   715  1328     0     0
 20210225   19:45:27      0  3441     2    71    38     -    87    26     0     0   715  1328     0     0
 20210225   19:45:28      0  3441     2   132    38     -    48     9     0     0   715  1328     0     0
 20210225   19:45:29      0  3441     2    93    38     -    87    26     0     0   715  1328     0     0
 20210225   19:45:30      0  3441     2   160    38     -    55     9     0     0   715  1328     0     0
 20210225   19:45:31      0  3441     2   121    38     -    73    21     0     0   715  1328     0     0
 20210225   19:45:32      0  3441     2    72    38     -    86    24     0     0   715  1328     0     0
 20210225   19:45:33      0  3441     2   123    37     -    43     6     0     0   715  1328     0     0
 20210225   19:45:34      0  3441     2    99    38     -    87    25     0     0   715  1328     0     0
