#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20210308	13:18:54	1	1079	2	97	29	-	95	22	0	0	715	1328	0	0
20210308	13:18:59	1	1095	2	40	29	-	36	8	0	0	715	1328	0	0
20210308	13:19:04	1	1029	2	82	30	-	39	7	0	0	715	1328	0	0
20210308	13:19:09	1	1095	2	53	30	-	76	16	0	0	715	1328	0	0
20210308	13:19:14	1	1091	2	57	31	-	63	14	0	0	715	1328	0	0
20210308	13:19:19	1	1127	2	49	31	-	76	16	0	0	715	1328	0	0
20210308	13:19:24	1	1043	2	49	31	-	53	12	0	0	715	1328	0	0
20210308	13:19:29	1	1055	2	64	32	-	70	17	0	0	715	1328	0	0
20210308	13:19:34	1	1043	2	89	32	-	70	16	0	0	715	1328	0	0
20210308	13:19:39	1	1029	2	114	32	-	55	12	0	0	715	1328	0	0
20210308	13:19:44	1	1123	2	93	33	-	96	23	0	0	715	1328	0	0
20210308	13:19:49	1	1097	2	38	32	-	16	3	0	0	715	1328	0	0
20210308	13:19:54	1	1091	2	75	33	-	93	21	0	0	715	1328	0	0
20210308	13:19:59	1	1091	2	45	33	-	66	14	0	0	715	1328	0	0
20210308	13:20:04	1	1095	2	46	33	-	75	17	0	0	715	1328	0	0
20210308	13:20:09	1	1137	2	36	33	-	6	1	0	0	715	1328	0	0
20210308	13:20:14	1	1079	2	94	33	-	17	3	0	0	715	1328	0	0
20210308	13:20:19	1	1055	2	61	33	-	95	23	0	0	715	1328	0	0
20210308	13:20:24	1	1091	2	40	33	-	13	2	0	0	715	1328	0	0
20210308	13:20:29	1	1057	2	76	34	-	90	20	0	0	715	1328	0	0
20210308	13:20:34	1	1043	2	92	34	-	97	23	0	0	715	1328	0	0
20210308	13:20:39	1	1095	2	58	34	-	79	18	0	0	715	1328	0	0
20210308	13:20:44	1	1123	2	44	34	-	72	15	0	0	715	1328	0	0
20210308	13:20:49	1	1025	2	111	34	-	60	14	0	0	715	1328	0	0
20210308	13:20:54	1	1095	2	55	34	-	69	16	0	0	715	1328	0	0
20210308	13:20:59	1	1043	2	90	35	-	97	22	0	0	715	1328	0	0
20210308	13:21:04	1	1091	2	79	35	-	74	17	0	0	715	1328	0	0
20210308	13:21:09	1	1029	2	81	34	-	66	16	0	0	715	1328	0	0
20210308	13:21:14	1	1141	2	42	34	-	29	6	0	0	715	1328	0	0
20210308	13:21:19	1	1031	2	111	34	-	77	19	0	0	715	1328	0	0
20210308	13:21:24	1	1097	2	88	35	-	76	17	0	0	715	1328	0	0
20210308	13:21:29	1	1091	2	72	35	-	35	9	0	0	715	1328	0	0
20210308	13:21:34	1	1079	2	92	35	-	94	22	0	0	715	1328	0	0
20210308	13:21:39	1	1091	2	64	35	-	79	16	0	0	715	1328	0	0
20210308	13:21:44	1	1097	2	36	34	-	10	2	0	0	715	1328	0	0
20210308	13:21:49	1	1107	2	90	35	-	85	19	0	0	715	1328	0	0
20210308	13:21:54	1	1091	2	45	34	-	13	2	0	0	715	1328	0	0
20210308	13:21:59	1	1135	2	47	34	-	44	11	0	0	715	1328	0	0
20210308	13:22:04	1	1111	2	47	35	-	88	21	0	0	715	1328	0	0
20210308	13:22:09	1	1095	2	46	34	-	17	3	0	0	715	1328	0	0
20210308	13:22:14	1	1081	2	103	35	-	69	15	0	0	715	1328	0	0
20210308	13:22:19	1	1091	2	60	35	-	46	10	0	0	715	1328	0	0
20210308	13:22:24	1	1081	2	99	35	-	76	17	0	0	715	1328	0	0
#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20210308	13:22:29	1	1045	2	103	34	-	67	16	0	0	715	1328	0	0
20210308	13:22:34	1	1045	2	72	35	-	67	14	0	0	715	1328	0	0
20210308	13:22:39	1	1059	2	92	35	-	85	20	0	0	715	1328	0	0
20210308	13:22:44	1	1095	2	50	35	-	95	23	0	0	715	1328	0	0
20210308	13:22:49	1	1055	2	76	35	-	71	15	0	0	715	1328	0	0
20210308	13:22:54	1	1059	2	84	35	-	63	13	0	0	715	1328	0	0
20210308	13:22:59	1	1029	2	114	35	-	26	4	0	0	715	1328	0	0
20210308	13:23:04	1	1087	2	37	35	-	32	7	0	0	715	1328	0	0
20210308	13:23:09	1	1105	2	110	35	-	59	12	0	0	715	1328	0	0
20210308	13:23:14	1	1061	2	37	35	-	51	12	0	0	715	1328	0	0
20210308	13:23:20	1	1049	2	68	34	-	42	8	0	0	715	1328	0	0
20210308	13:23:25	1	1137	2	46	35	-	53	10	0	0	715	1328	0	0
20210308	13:23:30	1	1095	2	46	35	-	36	6	0	0	715	1328	0	0
20210308	13:23:35	1	1095	2	55	35	-	67	15	0	0	715	1328	0	0
20210308	13:23:40	1	1095	2	41	34	-	11	2	0	0	715	1328	0	0
20210308	13:23:45	1	1127	2	94	35	-	77	17	0	0	715	1328	0	0
20210308	13:23:50	1	1095	2	36	35	-	68	16	0	0	715	1328	0	0
20210308	13:23:55	1	1091	2	38	34	-	16	3	0	0	715	1328	0	0
20210308	13:24:00	1	1135	2	45	35	-	45	8	0	0	715	1328	0	0
20210308	13:24:05	1	1071	2	43	34	-	71	15	0	0	715	1328	0	0
20210308	13:24:10	1	1097	2	55	35	-	82	19	0	0	715	1328	0	0
20210308	13:24:15	1	1115	2	36	35	-	15	3	0	0	715	1328	0	0
