#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210308   15:00:18      1    10     2    30    27     -     0     0     0     0   715  1189     0     0
 20210308   15:00:23      1  1079     2   100    30     -    94    22     0     0   715  1328     0     0
 20210308   15:00:28      1  1095     2    35    29     -    54    12     0     0   715  1328     0     0
 20210308   15:00:33      1  1059     2    95    30     -    35     7     0     0   715  1328     0     0
 20210308   15:00:38      1  1093     2    91    31     -    89    20     0     0   715  1328     0     0
 20210308   15:00:43      1  1045     2    51    30     -    47    11     0     0   715  1328     0     0
 20210308   15:00:48      1  1047     2    72    31     -    56    11     0     0   715  1328     0     0
 20210308   15:00:53      1  1055     2    45    31     -    72    16     0     0   715  1328     0     0
 20210308   15:00:58      1  1091     2    74    31     -    33     5     0     0   715  1328     0     0
 20210308   15:01:03      1  1045     2    37    32     -    73    17     0     0   715  1328     0     0
 20210308   15:01:08      1  1095     2    54    32     -    86    20     0     0   715  1328     0     0
 20210308   15:01:13      1  1059     2   104    33     -    96    22     0     0   715  1328     0     0
 20210308   15:01:18      1  1093     2    35    32     -    18     3     0     0   715  1328     0     0
 20210308   15:01:23      1  1097     2    36    32     -    59    12     0     0   715  1328     0     0
 20210308   15:01:28      1  1137     2    43    33     -    56    13     0     0   715  1328     0     0
 20210308   15:01:33      1  1043     2    87    33     -    90    21     0     0   715  1328     0     0
 20210308   15:01:38      1  1095     2    41    33     -    13     2     0     0   715  1328     0     0
 20210308   15:01:43      1  1055     2    69    33     -    61    13     0     0   715  1328     0     0
 20210308   15:01:48      1  1097     2    45    33     -    76    16     0     0   715  1328     0     0
 20210308   15:01:53      1  1097     2    44    33     -     4     1     0     0   715  1328     0     0
 20210308   15:01:59      1  1097     2    43    34     -    51    13     0     0   715  1328     0     0
 20210308   15:02:04      1  1079     2   101    34     -    31     6     0     0   715  1328     0     0
 20210308   15:02:09      1  1123     2    37    34     -     8     2     0     0   715  1328     0     0
 20210308   15:02:14      1  1095     2    40    33     -    13     2     0     0   715  1328     0     0
 20210308   15:02:19      1  1095     2    54    34     -    75    15     0     0   715  1328     0     0
 20210308   15:02:24      1  1045     2    87    34     -    65    14     0     0   715  1328     0     0
 20210308   15:02:29      1  1079     2    85    35     -    73    17     0     0   715  1328     0     0
 20210308   15:02:34      1  1105     2    38    34     -    72    16     0     0   715  1328     0     0
 20210308   15:02:39      1  1095     2    39    34     -     7     1     0     0   715  1328     0     0
 20210308   15:02:44      1  1061     2    40    34     -    39     7     0     0   715  1328     0     0
 20210308   15:02:49      1  1061     2    98    34     -    47     8     0     0   715  1328     0     0
 20210308   15:02:54      1  1091     2    57    34     -    73    16     0     0   715  1328     0     0
 20210308   15:02:59      1  1055     2    73    35     -    96    22     0     0   715  1328     0     0
 20210308   15:03:04      1  1097     2    47    34     -    86    21     0     0   715  1328     0     0
