#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210224   16:15:41      1    10     2    25    27     -     0     0     0     0   715   405     0     0
 20210224   16:15:42      1    10     2    25    27     -     0     0     0     0   715   405     0     0
 20210224   16:15:43      1    18     2    25    27     -     0     0     0     0   715   405     0     0
 20210224   16:15:44      1   391     2    30    27     -    13     0     0     0   715  1189     0     0
 20210224   16:15:45      1   439     2    30    27     -     0     0     0     0   715  1189     0     0
 20210224   16:15:46      1   515     2    30    27     -     4     0     0     0   715  1189     0     0
 20210224   16:15:47      1   657     2    30    27     -     5     0     0     0   715  1189     0     0
 20210224   16:15:48      1  1033     2    31    27     -    10     0     0     0   715  1189     0     0
 20210224   16:15:49      1  1433     2    46    29     -    92    21     0     0   715  1328     0     0
 20210224   16:15:50      1  1535     2   111    30     -    72    13     0     0   715  1328     0     0
 20210224   16:15:51      1  1535     2   116    30     -    72    11     0     0   715  1328     0     0
 20210224   16:15:52      1  1535     2    58    30     -    90    17     0     0   715  1328     0     0
 20210224   16:15:53      1  1575     2   113    31     -    78    19     0     0   715  1328     0     0
 20210224   16:15:54      1  1575     2    62    30     -    91    18     0     0   715  1328     0     0
 20210224   16:15:55      1  1575     2   100    31     -    74    16     0     0   715  1328     0     0
 20210224   16:15:56      1  1575     2    55    30     -    89    16     0     0   715  1328     0     0
 20210224   16:15:57      1  1575     2   101    31     -    74    16     0     0   715  1328     0     0
 20210224   16:15:58      1  1575     2    53    31     -    93    24     0     0   715  1328     0     0
 20210224   16:15:59      1  1743     2   123    32     -    77     9     0     0   715  1328     0     0
 20210224   16:16:00      1  1743     2    67    32     -    77    18     0     0   715  1328     0     0
 20210224   16:16:01      1  1743     2   123    32     -    93    20     0     0   715  1328     0     0
 20210224   16:16:02      1  1743     2    39    31     -    93    23     0     0   715  1328     0     0
 20210224   16:16:03      1  1743     2    43    32     -    87    13     0     0   715  1328     0     0
 20210224   16:16:04      1  1743     2   102    32     -    75    18     0     0   715  1328     0     0
 20210224   16:16:05      1  1743     2   113    32     -    71    14     0     0   715  1328     0     0
 20210224   16:16:06      1  1743     2    38    32     -    90    19     0     0   715  1328     0     0
 20210224   16:16:07      1  1743     2    75    33     -    93    24     0     0   715  1328     0     0
 20210224   16:16:08      1  1743     2   115    33     -    80     9     0     0   715  1328     0     0
 20210224   16:16:09      1  1743     2    52    33     -    93    24     0     0   715  1328     0     0
 20210224   16:16:10      1  1743     2    82    32     -    89    16     0     0   715  1328     0     0
 20210224   16:16:11      1  1743     2    54    33     -    89    23     0     0   715  1328     0     0
 20210224   16:16:12      1  1743     2   107    33     -    71    10     0     0   715  1328     0     0
 20210224   16:16:13      1  1743     2    58    33     -    94    25     0     0   715  1328     0     0
 20210224   16:16:14      1  1743     2   115    33     -    86    11     0     0   715  1328     0     0
 20210224   16:16:15      1  1743     2    39    33     -    81    13     0     0   715  1328     0     0
 20210224   16:16:16      1  1743     2    88    34     -    93    24     0     0   715  1328     0     0
 20210224   16:16:17      1  1743     2    97    34     -    78    19     0     0   715  1328     0     0
 20210224   16:16:18      1  1743     2    57    34     -    90    17     0     0   715  1328     0     0
 20210224   16:16:19      1  1743     2    85    33     -    40     4     0     0   715  1328     0     0
 20210224   16:16:20      1  1745     2    80    34     -    94    24     0     0   715  1328     0     0
 20210224   16:16:21      1  1745     2   115    34     -    73    13     0     0   715  1328     0     0
 20210224   16:16:22      1  1745     2    67    34     -    94    24     0     0   715  1328     0     0
 20210224   16:16:23      1  1745     2   106    35     -    74    14     0     0   715  1328     0     0
 20210224   16:16:24      1  1745     2    60    34     -    95    26     0     0   715  1328     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210224   16:16:26      1  1745     2   114    35     -    73    16     0     0   715  1328     0     0
 20210224   16:16:27      1  1745     2    54    34     -    90    19     0     0   715  1328     0     0
 20210224   16:16:28      1  1929     2   100    35     -    72    13     0     0   715  1328     0     0
 20210224   16:16:29      1  1929     2   113    35     -    74    12     0     0   715  1328     0     0
 20210224   16:16:30      1  1929     2    64    35     -    93    24     0     0   715  1328     0     0
 20210224   16:16:31      1  1929     2   104    35     -    73    14     0     0   715  1328     0     0
 20210224   16:16:32      1  1929     2    46    34     -    91    15     0     0   715  1328     0     0
 20210224   16:16:33      1  1929     2   106    35     -    79    18     0     0   715  1328     0     0
