#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210224   16:15:24      0     0     2    32    27     -     0     0     0     0   715  1189     0     0
 20210224   16:15:25      0     0     2    32    27     -     0     0     0     0   715  1189     0     0
 20210224   16:15:26      0   381     2    32    27     -     0     0     0     0   715  1189     0     0
 20210224   16:15:27      0   409     2    31    27     -     0     0     0     0   715  1189     0     0
 20210224   16:15:28      0   547     2    31    27     -    11     0     0     0   715  1189     0     0
 20210224   16:15:29      0   717     2    31    27     -    13     0     0     0   715  1189     0     0
 20210224   16:15:30      0  1775     2   111    28     -    98    29     0     0   715  1316     0     0
 20210224   16:15:31      0  2243     2   114    29     -    97    31     0     0   715  1328     0     0
 20210224   16:15:32      0  2753     2   126    30     -    75    20     0     0   715  1328     0     0
 20210224   16:15:33      0  2753     2    93    30     -    91    26     0     0   715  1328     0     0
 20210224   16:15:34      0  2755     2   115    30     -    97    27     0     0   715  1328     0     0
 20210224   16:15:35      0  2755     2   130    30     -    61    12     0     0   715  1328     0     0
 20210224   16:15:36      0  2755     2    69    30     -    83    21     0     0   715  1328     0     0
 20210224   16:15:37      0  2755     2   114    31     -    73    18     0     0   715  1328     0     0
 20210224   16:15:38      0  2755     2   111    31     -    96    30     0     0   715  1328     0     0
 20210224   16:15:39      0  2755     2   126    31     -    80    22     0     0   715  1328     0     0
 20210224   16:15:40      0  2755     2    55    31     -    69    13     0     0   715  1328     0     0
 20210224   16:15:41      0  2755     2   116    31     -    62    14     0     0   715  1328     0     0
 20210224   16:15:42      0  2755     2    84    32     -    88    23     0     0   715  1328     0     0
 20210224   16:15:43      0  2755     2   113    32     -    94    27     0     0   715  1328     0     0
 20210224   16:15:44      0  2755     2    55    32     -    86    22     0     0   715  1328     0     0
 20210224   16:15:46      0  2755     2   129    33     -    85    24     0     0   715  1328     0     0
 20210224   16:15:47      0  2755     2    52    32     -    86    22     0     0   715  1328     0     0
 20210224   16:15:48      0  2755     2   117    33     -    96    29     0     0   715  1328     0     0
 20210224   16:15:49      0  3385     2    71    33     -    92    25     0     0   715  1328     0     0
 20210224   16:15:50      0  3385     2   119    33     -    74    18     0     0   715  1328     0     0
 20210224   16:15:51      0  3385     2    80    33     -    92    26     0     0   715  1328     0     0
 20210224   16:15:52      0  3385     2   118    33     -    56     9     0     0   715  1328     0     0
 20210224   16:15:53      0  3385     2    71    33     -    90    25     0     0   715  1328     0     0
 20210224   16:15:54      0  3385     2   105    34     -    71    16     0     0   715  1328     0     0
 20210224   16:15:55      0  3385     2   129    33     -    58     8     0     0   715  1328     0     0
 20210224   16:15:56      0  3385     2    93    34     -    96    28     0     0   715  1328     0     0
 20210224   16:15:57      0  3385     2   117    34     -    87    24     0     0   715  1328     0     0
 20210224   16:15:58      0  3385     2    53    34     -    76    17     0     0   715  1328     0     0
 20210224   16:15:59      0  3385     2   119    34     -    97    30     0     0   715  1328     0     0
 20210224   16:16:00      0  3385     2   142    34     -    60    10     0     0   715  1328     0     0
 20210224   16:16:01      0  3385     2    88    34     -    92    26     0     0   715  1328     0     0
 20210224   16:16:02      0  3385     2   120    35     -    97    28     0     0   715  1328     0     0
 20210224   16:16:03      0  3385     2   102    35     -    96    31     0     0   715  1328     0     0
 20210224   16:16:04      0  3385     2   134    34     -    40     4     0     0   715  1328     0     0
 20210224   16:16:05      0  3385     2    80    35     -    97    28     0     0   715  1328     0     0
 20210224   16:16:06      0  3385     2   134    35     -    98    30     0     0   715  1328     0     0
 20210224   16:16:07      0  3385     2    64    35     -    81    19     0     0   715  1328     0     0
 20210224   16:16:08      0  3385     2   122    35     -    96    28     0     0   715  1328     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210224   16:16:09      0  3385     2   126    35     -    61    11     0     0   715  1328     0     0
 20210224   16:16:10      0  3385     2    81    35     -    92    26     0     0   715  1328     0     0
 20210224   16:16:11      0  3385     2   129    35     -    62    12     0     0   715  1328     0     0
 20210224   16:16:12      0  3385     2   117    36     -    96    29     0     0   715  1328     0     0
 20210224   16:16:13      0  3385     2   152    35     -    60     8     0     0   715  1328     0     0
 20210224   16:16:14      0  3385     2    90    36     -    95    28     0     0   715  1328     0     0
 20210224   16:16:15      0  3385     2   124    35     -    83    20     0     0   715  1328     0     0
 20210224   16:16:16      0  3385     2    87    36     -    95    28     0     0   715  1328     0     0
