#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210307   10:32:21      0     0     2    31    28     -     0     0     0     0   715  1189     0     0
 20210307   10:32:26      0  1087     2    61    30     -    83    18     0     0   715  1328     0     0
 20210307   10:32:31      0  1055     2    97    31     -    76    15     0     0   715  1328     0     0
 20210307   10:32:36      0  1051     2    74    31     -    17     3     0     0   715  1328     0     0
 20210307   10:32:41      0  1055     2    99    32     -    93    22     0     0   715  1328     0     0
 20210307   10:32:46      0  1087     2    84    33     -    89    21     0     0   715  1328     0     0
 20210307   10:32:51      0  1091     2    59    33     -    82    18     0     0   715  1328     0     0
 20210307   10:32:56      0  1071     2   120    34     -    87    19     0     0   715  1328     0     0
 20210307   10:33:01      0  1089     2    68    34     -    82    18     0     0   715  1328     0     0
 20210307   10:33:06      0  1087     2    79    34     -    95    23     0     0   715  1328     0     0
 20210307   10:33:11      0  1093     2    46    34     -    91    20     0     0   715  1328     0     0
 20210307   10:33:16      0  1093     2    71    35     -    65    11     0     0   715  1328     0     0
 20210307   10:33:21      0  1087     2    97    35     -    81    17     0     0   715  1328     0     0
 20210307   10:33:26      0  1123     2   101    35     -    81    17     0     0   715  1328     0     0
 20210307   10:33:31      0  1029     2   116    35     -    80    17     0     0   715  1328     0     0
 20210307   10:33:36      0  1091     2    83    36     -    68    12     0     0   715  1328     0     0
 20210307   10:33:41      0  1075     2   102    36     -    84    19     0     0   715  1328     0     0
 20210307   10:33:46      0  1119     2   100    36     -    96    21     0     0   715  1328     0     0
 20210307   10:33:51      0  1091     2    83    36     -    97    23     0     0   715  1328     0     0
 20210307   10:33:56      0  1055     2    93    36     -    83    18     0     0   715  1328     0     0
 20210307   10:34:01      0  1075     2    56    36     -    34     8     0     0   715  1328     0     0
 20210307   10:34:07      0  1023     2    96    36     -    94    21     0     0   715  1328     0     0
 20210307   10:34:12      0  1089     2    70    36     -    71    15     0     0   715  1328     0     0
 20210307   10:34:17      0  1055     2   102    37     -    91    21     0     0   715  1328     0     0
 20210307   10:34:22      0  1087     2    71    36     -    86    20     0     0   715  1328     0     0
 20210307   10:34:27      0  1075     2   103    37     -    85    18     0     0   715  1328     0     0
 20210307   10:34:32      0  1089     2    80    37     -    86    19     0     0   715  1328     0     0
 20210307   10:34:37      0  1079     2    66    37     -    95    22     0     0   715  1328     0     0
 20210307   10:34:42      0  1053     2    83    37     -    95    22     0     0   715  1328     0     0
 20210307   10:34:47      0  1051     2    83    37     -    81    17     0     0   715  1328     0     0
 20210307   10:34:52      0  1115     2    48    37     -    82    18     0     0   715  1328     0     0
 20210307   10:34:57      0  1057     2   103    37     -    85    19     0     0   715  1328     0     0
 20210307   10:35:02      0  1021     2   118    37     -    57    11     0     0   715  1328     0     0
 20210307   10:35:07      0  1087     2    59    37     -    26     5     0     0   715  1328     0     0
 20210307   10:35:12      0  1089     2    67    37     -    96    22     0     0   715  1328     0     0
 20210307   10:35:17      0  1117     2    76    38     -    89    20     0     0   715  1328     0     0
 20210307   10:35:22      0  1087     2    62    37     -    94    22     0     0   715  1328     0     0
 20210307   10:35:27      0  1055     2   101    37     -    44    10     0     0   715  1328     0     0
 20210307   10:35:32      0  1087     2    75    38     -    96    21     0     0   715  1328     0     0
 20210307   10:35:37      0  1051     2    75    37     -    83    18     0     0   715  1328     0     0
 20210307   10:35:42      0  1103     2   103    38     -    93    21     0     0   715  1328     0     0
 20210307   10:35:47      0  1055     2    97    37     -    83    18     0     0   715  1328     0     0
 20210307   10:35:52      0  1087     2    71    37     -    90    21     0     0   715  1328     0     0
 20210307   10:35:57      0  1087     2    66    37     -    81    17     0     0   715  1328     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210307   10:36:02      0  1147     2    98    38     -    96    23     0     0   715  1328     0     0
 20210307   10:36:07      0  1089     2    69    38     -    90    21     0     0   715  1328     0     0
 20210307   10:36:12      0  1091     2    62    37     -    90    21     0     0   715  1328     0     0
 20210307   10:36:17      0  1087     2    64    37     -    95    23     0     0   715  1328     0     0
 20210307   10:36:22      0  1051     2    77    38     -    95    23     0     0   715  1328     0     0
 20210307   10:36:27      0  1051     2    68    38     -    97    23     0     0   715  1328     0     0
 20210307   10:36:32      0  1047     2    40    37     -    21     4     0     0   715  1328     0     0
 20210307   10:36:37      0  1137     2    54    37     -    82    17     0     0   715  1328     0     0
 20210307   10:36:42      0  1055     2    93    38     -    85    20     0     0   715  1328     0     0
 20210307   10:36:47      0  1095     2    49    37     -    73    14     0     0   715  1328     0     0
 20210307   10:36:52      0  1039     2    90    37     -    83    19     0     0   715  1328     0     0
 20210307   10:36:57      0  1023     2   112    37     -    81    18     0     0   715  1328     0     0
