#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20210307	09:42:51	0	1087	2	64	29	-	89	21	0	0	715	1328	0	0
20210307	09:42:56	0	1055	2	101	30	-	70	13	0	0	715	1328	0	0
20210307	09:43:01	0	1091	2	62	30	-	13	2	0	0	715	1328	0	0
20210307	09:43:06	0	1051	2	73	31	-	70	13	0	0	715	1328	0	0
20210307	09:43:11	0	1077	2	97	32	-	83	18	0	0	715	1328	0	0
20210307	09:43:16	0	1121	2	100	32	-	91	20	0	0	715	1328	0	0
20210307	09:43:21	0	1087	2	85	33	-	80	17	0	0	715	1328	0	0
20210307	09:43:26	0	1089	2	69	33	-	83	19	0	0	715	1328	0	0
20210307	09:43:31	0	1059	2	79	33	-	76	15	0	0	715	1328	0	0
20210307	09:43:36	0	1087	2	87	34	-	95	23	0	0	715	1328	0	0
20210307	09:43:41	0	1091	2	58	34	-	92	22	0	0	715	1328	0	0
20210307	09:43:46	0	1051	2	79	34	-	93	21	0	0	715	1328	0	0
20210307	09:43:51	0	1051	2	81	35	-	76	16	0	0	715	1328	0	0
20210307	09:43:56	0	1133	2	107	35	-	95	21	0	0	715	1328	0	0
20210307	09:44:01	0	1103	2	95	35	-	92	22	0	0	715	1328	0	0
20210307	09:44:06	0	1087	2	55	35	-	20	4	0	0	715	1328	0	0
20210307	09:44:11	0	1055	2	99	35	-	78	16	0	0	715	1328	0	0
20210307	09:44:16	0	1091	2	65	35	-	84	18	0	0	715	1328	0	0
20210307	09:44:21	0	1041	2	68	36	-	92	21	0	0	715	1328	0	0
20210307	09:44:26	0	1075	2	105	35	-	30	6	0	0	715	1328	0	0
20210307	09:44:32	0	1023	2	88	36	-	94	22	0	0	715	1328	0	0
20210307	09:44:37	0	1087	2	78	36	-	80	17	0	0	715	1328	0	0
20210307	09:44:42	0	1089	2	108	36	-	89	16	0	0	715	1328	0	0
20210307	09:44:47	0	1095	2	51	35	-	76	16	0	0	715	1328	0	0
20210307	09:44:52	0	1087	2	70	36	-	83	18	0	0	715	1328	0	0
20210307	09:44:57	0	1041	2	69	36	-	95	21	0	0	715	1328	0	0
20210307	09:45:02	0	1093	2	100	36	-	55	10	0	0	715	1328	0	0
20210307	09:45:07	0	1087	2	67	36	-	75	16	0	0	715	1328	0	0
20210307	09:45:12	0	1129	2	80	36	-	81	18	0	0	715	1328	0	0
20210307	09:45:17	0	1075	2	91	37	-	95	21	0	0	715	1328	0	0
20210307	09:45:22	0	1023	2	99	36	-	90	21	0	0	715	1328	0	0
20210307	09:45:27	0	1041	2	95	37	-	94	22	0	0	715	1328	0	0
20210307	09:45:32	0	1091	2	39	36	-	77	17	0	0	715	1328	0	0
20210307	09:45:37	0	1089	2	70	37	-	86	19	0	0	715	1328	0	0
20210307	09:45:42	0	1091	2	102	37	-	79	16	0	0	715	1328	0	0
20210307	09:45:47	0	1133	2	70	37	-	94	22	0	0	715	1328	0	0
20210307	09:45:52	0	1133	2	44	36	-	21	4	0	0	715	1328	0	0
20210307	09:45:57	0	1093	2	68	37	-	96	22	0	0	715	1328	0	0
20210307	09:46:02	0	1021	2	120	37	-	94	22	0	0	715	1328	0	0
20210307	09:46:07	0	1087	2	65	37	-	92	21	0	0	715	1328	0	0
20210307	09:46:12	0	1037	2	72	37	-	78	17	0	0	715	1328	0	0
20210307	09:46:17	0	1041	2	100	37	-	95	22	0	0	715	1328	0	0
20210307	09:46:22	0	1089	2	61	37	-	83	19	0	0	715	1328	0	0
#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20210307	09:46:27	0	1091	2	56	37	-	78	17	0	0	715	1328	0	0
20210307	09:46:32	0	1077	2	106	37	-	82	17	0	0	715	1328	0	0
20210307	09:46:37	0	1077	2	102	38	-	84	19	0	0	715	1328	0	0
20210307	09:46:42	0	1051	2	83	37	-	91	20	0	0	715	1328	0	0
