#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210225   16:52:01      1    10     2    25    27     -     0     0     0     0   715   405     0     0
 20210225   16:52:02      1    10     2    24    27     -     0     0     0     0   715   405     0     0
 20210225   16:52:03      1    10     2    25    27     -     0     0     0     0   715   405     0     0
 20210225   16:52:04      1   381     2    30    27     -     6     0     0     0   715  1189     0     0
 20210225   16:52:05      1   489     2    30    27     -     0     0     0     0   715  1189     0     0
 20210225   16:52:06      1   575     2    30    27     -     8     0     0     0   715  1189     0     0
 20210225   16:52:07      1   689     2    30    27     -     8     0     0     0   715  1189     0     0
 20210225   16:52:08      1  1127     2    30    27     -    18     1     0     0   715  1189     0     0
 20210225   16:52:09      1  1437     2    62    29     -    92    22     0     0   715  1328     0     0
 20210225   16:52:10      1  1437     2   105    29     -    74    12     0     0   715  1328     0     0
 20210225   16:52:11      1  1535     2    88    29     -    90    15     0     0   715  1328     0     0
 20210225   16:52:12      1  1535     2    61    30     -    93    25     0     0   715  1328     0     0
 20210225   16:52:13      1  1643     2   110    30     -    87    13     0     0   715  1328     0     0
 20210225   16:52:14      1  1643     2    71    30     -    79    19     0     0   715  1328     0     0
 20210225   16:52:16      1  1643     2   116    31     -    79    11     0     0   715  1328     0     0
 20210225   16:52:17      1  1643     2   111    30     -    92    23     0     0   715  1328     0     0
 20210225   16:52:18      1  1719     2    70    31     -    93    23     0     0   715  1328     0     0
 20210225   16:52:19      1  1719     2   114    31     -    78    19     0     0   715  1328     0     0
 20210225   16:52:20      1  1719     2   111    31     -    68     9     0     0   715  1328     0     0
 20210225   16:52:21      1  1719     2    54    31     -    92    23     0     0   715  1328     0     0
 20210225   16:52:22      1  1719     2    44    31     -    92    23     0     0   715  1328     0     0
 20210225   16:52:23      1  1719     2    68    32     -    93    25     0     0   715  1328     0     0
 20210225   16:52:24      1  1719     2    87    32     -    74    13     0     0   715  1328     0     0
 20210225   16:52:25      1  1719     2   105    32     -    71     7     0     0   715  1328     0     0
 20210225   16:52:26      1  1719     2    57    32     -    93    24     0     0   715  1328     0     0
 20210225   16:52:27      1  1719     2    76    32     -    77    16     0     0   715  1328     0     0
 20210225   16:52:28      1  1719     2    87    33     -    88    23     0     0   715  1328     0     0
 20210225   16:52:29      1  1719     2   115    33     -    75    15     0     0   715  1328     0     0
 20210225   16:52:30      1  1719     2    67    32     -    92    23     0     0   715  1328     0     0
 20210225   16:52:31      1  1719     2    69    33     -    79    20     0     0   715  1328     0     0
 20210225   16:52:32      1  1719     2   116    33     -    74    13     0     0   715  1328     0     0
 20210225   16:52:33      1  1719     2    54    33     -    93    24     0     0   715  1328     0     0
 20210225   16:52:34      1  1719     2   114    33     -    73    14     0     0   715  1328     0     0
 20210225   16:52:35      1  1719     2   103    33     -    92    21     0     0   715  1328     0     0
 20210225   16:52:36      1  1719     2    52    33     -    78    19     0     0   715  1328     0     0
 20210225   16:52:37      1  1721     2    56    33     -    88    17     0     0   715  1328     0     0
 20210225   16:52:38      1  1721     2   101    33     -    72     8     0     0   715  1328     0     0
 20210225   16:52:39      1  1721     2    54    33     -    85    15     0     0   715  1328     0     0
 20210225   16:52:40      1  1721     2    94    34     -    94    26     0     0   715  1328     0     0
 20210225   16:52:41      1  1721     2    63    33     -    87    14     0     0   715  1328     0     0
 20210225   16:52:42      1  1841     2   104    34     -    78    20     0     0   715  1328     0     0
 20210225   16:52:43      1  1841     2    64    34     -    93    23     0     0   715  1328     0     0
 20210225   16:52:44      1  1841     2    97    34     -    78    20     0     0   715  1328     0     0
 20210225   16:52:45      1  1841     2   110    34     -    72    11     0     0   715  1328     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210225   16:52:46      1  1841     2    57    34     -    92    21     0     0   715  1328     0     0
 20210225   16:52:47      1  1841     2   114    34     -    73    11     0     0   715  1328     0     0
 20210225   16:52:48      1  1841     2    58    34     -    91    20     0     0   715  1328     0     0
 20210225   16:52:49      1  1841     2   103    35     -    83    22     0     0   715  1328     0     0
 20210225   16:52:50      1  1841     2    39    34     -    92    21     0     0   715  1328     0     0
 20210225   16:52:51      1  1841     2    97    35     -    75    19     0     0   715  1328     0     0
 20210225   16:52:52      1  1841     2   109    35     -    72     9     0     0   715  1328     0     0
 20210225   16:52:53      1  1841     2    59    35     -    93    22     0     0   715  1328     0     0
 20210225   16:52:54      1  1841     2   115    35     -    72    14     0     0   715  1328     0     0
 20210225   16:52:55      1  1841     2   119    35     -    75    11     0     0   715  1328     0     0
 20210225   16:52:56      1  1841     2    63    35     -    93    25     0     0   715  1328     0     0
 20210225   16:52:57      1  1841     2   114    35     -    75     9     0     0   715  1328     0     0
 20210225   16:52:58      1  1841     2    43    35     -    93    24     0     0   715  1328     0     0
 20210225   16:52:59      1  1841     2    89    35     -    76    18     0     0   715  1328     0     0
 20210225   16:53:00      1  1841     2   104    35     -    85    12     0     0   715  1328     0     0
 20210225   16:53:01      1  1841     2    61    35     -    71     8     0     0   715  1328     0     0
 20210225   16:53:02      1  1841     2    71    36     -    93    23     0     0   715  1328     0     0
 20210225   16:53:03      1  1841     2   100    36     -    95    27     0     0   715  1328     0     0
 20210225   16:53:04      1  1841     2    55    35     -    91    21     0     0   715  1328     0     0
 20210225   16:53:05      1  1841     2   110    36     -    73    13     0     0   715  1328     0     0
 20210225   16:53:06      1  1841     2   118    36     -    79    14     0     0   715  1328     0     0
 20210225   16:53:07      1  1841     2    88    35     -    91    20     0     0   715  1328     0     0
 20210225   16:53:08      1  1841     2    78    36     -    92    25     0     0   715  1328     0     0
 20210225   16:53:09      1  1841     2   106    36     -    71     9     0     0   715  1328     0     0
 20210225   16:53:10      1  1841     2   104    35     -    92    21     0     0   715  1328     0     0
 20210225   16:53:11      1  1841     2    68    36     -    74    14     0     0   715  1328     0     0
 20210225   16:53:12      1  1841     2   114    36     -    74    12     0     0   715  1328     0     0
 20210225   16:53:13      1  1841     2    92    36     -    77    12     0     0   715  1328     0     0
 20210225   16:53:14      1  1841     2    86    36     -    93    25     0     0   715  1328     0     0
 20210225   16:53:15      1  1841     2   115    36     -    74    15     0     0   715  1328     0     0
 20210225   16:53:16      1  1841     2   107    36     -    87    14     0     0   715  1328     0     0
 20210225   16:53:17      1  1841     2   103    36     -    90    19     0     0   715  1328     0     0
 20210225   16:53:18      1  1841     2    96    36     -    77    16     0     0   715  1328     0     0
 20210225   16:53:19      1  1841     2    76    36     -    77    13     0     0   715  1328     0     0
 20210225   16:53:20      1  1843     2    56    36     -    86    22     0     0   715  1328     0     0
 20210225   16:53:21      1  1843     2    74    36     -    91    19     0     0   715  1328     0     0
 20210225   16:53:22      1  1843     2   109    37     -    86    22     0     0   715  1328     0     0
 20210225   16:53:23      1  1843     2    56    36     -    91    17     0     0   715  1328     0     0
 20210225   16:53:24      1  1843     2    65    37     -    92    22     0     0   715  1328     0     0
 20210225   16:53:25      1  2051     2    57    36     -    92    19     0     0   715  1328     0     0
 20210225   16:53:26      1  2051     2    87    37     -    83    22     0     0   715  1328     0     0
 20210225   16:53:27      1  2051     2    47    36     -    89    14     0     0   715  1328     0     0
 20210225   16:53:28      1  2051     2    96    37     -    75    18     0     0   715  1328     0     0
 20210225   16:53:29      1  2051     2   117    37     -    72    10     0     0   715  1328     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210225   16:53:30      1  2051     2    39    37     -    91    21     0     0   715  1328     0     0
 20210225   16:53:32      1  2051     2    59    37     -    91    21     0     0   715  1328     0     0
 20210225   16:53:33      1  2051     2   107    37     -    72    10     0     0   715  1328     0     0
 20210225   16:53:34      1  2051     2   108    37     -    81    21     0     0   715  1328     0     0
 20210225   16:53:35      1  2051     2   115    37     -    74    15     0     0   715  1328     0     0
 20210225   16:53:36      1  2051     2    65    37     -    92    20     0     0   715  1328     0     0
 20210225   16:53:37      1  2051     2    96    37     -    89    23     0     0   715  1328     0     0
 20210225   16:53:38      1  2051     2   104    37     -    74    15     0     0   715  1328     0     0
 20210225   16:53:39      1  2051     2    92    36     -    89    15     0     0   715  1328     0     0
 20210225   16:53:40      1  2051     2    72    37     -    93    24     0     0   715  1328     0     0
 20210225   16:53:41      1  2051     2    88    37     -    93    26     0     0   715  1328     0     0
 20210225   16:53:42      1  2051     2    38    37     -    91    16     0     0   715  1328     0     0
 20210225   16:53:43      1  2051     2    92    38     -    94    26     0     0   715  1328     0     0
 20210225   16:53:44      1  2051     2   116    37     -    74    10     0     0   715  1328     0     0
 20210225   16:53:45      1  2051     2    59    37     -    92    23     0     0   715  1328     0     0
 20210225   16:53:46      1  2051     2    58    37     -    77    17     0     0   715  1328     0     0
 20210225   16:53:47      1  2051     2    70    37     -    71    18     0     0   715  1328     0     0
 20210225   16:53:48      1  2051     2    72    37     -    75    14     0     0   715  1328     0     0
 20210225   16:53:49      1  2051     2   100    38     -    75    18     0     0   715  1328     0     0
 20210225   16:53:50      1  2051     2    40    37     -    86    13     0     0   715  1328     0     0
 20210225   16:53:51      1  2051     2    69    38     -    92    23     0     0   715  1328     0     0
 20210225   16:53:52      1  2051     2   106    38     -    72    15     0     0   715  1328     0     0
 20210225   16:53:53      1  2051     2   104    38     -    76    15     0     0   715  1328     0     0
 20210225   16:53:54      1  2051     2   118    38     -    70    10     0     0   715  1328     0     0
 20210225   16:53:55      1  2051     2    74    38     -    93    24     0     0   715  1328     0     0
 20210225   16:53:56      1  2051     2    75    38     -    94    24     0     0   715  1328     0     0
 20210225   16:53:57      1  2051     2   125    38     -    84    14     0     0   715  1328     0     0
 20210225   16:53:58      1  2051     2    60    37     -    93    24     0     0   715  1328     0     0
 20210225   16:53:59      1  2051     2   105    38     -    77    19     0     0   715  1328     0     0
 20210225   16:54:00      1  2051     2   110    38     -    77     9     0     0   715  1328     0     0
 20210225   16:54:01      1  2051     2    50    37     -    94    25     0     0   715  1328     0     0
 20210225   16:54:02      1  2051     2   115    38     -    71    12     0     0   715  1328     0     0
 20210225   16:54:03      1  2051     2    90    38     -    93    23     0     0   715  1328     0     0
 20210225   16:54:04      1  2051     2   116    38     -    72    10     0     0   715  1328     0     0
 20210225   16:54:05      1  2051     2    87    38     -    93    24     0     0   715  1328     0     0
 20210225   16:54:06      1  2051     2   110    38     -    74    15     0     0   715  1328     0     0
 20210225   16:54:07      1  2051     2   105    38     -    75    15     0     0   715  1328     0     0
 20210225   16:54:08      1  2051     2   108    38     -    73    14     0     0   715  1328     0     0
 20210225   16:54:09      1  2051     2   111    38     -    73     9     0     0   715  1328     0     0
 20210225   16:54:10      1  2051     2   112    38     -    91    18     0     0   715  1328     0     0
 20210225   16:54:11      1  2051     2    55    38     -    91    22     0     0   715  1328     0     0
 20210225   16:54:12      1  2051     2    66    38     -    93    25     0     0   715  1328     0     0
 20210225   16:54:13      1  2051     2    74    38     -    76    14     0     0   715  1328     0     0
 20210225   16:54:14      1  2051     2    63    38     -    73    11     0     0   715  1328     0     0
