#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210225   16:51:33      0     0     2    32    27     -     0     0     0     0   715  1189     0     0
 20210225   16:51:34      0     0     2    32    27     -     0     0     0     0   715  1189     0     0
 20210225   16:51:35      0   317     2    31    27     -     7     0     0     0   715  1189     0     0
 20210225   16:51:36      0   487     2    31    27     -     9     0     0     0   715  1189     0     0
 20210225   16:51:37      0   553     2    31    27     -    11     0     0     0   715  1189     0     0
 20210225   16:51:38      0   695     2    32    27     -     6     0     0     0   715  1189     0     0
 20210225   16:51:39      0  1811     2    96    28     -    28     6     0     0   715  1189     0     0
 20210225   16:51:40      0  1817     2    39    28     -    74    15     0     0   715  1328     0     0
 20210225   16:51:41      0  2271     2   100    30     -    97    30     0     0   715  1328     0     0
 20210225   16:51:42      0  2271     2   124    30     -    62    11     0     0   715  1328     0     0
 20210225   16:51:43      0  2271     2    52    30     -    86    23     0     0   715  1328     0     0
 20210225   16:51:44      0  2751     2   121    31     -    98    30     0     0   715  1328     0     0
 20210225   16:51:45      0  2751     2   129    31     -    70    13     0     0   715  1328     0     0
 20210225   16:51:46      0  2751     2   109    31     -    96    29     0     0   715  1328     0     0
 20210225   16:51:47      0  2751     2    65    30     -    79    18     0     0   715  1328     0     0
 20210225   16:51:48      0  3261     2   123    31     -    85    25     0     0   715  1328     0     0
 20210225   16:51:49      0  3261     2   148    31     -    64    12     0     0   715  1328     0     0
 20210225   16:51:50      0  3261     2    84    32     -    89    24     0     0   715  1328     0     0
 20210225   16:51:51      0  3261     2   115    32     -    98    30     0     0   715  1328     0     0
 20210225   16:51:52      0  3261     2   142    32     -    58    10     0     0   715  1328     0     0
 20210225   16:51:53      0  3261     2    63    32     -    95    28     0     0   715  1328     0     0
 20210225   16:51:54      0  3831     2   121    33     -    69    15     0     0   715  1328     0     0
 20210225   16:51:55      0  3831     2    46    32     -    78    17     0     0   715  1328     0     0
 20210225   16:51:56      0  3831     2   106    33     -    96    29     0     0   715  1328     0     0
 20210225   16:51:57      0  3831     2   121    33     -    57     9     0     0   715  1328     0     0
 20210225   16:51:58      0  3831     2    87    33     -    97    29     0     0   715  1328     0     0
 20210225   16:51:59      0  3831     2   106    33     -    96    27     0     0   715  1328     0     0
 20210225   16:52:00      0  3831     2   124    33     -    60     9     0     0   715  1328     0     0
 20210225   16:52:01      0  3831     2    80    33     -    94    27     0     0   715  1328     0     0
 20210225   16:52:02      0  3831     2   119    34     -    98    30     0     0   715  1328     0     0
 20210225   16:52:03      0  3831     2   119    34     -    77    18     0     0   715  1328     0     0
 20210225   16:52:04      0  3831     2    82    34     -    88    23     0     0   715  1328     0     0
 20210225   16:52:06      0  3831     2   120    34     -    96    30     0     0   715  1328     0     0
 20210225   16:52:07      0  3831     2   117    34     -    66    15     0     0   715  1328     0     0
 20210225   16:52:08      0  3831     2    65    34     -    87    23     0     0   715  1328     0     0
 20210225   16:52:09      0  3831     2    78    34     -    93    27     0     0   715  1328     0     0
 20210225   16:52:10      0  3831     2   124    34     -    64    13     0     0   715  1328     0     0
 20210225   16:52:11      0  3831     2    55    34     -    80    19     0     0   715  1328     0     0
 20210225   16:52:12      0  3831     2   110    35     -    96    28     0     0   715  1328     0     0
 20210225   16:52:13      0  3831     2   132    35     -    64    12     0     0   715  1328     0     0
 20210225   16:52:14      0  3831     2    87    35     -    96    29     0     0   715  1328     0     0
 20210225   16:52:15      0  3835     2   135    35     -    66    14     0     0   715  1328     0     0
 20210225   16:52:16      0  3835     2    62    35     -    73    15     0     0   715  1328     0     0
 20210225   16:52:17      0  3837     2   119    35     -    95    29     0     0   715  1328     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210225   16:52:18      0  3837     2   125    35     -    81    23     0     0   715  1328     0     0
 20210225   16:52:19      0  3837     2   109    35     -    96    29     0     0   715  1328     0     0
 20210225   16:52:20      0  3837     2   121    36     -    92    25     0     0   715  1328     0     0
 20210225   16:52:21      0  3837     2    54    35     -    83    20     0     0   715  1328     0     0
 20210225   16:52:22      0  3837     2   106    36     -    96    28     0     0   715  1328     0     0
 20210225   16:52:23      0  3837     2   126    36     -    59    10     0     0   715  1328     0     0
 20210225   16:52:24      0  3837     2    86    36     -    96    30     0     0   715  1328     0     0
 20210225   16:52:25      0  3837     2   123    36     -    80    22     0     0   715  1328     0     0
 20210225   16:52:26      0  3837     2    41    35     -    77    18     0     0   715  1328     0     0
 20210225   16:52:27      0  3837     2   116    36     -    97    32     0     0   715  1328     0     0
 20210225   16:52:28      0  3837     2   152    36     -    76    16     0     0   715  1328     0     0
 20210225   16:52:29      0  3837     2    96    36     -    96    28     0     0   715  1328     0     0
 20210225   16:52:30      0  3837     2   134    36     -    65    11     0     0   715  1328     0     0
 20210225   16:52:31      0  3837     2    84    36     -    96    29     0     0   715  1328     0     0
 20210225   16:52:32      0  3837     2   127    37     -    84    25     0     0   715  1328     0     0
 20210225   16:52:33      0  3837     2    79    36     -    93    26     0     0   715  1328     0     0
 20210225   16:52:34      0  4437     2   128    37     -    57     9     0     0   715  1328     0     0
 20210225   16:52:35      0  4437     2   119    37     -    70    22     0     0   715  1328     0     0
 20210225   16:52:36      0  4437     2   121    37     -    59    11     0     0   715  1328     0     0
 20210225   16:52:37      0  4439     2   110    37     -    95    28     0     0   715  1328     0     0
 20210225   16:52:38      0  4439     2   124    37     -    92    27     0     0   715  1328     0     0
 20210225   16:52:39      0  4439     2   128    37     -    59    10     0     0   715  1328     0     0
 20210225   16:52:40      0  4439     2    70    37     -    87    23     0     0   715  1328     0     0
 20210225   16:52:41      0  4439     2   133    37     -    99    30     0     0   715  1328     0     0
 20210225   16:52:42      0  4439     2    68    37     -    93    27     0     0   715  1328     0     0
 20210225   16:52:43      0  4439     2   123    37     -    96    29     0     0   715  1328     0     0
 20210225   16:52:44      0  4439     2    67    37     -    95    28     0     0   715  1328     0     0
 20210225   16:52:45      0  4439     2   102    38     -    96    27     0     0   715  1328     0     0
 20210225   16:52:46      0  4439     2   127    38     -    73    16     0     0   715  1328     0     0
 20210225   16:52:47      0  4439     2    92    38     -    95    30     0     0   715  1328     0     0
