#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20210224	16:17:52	2	369	2	31	26	-	8	0	0	0	715	1189	0	0
20210224	16:17:53	2	439	2	31	26	-	0	0	0	0	715	1189	0	0
20210224	16:17:54	2	557	2	31	26	-	8	0	0	0	715	1189	0	0
20210224	16:17:56	2	669	2	31	26	-	0	0	0	0	715	1189	0	0
20210224	16:17:57	2	1245	2	31	26	-	16	0	0	0	715	1189	0	0
20210224	16:17:58	2	2357	2	123	28	-	80	23	0	0	715	1328	0	0
20210224	16:17:59	2	2867	2	90	29	-	96	29	0	0	715	1328	0	0
20210224	16:18:00	2	2867	2	52	28	-	64	11	0	0	715	1328	0	0
20210224	16:18:01	2	2867	2	122	29	-	53	8	0	0	715	1328	0	0
20210224	16:18:02	2	2871	2	122	29	-	69	16	0	0	715	1328	0	0
20210224	16:18:03	2	2873	2	121	29	-	63	13	0	0	715	1328	0	0
20210224	16:18:04	2	2873	2	60	30	-	78	18	0	0	715	1328	0	0
20210224	16:18:05	2	2873	2	110	30	-	96	28	0	0	715	1328	0	0
20210224	16:18:06	2	2873	2	65	30	-	79	19	0	0	715	1328	0	0
20210224	16:18:07	2	2873	2	110	31	-	96	29	0	0	715	1328	0	0
20210224	16:18:08	2	2873	2	132	31	-	54	8	0	0	715	1328	0	0
20210224	16:18:09	2	2873	2	83	31	-	92	26	0	0	715	1328	0	0
20210224	16:18:10	2	2873	2	128	31	-	52	8	0	0	715	1328	0	0
20210224	16:18:11	2	2873	2	89	31	-	95	29	0	0	715	1328	0	0
20210224	16:18:12	2	2873	2	157	31	-	57	8	0	0	715	1328	0	0
20210224	16:18:13	2	2873	2	111	32	-	96	30	0	0	715	1328	0	0
20210224	16:18:14	2	2873	2	137	32	-	53	6	0	0	715	1328	0	0
20210224	16:18:15	2	2873	2	109	32	-	96	30	0	0	715	1328	0	0
20210224	16:18:16	2	3737	2	40	32	-	93	27	0	0	715	1328	0	0
20210224	16:18:17	2	3737	2	86	32	-	89	24	0	0	715	1328	0	0
20210224	16:18:18	2	3737	2	123	33	-	80	21	0	0	715	1328	0	0
20210224	16:18:19	2	3737	2	128	32	-	75	20	0	0	715	1328	0	0
20210224	16:18:20	2	3737	2	44	32	-	70	15	0	0	715	1328	0	0
20210224	16:18:21	2	3737	2	45	32	-	53	6	0	0	715	1328	0	0
20210224	16:18:22	2	3737	2	59	32	-	81	20	0	0	715	1328	0	0
20210224	16:18:23	2	3737	2	113	33	-	96	27	0	0	715	1328	0	0
20210224	16:18:24	2	3737	2	54	33	-	89	23	0	0	715	1328	0	0
20210224	16:18:25	2	3737	2	106	34	-	96	28	0	0	715	1328	0	0
20210224	16:18:26	2	3737	2	124	34	-	76	20	0	0	715	1328	0	0
20210224	16:18:27	2	3737	2	54	33	-	74	16	0	0	715	1328	0	0
20210224	16:18:28	2	3737	2	121	34	-	97	29	0	0	715	1328	0	0
20210224	16:18:29	2	3737	2	130	34	-	69	16	0	0	715	1328	0	0
20210224	16:18:30	2	3737	2	122	35	-	96	31	0	0	715	1328	0	0
20210224	16:18:31	2	3739	2	50	34	-	53	7	0	0	715	1328	0	0
20210224	16:18:32	2	3739	2	52	34	-	54	7	0	0	715	1328	0	0
#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
