#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210308   10:31:25      0     0     2    31    27     -     0     0     0     0   715  1189     0     0
 20210308   10:31:30      0  1087     2   121    29     -    86    20     0     0   715  1328     0     0
 20210308   10:31:35      0  1071     2    88    30     -    91    20     0     0   715  1328     0     0
 20210308   10:31:40      0  1091     2    38    30     -    21     4     0     0   715  1328     0     0
 20210308   10:31:45      0  1045     2   100    31     -    92    25     0     0   715  1328     0     0
 20210308   10:31:50      0  1039     2    88    32     -    82    17     0     0   715  1328     0     0
 20210308   10:31:55      0  1089     2    86    32     -    98    27     0     0   715  1328     0     0
 20210308   10:32:00      0  1025     2   102    32     -    91    20     0     0   715  1328     0     0
 20210308   10:32:05      0  1023     2    96    32     -    83    18     0     0   715  1328     0     0
 20210308   10:32:11      0  1089     2   113    33     -    85    19     0     0   715  1328     0     0
 20210308   10:32:16      0  1037     2    71    33     -    82    17     0     0   715  1328     0     0
 20210308   10:32:21      0  1059     2    50    33     -    61    12     0     0   715  1328     0     0
 20210308   10:32:26      0  1057     2    98    34     -    90    23     0     0   715  1328     0     0
 20210308   10:32:31      0  1071     2   111    34     -    71    16     0     0   715  1328     0     0
 20210308   10:32:36      0  1109     2    70    34     -    85    24     0     0   715  1328     0     0
 20210308   10:32:41      0  1037     2    82    34     -    19     3     0     0   715  1328     0     0
 20210308   10:32:46      0  1039     2    73    34     -    76    17     0     0   715  1328     0     0
 20210308   10:32:51      0  1089     2    67    34     -    50    10     0     0   715  1328     0     0
 20210308   10:32:56      0  1075     2    40    34     -    60    15     0     0   715  1328     0     0
 20210308   10:33:01      0  1041     2    75    34     -    70    15     0     0   715  1328     0     0
 20210308   10:33:06      0  1087     2    85    34     -    75    16     0     0   715  1328     0     0
 20210308   10:33:11      0  1089     2    73    34     -    66    15     0     0   715  1328     0     0
 20210308   10:33:16      0  1089     2    38    34     -    16     3     0     0   715  1328     0     0
 20210308   10:33:21      0  1087     2    61    34     -    70    15     0     0   715  1328     0     0
 20210308   10:33:26      0  1087     2    56    34     -    47    12     0     0   715  1328     0     0
 20210308   10:33:31      0  1089     2    39    34     -    15     3     0     0   715  1328     0     0
 20210308   10:33:36      0  1041     2    89    34     -    64    14     0     0   715  1328     0     0
 20210308   10:33:41      0  1085     2    46    33     -    19     4     0     0   715  1328     0     0
 20210308   10:33:46      0  1051     2    68    34     -    83    19     0     0   715  1328     0     0
 20210308   10:33:51      0  1085     2    40    34     -    40     9     0     0   715  1328     0     0
 20210308   10:33:56      0  1089     2    61    34     -    67    14     0     0   715  1328     0     0
 20210308   10:34:01      0  1089     2    48    34     -    76    17     0     0   715  1328     0     0
 20210308   10:34:06      0  1089     2    38    34     -    48    11     0     0   715  1328     0     0
 20210308   10:34:11      0  1041     2    70    34     -    62    12     0     0   715  1328     0     0
 20210308   10:34:16      0  1131     2    60    34     -    81    20     0     0   715  1328     0     0
 20210308   10:34:21      0  1083     2    41    34     -    54    12     0     0   715  1328     0     0
 20210308   10:34:26      0  1087     2    66    34     -    75    17     0     0   715  1328     0     0
 20210308   10:34:31      0  1049     2    77    34     -    48     8     0     0   715  1328     0     0
 20210308   10:34:36      0  1023     2   100    34     -    78    17     0     0   715  1328     0     0
 20210308   10:34:41      0  1041     2    75    34     -    97    27     0     0   715  1328     0     0
 20210308   10:34:46      0  1073     2    99    34     -    71    16     0     0   715  1328     0     0
 20210308   10:34:51      0  1053     2    94    35     -    67    15     0     0   715  1328     0     0
 20210308   10:34:56      0  1085     2    49    34     -    78    18     0     0   715  1328     0     0
 20210308   10:35:01      0  1087     2    59    34     -    83    20     0     0   715  1328     0     0
