#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210308   13:18:43      0     0     2    31    27     -     0     0     0     0   715  1189     0     0
 20210308   13:18:48      0  1047     2    71    29     -    82    19     0     0   715  1328     0     0
 20210308   13:18:53      0  1089     2    53    29     -    79    18     0     0   715  1328     0     0
 20210308   13:18:58      0  1091     2    93    29     -    78    20     0     0   715  1328     0     0
 20210308   13:19:03      0  1053     2    94    30     -    37     8     0     0   715  1328     0     0
 20210308   13:19:08      0  1039     2    69    30     -    53    10     0     0   715  1328     0     0
 20210308   13:19:13      0  1087     2    50    30     -    30     5     0     0   715  1328     0     0
 20210308   13:19:18      0  1039     2    65    31     -    39     7     0     0   715  1328     0     0
 20210308   13:19:23      0  1037     2    67    32     -    94    22     0     0   715  1328     0     0
 20210308   13:19:28      0  1085     2    63    31     -    73    17     0     0   715  1328     0     0
 20210308   13:19:33      0  1085     2    63    32     -    84    20     0     0   715  1328     0     0
 20210308   13:19:38      0  1089     2    38    32     -    51    13     0     0   715  1328     0     0
 20210308   13:19:43      0  1047     2    64    32     -    77    18     0     0   715  1328     0     0
 20210308   13:19:48      0  1041     2    71    32     -    33     8     0     0   715  1328     0     0
 20210308   13:19:53      0  1041     2    70    32     -    75    17     0     0   715  1328     0     0
 20210308   13:19:58      0  1085     2    61    33     -    92    22     0     0   715  1328     0     0
 20210308   13:20:03      0  1089     2    55    33     -    69    16     0     0   715  1328     0     0
 20210308   13:20:08      0  1089     2   104    33     -    20     3     0     0   715  1328     0     0
 20210308   13:20:13      0  1089     2    52    33     -    78    17     0     0   715  1328     0     0
 20210308   13:20:18      0  1089     2    58    33     -    91    23     0     0   715  1328     0     0
 20210308   13:20:23      0  1087     2    56    33     -    90    22     0     0   715  1328     0     0
 20210308   13:20:28      0  1089     2    99    34     -    43     9     0     0   715  1328     0     0
 20210308   13:20:33      0  1085     2    68    34     -    92    22     0     0   715  1328     0     0
 20210308   13:20:38      0  1047     2    48    33     -     9     1     0     0   715  1328     0     0
