#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20210125	19:04:51	0	529	2	31	29	-	10	0	0	0	715	1189	0	0
20210125	19:04:51	1	541	2	30	29	-	0	0	0	0	715	1189	0	0
20210125	19:04:51	2	679	2	31	28	-	6	0	0	0	715	1189	0	0
20210125	19:04:56	0	1131	2	31	29	-	0	0	0	0	715	1189	0	0
20210125	19:04:56	1	1131	2	30	29	-	0	0	0	0	715	1189	0	0
20210125	19:04:56	2	1131	2	31	28	-	0	0	0	0	715	1189	0	0
20210125	19:05:01	0	1131	2	31	29	-	0	0	0	0	715	1189	0	0
20210125	19:05:01	1	1131	2	30	28	-	0	0	0	0	715	1189	0	0
20210125	19:05:01	2	1131	2	31	28	-	0	0	0	0	715	1189	0	0
20210125	19:05:06	0	1514	2	31	29	-	8	0	0	0	715	1189	0	0
20210125	19:05:06	1	1131	2	30	28	-	0	0	0	0	715	1189	0	0
20210125	19:05:06	2	1131	2	31	28	-	0	0	0	0	715	1189	0	0
20210125	19:05:11	0	1904	2	31	28	-	0	0	0	0	715	1189	0	0
20210125	19:05:11	1	1668	2	30	29	-	6	0	0	0	715	1189	0	0
20210125	19:05:11	2	1131	2	31	28	-	0	0	0	0	715	1189	0	0
20210125	19:05:16	0	1904	2	31	28	-	0	0	0	0	715	1189	0	0
20210125	19:05:16	1	1904	2	30	28	-	0	0	0	0	715	1189	0	0
20210125	19:05:16	2	1744	2	31	28	-	12	0	0	0	715	1189	0	0
20210125	19:05:21	0	8425	2	107	31	-	96	19	0	0	715	1328	0	0
20210125	19:05:21	1	11435	2	113	31	-	97	21	0	0	715	1328	0	0
20210125	19:05:21	2	10663	2	121	31	-	97	22	0	0	715	1328	0	0
20210125	19:05:26	0	8433	2	128	33	-	99	28	0	0	715	1328	0	0
20210125	19:05:26	1	11443	2	148	34	-	99	31	0	0	715	1328	0	0
20210125	19:05:26	2	10707	2	38	32	-	96	36	0	0	715	1328	0	0
20210125	19:05:31	0	9203	2	175	35	-	94	37	0	0	715	1328	0	0
20210125	19:05:31	1	11449	2	169	35	-	96	30	0	0	715	1328	0	0
20210125	19:05:31	2	10713	2	38	33	-	97	27	0	0	715	1328	0	0
20210125	19:05:36	0	9203	2	156	36	-	96	33	0	0	715	1328	0	0
20210125	19:05:36	1	11449	2	129	35	-	99	30	0	0	715	1328	0	0
20210125	19:05:36	2	10751	2	157	35	-	95	33	0	0	715	1328	0	0
20210125	19:05:41	0	9203	2	187	35	-	100	1	0	0	715	1328	0	0
20210125	19:05:41	1	11451	2	178	35	-	100	1	0	0	715	1328	0	0
20210125	19:05:41	2	10751	2	168	35	-	93	22	0	0	715	1328	0	0
20210125	19:05:46	0	9203	2	43	35	-	99	10	0	0	715	1328	0	0
20210125	19:05:46	1	11467	2	54	37	-	100	32	0	0	715	1328	0	0
20210125	19:05:46	2	10751	2	41	35	-	99	4	0	0	715	1328	0	0
20210125	19:05:51	0	9203	2	195	37	-	99	4	0	0	715	1328	0	0
