#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210130   14:17:45      1    10     2    25    27     -     0     0     0     0   715   405     0     0
 20210130   14:17:50      1    10     2    25    26     -     0     0     0     0   715   405     0     0
 20210130   14:17:55      1  1305     2    85    28     -     2     0     0     0   715  1189     0     0
 20210130   14:18:00      1  1399     2    66    30     -    92    25     0     0   715  1328     0     0
 20210130   14:18:05      1  1495     2    38    31     -    92    23     0     0   715  1328     0     0
 20210130   14:18:10      1  1495     2    58    32     -    93    24     0     0   715  1328     0     0
 20210130   14:18:15      1  1495     2    59    32     -    92    23     0     0   715  1328     0     0
 20210130   14:18:20      1  1537     2   116    33     -    81    11     0     0   715  1328     0     0
 20210130   14:18:25      1  1537     2    61    34     -    90    25     0     0   715  1328     0     0
 20210130   14:18:30      1  1657     2   112    34     -    71     9     0     0   715  1328     0     0
 20210130   14:18:35      1  1657     2    74    35     -    94    26     0     0   715  1328     0     0
 20210130   14:18:40      1  1657     2    54    35     -    92    19     0     0   715  1328     0     0
 20210130   14:18:45      1  1657     2   106    36     -    72     9     0     0   715  1328     0     0
 20210130   14:18:50      1  1657     2   108    36     -    72    11     0     0   715  1328     0     0
 20210130   14:18:55      1  1657     2    63    36     -    92    23     0     0   715  1328     0     0
 20210130   14:19:00      1  1657     2    84    37     -    89    23     0     0   715  1328     0     0
 20210130   14:19:05      1  1657     2   125    37     -    87    14     0     0   715  1328     0     0
 20210130   14:19:11      1  1657     2    61    37     -    93    25     0     0   715  1328     0     0
 20210130   14:19:16      1  1659     2    56    37     -    92    24     0     0   715  1328     0     0
 20210130   14:19:21      1  1843     2    65    37     -    93    22     0     0   715  1328     0     0
 20210130   14:19:26      1  1843     2    62    37     -    93    24     0     0   715  1328     0     0
 20210130   14:19:31      1  1843     2    86    38     -    76    19     0     0   715  1328     0     0
 20210130   14:19:36      1  1843     2    81    37     -    89    17     0     0   715  1328     0     0
 20210130   14:19:41      1  1843     2    74    37     -    86    11     0     0   715  1328     0     0
 20210130   14:19:46      1  1843     2   111    38     -    72     9     0     0   715  1328     0     0
 20210130   14:19:51      1  1843     2   120    38     -    89    17     0     0   715  1328     0     0
 20210130   14:19:56      1  1843     2    61    38     -    92    22     0     0   715  1328     0     0
 20210130   14:20:01      1  1843     2   108    38     -    74    12     0     0   715  1328     0     0
 20210130   14:20:06      1  1843     2   120    39     -    76    10     0     0   715  1328     0     0
 20210130   14:20:11      1  1843     2   123    39     -    89    15     0     0   715  1328     0     0
 20210130   14:20:16      1  1843     2   115    38     -    90    15     0     0   715  1328     0     0
 20210130   14:20:21      1  1843     2    83    39     -    80    21     0     0   715  1328     0     0
 20210130   14:20:26      1  1843     2    57    39     -    92    22     0     0   715  1328     0     0
 20210130   14:20:31      1  1843     2    56    39     -    91    22     0     0   715  1328     0     0
 20210130   14:20:36      1  1843     2   118    39     -    88    13     0     0   715  1328     0     0
 20210130   14:20:41      1  1843     2   106    39     -    92    20     0     0   715  1328     0     0
 20210130   14:20:46      1  1843     2   110    39     -    76    11     0     0   715  1328     0     0
 20210130   14:20:51      1  1843     2    65    39     -    92    22     0     0   715  1328     0     0
 20210130   14:20:56      1  1843     2    39    39     -    91    21     0     0   715  1328     0     0
 20210130   14:21:01      1  1843     2    81    39     -    93    25     0     0   715  1328     0     0
 20210130   14:21:06      1  1843     2   105    40     -    77    15     0     0   715  1328     0     0
 20210130   14:21:11      1  1843     2    40    39     -    92    23     0     0   715  1328     0     0
 20210130   14:21:16      1  1843     2    97    40     -    75    16     0     0   715  1328     0     0
 20210130   14:21:21      1  1843     2   114    40     -    81    11     0     0   715  1328     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210130   14:21:26      1  1843     2   121    40     -    91    20     0     0   715  1328     0     0
 20210130   14:21:31      1  2099     2    91    40     -    74    15     0     0   715  1328     0     0
 20210130   14:21:36      1  2099     2    77    40     -    77    17     0     0   715  1328     0     0
 20210130   14:21:41      1  2099     2   110    40     -    71    10     0     0   715  1328     0     0
 20210130   14:21:46      1  2099     2   103    40     -    76    18     0     0   715  1328     0     0
 20210130   14:21:51      1  2099     2    45    40     -    92    23     0     0   715  1328     0     0
 20210130   14:21:56      1  2099     2    39    39     -    92    18     0     0   715  1328     0     0
 20210130   14:22:01      1  2099     2   108    40     -    75    19     0     0   715  1328     0     0
 20210130   14:22:06      1  2099     2    63    40     -    93    25     0     0   715  1328     0     0
 20210130   14:22:11      1  2099     2    40    40     -    93    24     0     0   715  1328     0     0
 20210130   14:22:16      1  2099     2    90    40     -    82    22     0     0   715  1328     0     0
 20210130   14:22:21      1  2099     2    48    39     -    91    20     0     0   715  1328     0     0
 20210130   14:22:26      1  2099     2    69    40     -    78    20     0     0   715  1328     0     0
 20210130   14:22:31      1  2099     2    77    40     -    94    25     0     0   715  1328     0     0
 20210130   14:22:36      1  2099     2    59    40     -    93    25     0     0   715  1328     0     0
 20210130   14:22:41      1  2099     2   120    40     -    86    11     0     0   715  1328     0     0
 20210130   14:22:46      1  2099     2    94    40     -    77    19     0     0   715  1328     0     0
 20210130   14:22:51      1  2099     2    85    40     -    74    14     0     0   715  1328     0     0
 20210130   14:22:56      1  2099     2   113    41     -    75    15     0     0   715  1328     0     0
 20210130   14:23:01      1  2099     2    89    40     -    92    21     0     0   715  1328     0     0
 20210130   14:23:06      1  2099     2    93    40     -    77    18     0     0   715  1328     0     0
 20210130   14:23:11      1  2099     2   115    40     -    73    12     0     0   715  1328     0     0
 20210130   14:23:16      1  2099     2    61    40     -    83    21     0     0   715  1328     0     0
 20210130   14:23:21      1  2099     2   103    40     -    71    13     0     0   715  1328     0     0
 20210130   14:23:26      1  2099     2    58    40     -    93    23     0     0   715  1328     0     0
 20210130   14:23:31      1  2099     2    58    40     -    93    25     0     0   715  1328     0     0
 20210130   14:23:36      1  2099     2    43    40     -    92    20     0     0   715  1328     0     0
 20210130   14:23:41      1  2099     2   120    40     -    90    13     0     0   715  1328     0     0
 20210130   14:23:46      1  2099     2    63    40     -    92    21     0     0   715  1328     0     0
 20210130   14:23:51      1  2099     2    70    40     -    82    23     0     0   715  1328     0     0
 20210130   14:23:56      1  2099     2    41    40     -    92    23     0     0   715  1328     0     0
 20210130   14:24:01      1  2099     2    69    40     -    76    19     0     0   715  1328     0     0
 20210130   14:24:06      1  2099     2    47    40     -    92    21     0     0   715  1328     0     0
 20210130   14:24:11      1  2099     2   110    40     -    91    17     0     0   715  1328     0     0
 20210130   14:24:16      1  2099     2    42    40     -    92    23     0     0   715  1328     0     0
 20210130   14:24:21      1  2099     2    82    40     -    76    17     0     0   715  1328     0     0
 20210130   14:24:26      1  2099     2    65    40     -    93    25     0     0   715  1328     0     0
 20210130   14:24:31      1  2099     2    74    40     -    76    18     0     0   715  1328     0     0
 20210130   14:24:36      1  2099     2   117    40     -    90    14     0     0   715  1328     0     0
 20210130   14:24:41      1  2099     2    85    41     -    77    20     0     0   715  1328     0     0
 20210130   14:24:46      1  2099     2   112    40     -    74    11     0     0   715  1328     0     0
 20210130   14:24:51      1  2099     2   105    41     -    69     9     0     0   715  1328     0     0
 20210130   14:24:56      1  2099     2   109    40     -    90    15     0     0   715  1328     0     0
 20210130   14:25:01      1  2099     2    75    41     -    76    18     0     0   715  1328     0     0
