#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210129   21:54:09      0     0     2    31    28     -     0     0     0     0   715  1189     0     0
 20210129   21:54:09      1     2     2    30    28     -     0     0     0     0   715  1189     0     0
 20210129   21:54:09      2    10     2    25    27     -     4     0     0     0   715   405     0     0
 20210129   21:54:14      0   537     2    31    28     -     0     0     0     0   715  1189     0     0
 20210129   21:54:14      1   651     2    30    28     -     9     0     0     0   715  1189     0     0
 20210129   21:54:14      2   655     2    31    27     -     6     0     0     0   715  1189   100     0
 20210129   21:54:19      0  1247     2    31    28     -     0     0     0     0   715  1189     0     0
 20210129   21:54:19      1  1247     2    30    28     -     0     0     0     0   715  1189     0     0
 20210129   21:54:19      2  1247     2    31    27     -     0     0     0     0   715  1189     0     0
 20210129   21:54:25      0  1247     2    31    28     -     0     0     0     0   715  1189     0     0
 20210129   21:54:25      1  1247     2    30    28     -     0     0     0     0   715  1189     0     0
 20210129   21:54:25      2  1247     2    31    27     -     0     0     0     0   715  1189     0     0
 20210129   21:54:30      0  1666     2    31    28     -     0     0     0     0   715  1189     0     0
 20210129   21:54:30      1  1247     2    30    28     -     0     0     0     0   715  1189     0     0
 20210129   21:54:30      2  1247     2    31    27     -     0     0     0     0   715  1189     0     0
 20210129   21:54:35      0  2012     2    31    28     -     0     0     0     0   715  1189     0     0
 20210129   21:54:35      1  1842     2    30    28     -     7     0     0     0   715  1189     0     0
 20210129   21:54:35      2  1247     2    31    27     -     0     0     0     0   715  1189     0     0
 20210129   21:54:40      0  2012     2    31    28     -     0     0     0     0   715  1189     0     0
 20210129   21:54:40      1  2012     2    30    28     -     0     0     0     0   715  1189     0     0
 20210129   21:54:40      2  1972     2    31    27     -    10     0     0     0   715  1189     0     0
 20210129   21:54:45      0  7332     2   160    33     -    98    36     0     0   715  1328     0     0
 20210129   21:54:45      1  6792     2   161    34     -    98    34     0     0   715  1328     0     0
 20210129   21:54:45      2  7764     2   180    33     -    99    39     0     0   715  1328     0     0
 20210129   21:54:50      0  8866     2   167    35     -    97    36     0     0   715  1328     0     0
 20210129   21:54:50      1  7366     2   159    36     -    98    33     0     0   715  1328     0     0
 20210129   21:54:50      2  7774     2   165    34     -    96    39     0     0   715  1328     0     0
 20210129   21:54:55      0  8880     2   140    36     -    96    38     0     0   715  1328     0     0
 20210129   21:54:55      1  8190     2   150    37     -    96    39     0     0   715  1328     0     0
 20210129   21:54:55      2  8750     2   177    36     -    98    37     0     0   715  1328     0     0
 20210129   21:55:00      0  8888     2   163    37     -    98    33     0     0   715  1328     0     0
 20210129   21:55:00      1  8190     2   164    38     -    99    33     0     0   715  1328     0     0
 20210129   21:55:00      2  8750     2   150    37     -    98    37     0     0   715  1328     0     0
 20210129   21:55:05      0  8888     2   143    38     -    99    25     0     0   715  1328     0     0
 20210129   21:55:05      1  9162     2   154    39     -    98    31     0     0   715  1328     0     0
 20210129   21:55:05      2  8750     2   162    38     -    99    15     0     0   715  1328     0     0
 20210129   21:55:10      0  8888     2   103    40     -    99    37     0     0   715  1328     0     0
 20210129   21:55:10      1  9162     2   167    40     -    97    39     0     0   715  1328     0     0
 20210129   21:55:10      2  8772     2    40    39     -    99    37     0     0   715  1328     0     0
 20210129   21:55:15      0  8888     2   160    41     -    99    31     0     0   715  1328     0     0
 20210129   21:55:15      1  9162     2   154    41     -    99    33     0     0   715  1328     0     0
 20210129   21:55:15      2  8772     2   157    40     -    99    36     0     0   715  1328     0     0
 20210129   21:55:20      0 11142     2   177    42     -    97    41     0     0   715  1328     0     0
 20210129   21:55:20      1  9162     2   175    42     -    98    38     0     0   715  1328     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210129   21:55:20      2  8772     2   180    42     -    98    36     0     0   715  1328     0     0
 20210129   21:55:25      0 11142     2   167    43     -    99    33     0     0   715  1328     0     0
 20210129   21:55:25      1  9162     2   166    43     -    99    36     0     0   715  1328     0     0
 20210129   21:55:25      2  8772     2   170    42     -    98    33     0     0   715  1328     0     0
 20210129   21:55:30      0 11142     2   158    43     -    98    18     0     0   715  1328     0     0
 20210129   21:55:30      1  9162     2   160    43     -    98    21     0     0   715  1328     0     0
 20210129   21:55:30      2  8772     2   157    43     -    99    25     0     0   715  1328     0     0
 20210129   21:55:35      0 11142     2   174    44     -    98    34     0     0   715  1328     0     0
 20210129   21:55:35      1 10212     2    39    43     -    99    34     0     0   715  1328     0     0
 20210129   21:55:35      2  8772     2   132    44     -    98    37     0     0   715  1328     0     0
 20210129   21:55:40      0 11142     2   173    45     -    98    35     0     0   715  1328     0     0
 20210129   21:55:40      1 10212     2   154    45     -   100    32     0     0   715  1328     0     0
