#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210130   11:48:40      0     0     2    32    28     -     0     0     0     0   715  1189     0     0
 20210130   11:48:45      0   753     2    32    28     -     7     0     0     0   715  1189     0     0
 20210130   11:48:50      0  2753     2    44    31     -    68    12     0     0   715  1328     0     0
 20210130   11:48:55      0  2753     2   102    33     -    94    28     0     0   715  1328     0     0
 20210130   11:49:00      0  2753     2   117    33     -    96    30     0     0   715  1328     0     0
 20210130   11:49:05      0  3385     2   117    34     -    92    26     0     0   715  1328     0     0
 20210130   11:49:10      0  3385     2   106    35     -    95    26     0     0   715  1328     0     0
 20210130   11:49:15      0  3385     2   124    35     -    62    11     0     0   715  1328     0     0
 20210130   11:49:20      0  3385     2    93    36     -    94    26     0     0   715  1328     0     0
 20210130   11:49:25      0  3385     2   117    36     -    96    29     0     0   715  1328     0     0
 20210130   11:49:30      0  3387     2    90    37     -    87    23     0     0   715  1328     0     0
 20210130   11:49:35      0  3387     2    97    37     -    92    26     0     0   715  1328     0     0
 20210130   11:49:40      0  3387     2    53    37     -    63    10     0     0   715  1328     0     0
 20210130   11:49:45      0  3387     2    91    38     -    96    28     0     0   715  1328     0     0
 20210130   11:49:50      0  3387     2    69    38     -    88    23     0     0   715  1328     0     0
 20210130   11:49:55      0  4077     2   109    39     -    97    29     0     0   715  1328     0     0
 20210130   11:50:00      0  4077     2   124    39     -    73    17     0     0   715  1328     0     0
 20210130   11:50:05      0  4077     2    42    39     -    80    19     0     0   715  1328     0     0
 20210130   11:50:10      0  4077     2   106    39     -    95    27     0     0   715  1328     0     0
 20210130   11:50:15      0  4827     2   123    40     -    95    26     0     0   715  1328     0     0
 20210130   11:50:20      0  4827     2   129    40     -    59    10     0     0   715  1328     0     0
 20210130   11:50:25      0  4827     2   136    39     -    59     9     0     0   715  1328     0     0
 20210130   11:50:30      0  4827     2   163    40     -    57     8     0     0   715  1328     0     0
 20210130   11:50:35      0  4827     2   119    40     -    96    26     0     0   715  1328     0     0
 20210130   11:50:40      0  4827     2    72    40     -    92    25     0     0   715  1328     0     0
 20210130   11:50:45      0  4831     2    76    40     -    88    24     0     0   715  1328     0     0
 20210130   11:50:50      0  4831     2   124    40     -    81    22     0     0   715  1328     0     0
 20210130   11:50:55      0  4831     2    56    40     -    71    14     0     0   715  1328     0     0
 20210130   11:51:00      0  4831     2   117    41     -    97    27     0     0   715  1328     0     0
 20210130   11:51:05      0  4831     2    83    41     -    88    24     0     0   715  1328     0     0
 20210130   11:51:10      0  4831     2   122    41     -    96    30     0     0   715  1328     0     0
 20210130   11:51:15      0  4831     2   155    40     -    62     9     0     0   715  1328     0     0
 20210130   11:51:20      0  4831     2   117    41     -    97    27     0     0   715  1328     0     0
 20210130   11:51:25      0  4831     2    67    41     -    88    23     0     0   715  1328     0     0
 20210130   11:51:30      0  4831     2   118    41     -    98    29     0     0   715  1328     0     0
 20210130   11:51:35      0  4831     2   126    42     -    97    29     0     0   715  1328     0     0
