#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20210126	12:59:16	0	631	2	32	27	-	7	0	0	0	715	1189	0	0
20210126	12:59:16	1	551	2	30	27	-	14	0	0	0	715	1189	0	0
20210126	12:59:16	2	719	2	31	26	-	0	0	0	0	715	1189	100	0
20210126	12:59:21	0	1127	2	31	27	-	0	0	0	0	715	1189	0	0
20210126	12:59:21	1	1127	2	30	27	-	0	0	0	0	715	1189	0	0
20210126	12:59:21	2	1127	2	31	26	-	0	0	0	0	715	1189	0	0
20210126	12:59:26	0	1127	2	31	27	-	0	0	0	0	715	1189	0	0
20210126	12:59:26	1	1127	2	30	27	-	0	0	0	0	715	1189	0	0
20210126	12:59:26	2	1127	2	31	26	-	0	0	0	0	715	1189	0	0
20210126	12:59:31	0	1536	2	31	27	-	8	0	0	0	715	1189	0	0
20210126	12:59:31	1	1127	2	30	27	-	0	0	0	0	715	1189	0	0
20210126	12:59:31	2	1127	2	31	26	-	0	0	0	0	715	1189	0	0
20210126	12:59:36	0	1900	2	31	27	-	0	0	0	0	715	1189	0	0
20210126	12:59:36	1	1674	2	30	27	-	0	0	0	0	715	1189	0	0
20210126	12:59:36	2	1127	2	31	26	-	0	0	0	0	715	1189	0	0
20210126	12:59:41	0	1900	2	31	27	-	0	0	0	0	715	1189	0	0
20210126	12:59:41	1	1900	2	30	27	-	0	0	0	0	715	1189	0	0
20210126	12:59:41	2	1848	2	31	26	-	10	0	0	0	715	1189	0	0
20210126	12:59:46	0	8463	2	69	32	-	100	28	0	0	715	1328	0	0
20210126	12:59:46	1	10223	2	40	30	-	100	1	0	0	715	1328	0	0
20210126	12:59:46	2	8109	2	41	30	-	99	2	0	0	715	1328	0	0
20210126	12:59:51	0	8527	2	51	32	-	100	30	0	0	715	1328	0	0
20210126	12:59:51	1	10267	2	59	31	-	100	1	0	0	715	1328	0	0
20210126	12:59:51	2	8901	2	86	31	-	99	31	0	0	715	1328	0	0
20210126	12:59:56	0	8531	2	141	34	-	99	33	0	0	715	1328	0	0
20210126	12:59:56	1	10273	2	37	33	-	97	22	0	0	715	1328	0	0
20210126	12:59:56	2	8905	2	40	32	-	98	28	0	0	715	1328	0	0
20210126	13:00:02	0	8571	2	154	35	-	95	34	0	0	715	1328	0	0
20210126	13:00:02	1	10273	2	159	35	-	97	29	0	0	715	1328	0	0
20210126	13:00:02	2	8905	2	37	33	-	100	0	0	0	715	1328	0	0
20210126	13:00:07	0	8571	2	154	36	-	96	23	0	0	715	1328	0	0
