#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20210130	20:03:18	2	1347	2	86	26	-	89	21	0	0	715	1328	0	0
20210130	20:03:23	2	1643	2	116	29	-	87	11	0	0	715	1328	0	0
20210130	20:03:28	2	1719	2	127	30	-	89	13	0	0	715	1328	0	0
20210130	20:03:33	2	1719	2	121	31	-	91	17	0	0	715	1328	0	0
20210130	20:03:38	2	1719	2	70	31	-	94	25	0	0	715	1328	0	0
20210130	20:03:43	2	1719	2	93	32	-	95	26	0	0	715	1328	0	0
20210130	20:03:48	2	1719	2	104	32	-	91	21	0	0	715	1328	0	0
20210130	20:03:53	2	1839	2	115	33	-	75	13	0	0	715	1328	0	0
20210130	20:03:58	2	1839	2	62	33	-	91	17	0	0	715	1328	0	0
20210130	20:04:03	2	1841	2	60	34	-	93	24	0	0	715	1328	0	0
20210130	20:04:08	2	1841	2	64	34	-	92	23	0	0	715	1328	0	0
20210130	20:04:13	2	1841	2	81	35	-	79	21	0	0	715	1328	0	0
20210130	20:04:18	2	1841	2	117	35	-	89	17	0	0	715	1328	0	0
20210130	20:04:23	2	1841	2	64	35	-	93	22	0	0	715	1328	0	0
20210130	20:04:28	2	1841	2	127	35	-	90	18	0	0	715	1328	0	0
20210130	20:04:33	2	1841	2	126	36	-	91	15	0	0	715	1328	0	0
20210130	20:04:38	2	2049	2	109	36	-	91	23	0	0	715	1328	0	0
20210130	20:04:43	2	2049	2	107	37	-	76	13	0	0	715	1328	0	0
20210130	20:04:48	2	2049	2	65	36	-	93	25	0	0	715	1328	0	0
20210130	20:04:53	2	2049	2	87	36	-	92	22	0	0	715	1328	0	0
20210130	20:04:58	2	2051	2	53	37	-	93	24	0	0	715	1328	0	0
20210130	20:05:03	2	2051	2	64	37	-	93	23	0	0	715	1328	0	0
20210130	20:05:08	2	2051	2	119	37	-	91	17	0	0	715	1328	0	0
20210130	20:05:13	2	2051	2	95	37	-	77	17	0	0	715	1328	0	0
20210130	20:05:18	2	2051	2	120	37	-	91	20	0	0	715	1328	0	0
20210130	20:05:23	2	2051	2	113	37	-	92	22	0	0	715	1328	0	0
20210130	20:05:28	2	2051	2	114	38	-	95	28	0	0	715	1328	0	0
20210130	20:05:33	2	2051	2	63	38	-	93	25	0	0	715	1328	0	0
20210130	20:05:38	2	2051	2	62	37	-	92	22	0	0	715	1328	0	0
20210130	20:05:43	2	2051	2	83	38	-	78	17	0	0	715	1328	0	0
20210130	20:05:48	2	2051	2	63	38	-	93	22	0	0	715	1328	0	0
20210130	20:05:53	2	2051	2	121	38	-	75	14	0	0	715	1328	0	0
20210130	20:05:58	2	2267	2	67	38	-	91	21	0	0	715	1328	0	0
20210130	20:06:03	2	2267	2	105	38	-	75	16	0	0	715	1328	0	0
20210130	20:06:08	2	2267	2	105	38	-	79	20	0	0	715	1328	0	0
20210130	20:06:13	2	2267	2	119	38	-	75	9	0	0	715	1328	0	0
20210130	20:06:18	2	2267	2	96	39	-	77	14	0	0	715	1328	0	0
20210130	20:06:23	2	2267	2	74	38	-	76	18	0	0	715	1328	0	0
20210130	20:06:28	2	2267	2	64	38	-	91	19	0	0	715	1328	0	0
20210130	20:06:33	2	2267	2	93	39	-	77	20	0	0	715	1328	0	0
20210130	20:06:38	2	2267	2	129	38	-	87	11	0	0	715	1328	0	0
20210130	20:06:43	2	2555	2	113	39	-	75	13	0	0	715	1328	0	0
#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20210130	20:06:48	2	2555	2	63	39	-	92	23	0	0	715	1328	0	0
20210130	20:06:53	2	2555	2	114	39	-	74	12	0	0	715	1328	0	0
20210130	20:06:59	2	2555	2	116	39	-	73	11	0	0	715	1328	0	0
20210130	20:07:04	2	2555	2	111	39	-	74	9	0	0	715	1328	0	0
20210130	20:07:09	2	2555	2	60	39	-	92	23	0	0	715	1328	0	0
20210130	20:07:14	2	2555	2	116	39	-	76	17	0	0	715	1328	0	0
20210130	20:07:19	2	2555	2	108	39	-	76	18	0	0	715	1328	0	0
