#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20210127	14:23:13	0	281	2	31	26	-	0	0	0	0	715	1189	0	0
20210127	14:23:13	1	323	2	30	26	-	2	0	0	0	715	1189	0	0
20210127	14:23:13	2	347	2	31	25	-	13	0	0	0	715	1189	0	0
20210127	14:23:18	0	745	2	31	27	-	11	0	0	0	715	1189	0	0
20210127	14:23:18	1	1247	2	30	27	-	4	0	0	0	715	1189	0	0
20210127	14:23:18	2	1247	2	31	26	-	0	0	0	0	715	1189	0	0
20210127	14:23:23	0	1247	2	31	27	-	0	0	0	0	715	1189	0	0
20210127	14:23:23	1	1247	2	30	27	-	0	0	0	0	715	1189	0	0
20210127	14:23:23	2	1247	2	31	26	-	0	0	0	0	715	1189	0	0
20210127	14:23:28	0	1247	2	31	26	-	0	0	0	0	715	1189	0	0
20210127	14:23:28	1	1247	2	30	27	-	0	0	0	0	715	1189	0	0
20210127	14:23:28	2	1247	2	31	26	-	0	0	0	0	715	1189	0	0
20210127	14:23:33	0	2012	2	31	27	-	9	0	0	0	715	1189	0	0
20210127	14:23:33	1	1255	2	30	27	-	0	0	0	0	715	1189	0	0
20210127	14:23:33	2	1247	2	31	26	-	0	0	0	0	715	1189	0	0
20210127	14:23:38	0	2012	2	31	27	-	0	0	0	0	715	1189	0	0
20210127	14:23:38	1	2012	2	30	27	-	0	0	0	0	715	1189	0	0
20210127	14:23:38	2	1680	2	31	26	-	7	0	0	0	715	1189	0	0
20210127	14:23:44	0	6782	2	156	31	-	98	38	0	0	715	1328	0	0
20210127	14:23:44	1	6934	2	162	32	-	98	31	0	0	715	1328	0	0
20210127	14:23:44	2	6812	2	163	30	-	97	38	0	0	715	1328	0	0
20210127	14:23:49	0	6798	2	139	33	-	98	29	0	0	715	1328	0	0
20210127	14:23:49	1	7634	2	129	33	-	98	13	0	0	715	1328	0	0
20210127	14:23:49	2	8658	2	156	32	-	99	24	0	0	715	1328	0	0
20210127	14:23:54	0	7954	2	80	35	-	99	31	0	0	715	1328	0	0
20210127	14:23:54	1	7642	2	168	36	-	97	35	0	0	715	1328	0	0
20210127	14:23:54	2	8670	2	84	34	-	98	35	0	0	715	1328	0	0
20210127	14:23:59	0	7956	2	158	36	-	99	32	0	0	715	1328	0	0
20210127	14:23:59	1	8604	2	175	37	-	98	35	0	0	715	1328	0	0
20210127	14:23:59	2	8672	2	155	36	-	99	32	0	0	715	1328	0	0
20210127	14:24:04	0	7976	2	164	37	-	99	35	0	0	715	1328	0	0
20210127	14:24:04	1	8604	2	157	38	-	99	34	0	0	715	1328	0	0
20210127	14:24:04	2	8672	2	152	37	-	98	36	0	0	715	1328	0	0
20210127	14:24:09	0	7976	2	169	38	-	99	35	0	0	715	1328	0	0
20210127	14:24:09	1	8604	2	167	39	-	96	38	0	0	715	1328	0	0
20210127	14:24:09	2	8672	2	172	38	-	97	37	0	0	715	1328	0	0
20210127	14:24:14	0	7976	2	140	39	-	99	31	0	0	715	1328	0	0
20210127	14:24:14	1	8604	2	150	40	-	99	32	0	0	715	1328	0	0
20210127	14:24:14	2	8672	2	164	39	-	98	36	0	0	715	1328	0	0
20210127	14:24:19	0	9446	2	184	40	-	98	35	0	0	715	1328	0	0
20210127	14:24:19	1	8604	2	165	41	-	99	32	0	0	715	1328	0	0
#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20210127	14:24:19	2	8694	2	167	40	-	98	38	0	0	715	1328	0	0
20210127	14:24:24	0	9446	2	158	41	-	98	32	0	0	715	1328	0	0
20210127	14:24:24	1	8604	2	157	41	-	98	32	0	0	715	1328	0	0
20210127	14:24:24	2	8694	2	168	41	-	98	37	0	0	715	1328	0	0
20210127	14:24:29	0	9446	2	145	41	-	98	28	0	0	715	1328	0	0
20210127	14:24:29	1	9892	2	155	41	-	99	7	0	0	715	1328	0	0
20210127	14:24:29	2	8694	2	155	41	-	99	18	0	0	715	1328	0	0
