#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210130   14:36:39      2    10     2    25    27     -     0     0     0     0   715   405     0     0
 20210130   14:36:44      2    10     2    25    27     -     0     0     0     0   715   405     0     0
 20210130   14:36:49      2   685     2    31    27     -     4     0     0     0   715  1189     0     0
 20210130   14:36:54      2  2269     2    68    30     -    83    24     0     0   715  1328     0     0
 20210130   14:36:59      2  2749     2    51    31     -    87    25     0     0   715  1328     0     0
 20210130   14:37:04      2  3259     2   127    32     -    46     8     0     0   715  1328     0     0
 20210130   14:37:09      2  3833     2   124    33     -    60    13     0     0   715  1328     0     0
 20210130   14:37:14      2  3839     2   111    34     -    79    22     0     0   715  1328     0     0
 20210130   14:37:19      2  3839     2    77    34     -    88    25     0     0   715  1328     0     0
 20210130   14:37:24      2  3839     2    55    34     -    70    18     0     0   715  1328     0     0
 20210130   14:37:29      2  3839     2    50    35     -    79    21     0     0   715  1328     0     0
 20210130   14:37:34      2  3841     2    74    35     -    76    20     0     0   715  1328     0     0
 20210130   14:37:39      2  3841     2    98    36     -    66    16     0     0   715  1328     0     0
 20210130   14:37:44      2  3841     2   114    36     -    79    22     0     0   715  1328     0     0
 20210130   14:37:49      2  3841     2   117    37     -    72    19     0     0   715  1328     0     0
 20210130   14:37:54      2  4441     2   125    37     -    63    14     0     0   715  1328     0     0
 20210130   14:37:59      2  4441     2    88    37     -    97    29     0     0   715  1328     0     0
 20210130   14:38:04      2  4441     2   114    38     -    84    23     0     0   715  1328     0     0
 20210130   14:38:09      2  4441     2   121    38     -    96    30     0     0   715  1328     0     0
 20210130   14:38:14      2  4443     2   113    38     -    42     5     0     0   715  1328     0     0
 20210130   14:38:19      2  4443     2   113    39     -    82    23     0     0   715  1328     0     0
 20210130   14:38:24      2  4443     2    88    38     -    88    26     0     0   715  1328     0     0
 20210130   14:38:29      2  4443     2    42    38     -    72    18     0     0   715  1328     0     0
 20210130   14:38:34      2  4445     2    39    38     -    64    14     0     0   715  1328     0     0
 20210130   14:38:39      2  4445     2    55    39     -    79    21     0     0   715  1328     0     0
 20210130   14:38:44      2  4445     2   117    39     -    64    16     0     0   715  1328     0     0
 20210130   14:38:49      2  4445     2    41    38     -    64    14     0     0   715  1328     0     0
 20210130   14:38:54      2  4445     2   116    39     -    97    29     0     0   715  1328     0     0
 20210130   14:38:59      2  4445     2    96    39     -    96    30     0     0   715  1328     0     0
 20210130   14:39:04      2  4445     2    51    39     -    72    18     0     0   715  1328     0     0
 20210130   14:39:09      2  4445     2   113    39     -    60    11     0     0   715  1328     0     0
 20210130   14:39:14      2  5309     2    59    39     -    88    26     0     0   715  1328     0     0
 20210130   14:39:19      2  5309     2   150    39     -    66    15     0     0   715  1328     0     0
 20210130   14:39:24      2  5309     2    77    39     -    94    27     0     0   715  1328     0     0
 20210130   14:39:29      2  5309     2    61    39     -    86    25     0     0   715  1328     0     0
 20210130   14:39:34      2  5309     2    49    39     -    66    15     0     0   715  1328     0     0
 20210130   14:39:39      2  5309     2    50    39     -    79    21     0     0   715  1328     0     0
 20210130   14:39:44      2  5309     2    40    39     -    72    17     0     0   715  1328     0     0
 20210130   14:39:49      2  5309     2    73    39     -    66    15     0     0   715  1328     0     0
 20210130   14:39:54      2  5309     2   115    40     -    97    28     0     0   715  1328     0     0
 20210130   14:39:59      2  5309     2    54    39     -    66    15     0     0   715  1328     0     0
