#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20210130	20:02:19	1	627	2	30	27	-	4	0	0	0	715	1189	0	0
20210130	20:02:24	1	1503	2	121	30	-	77	15	0	0	715	1328	0	0
20210130	20:02:29	1	1503	2	106	31	-	71	10	0	0	715	1328	0	0
20210130	20:02:34	1	1711	2	97	32	-	76	9	0	0	715	1328	0	0
20210130	20:02:39	1	1711	2	106	32	-	72	13	0	0	715	1328	0	0
20210130	20:02:44	1	1711	2	123	33	-	90	17	0	0	715	1328	0	0
20210130	20:02:49	1	1711	2	97	33	-	74	11	0	0	715	1328	0	0
20210130	20:02:54	1	1713	2	106	33	-	91	21	0	0	715	1328	0	0
20210130	20:02:59	1	1713	2	67	34	-	75	16	0	0	715	1328	0	0
20210130	20:03:04	1	1713	2	69	35	-	94	25	0	0	715	1328	0	0
20210130	20:03:09	1	1713	2	111	35	-	72	13	0	0	715	1328	0	0
20210130	20:03:14	1	1713	2	106	36	-	73	11	0	0	715	1328	0	0
20210130	20:03:19	1	1713	2	117	36	-	91	20	0	0	715	1328	0	0
20210130	20:03:24	1	1713	2	61	36	-	91	21	0	0	715	1328	0	0
20210130	20:03:29	1	1713	2	92	36	-	75	13	0	0	715	1328	0	0
20210130	20:03:34	1	1713	2	108	36	-	89	17	0	0	715	1328	0	0
20210130	20:03:39	1	1713	2	57	37	-	90	23	0	0	715	1328	0	0
20210130	20:03:45	1	1713	2	59	37	-	92	23	0	0	715	1328	0	0
20210130	20:03:50	1	1713	2	45	37	-	92	24	0	0	715	1328	0	0
20210130	20:03:55	1	1713	2	112	37	-	89	16	0	0	715	1328	0	0
20210130	20:04:00	1	1715	2	61	37	-	91	23	0	0	715	1328	0	0
20210130	20:04:05	1	1939	2	54	38	-	86	22	0	0	715	1328	0	0
20210130	20:04:10	1	1939	2	42	37	-	92	22	0	0	715	1328	0	0
20210130	20:04:15	1	1939	2	40	38	-	91	19	0	0	715	1328	0	0
20210130	20:04:20	1	1939	2	62	38	-	77	19	0	0	715	1328	0	0
20210130	20:04:25	1	1939	2	96	38	-	83	22	0	0	715	1328	0	0
20210130	20:04:30	1	1939	2	113	38	-	86	10	0	0	715	1328	0	0
20210130	20:04:35	1	1939	2	96	39	-	79	19	0	0	715	1328	0	0
20210130	20:04:40	1	1939	2	59	38	-	93	24	0	0	715	1328	0	0
20210130	20:04:45	1	1939	2	116	39	-	74	16	0	0	715	1328	0	0
20210130	20:04:50	1	1939	2	109	39	-	73	14	0	0	715	1328	0	0
20210130	20:04:55	1	1939	2	91	39	-	89	24	0	0	715	1328	0	0
20210130	20:05:00	1	1939	2	110	39	-	88	11	0	0	715	1328	0	0
20210130	20:05:05	1	1939	2	78	39	-	93	24	0	0	715	1328	0	0
20210130	20:05:10	1	1939	2	85	39	-	92	24	0	0	715	1328	0	0
20210130	20:05:15	1	1939	2	114	39	-	76	12	0	0	715	1328	0	0
20210130	20:05:20	1	1939	2	113	40	-	86	23	0	0	715	1328	0	0
20210130	20:05:25	1	1939	2	57	39	-	91	18	0	0	715	1328	0	0
20210130	20:05:30	1	1939	2	114	39	-	77	17	0	0	715	1328	0	0
20210130	20:05:35	1	1939	2	74	40	-	93	23	0	0	715	1328	0	0
20210130	20:05:40	1	1939	2	59	39	-	91	20	0	0	715	1328	0	0
20210130	20:05:45	1	1939	2	114	40	-	74	16	0	0	715	1328	0	0
20210130	20:05:50	1	1939	2	43	39	-	89	14	0	0	715	1328	0	0
#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20210130	20:05:55	1	1939	2	73	39	-	92	23	0	0	715	1328	0	0
20210130	20:06:00	1	1939	2	114	39	-	76	12	0	0	715	1328	0	0
20210130	20:06:05	1	1939	2	123	39	-	73	12	0	0	715	1328	0	0
20210130	20:06:10	1	1939	2	118	40	-	74	15	0	0	715	1328	0	0
20210130	20:06:15	1	1939	2	102	40	-	74	13	0	0	715	1328	0	0
20210130	20:06:20	1	1939	2	114	40	-	76	14	0	0	715	1328	0	0
20210130	20:06:25	1	1939	2	68	40	-	92	21	0	0	715	1328	0	0
20210130	20:06:30	1	1939	2	92	40	-	93	24	0	0	715	1328	0	0
20210130	20:06:35	1	1939	2	112	40	-	77	17	0	0	715	1328	0	0
20210130	20:06:40	1	1939	2	39	39	-	82	11	0	0	715	1328	0	0
20210130	20:06:45	1	1939	2	60	39	-	77	11	0	0	715	1328	0	0
20210130	20:06:50	1	1939	2	44	39	-	88	13	0	0	715	1328	0	0
20210130	20:06:55	1	1939	2	97	40	-	80	20	0	0	715	1328	0	0
20210130	20:07:00	1	1939	2	120	40	-	74	12	0	0	715	1328	0	0
20210130	20:07:05	1	1939	2	105	40	-	94	26	0	0	715	1328	0	0
20210130	20:07:10	1	1939	2	111	40	-	74	17	0	0	715	1328	0	0
20210130	20:07:15	1	1939	2	120	40	-	75	15	0	0	715	1328	0	0
20210130	20:07:20	1	1939	2	43	40	-	88	14	0	0	715	1328	0	0
20210130	20:07:25	1	1939	2	109	40	-	94	26	0	0	715	1328	0	0
20210130	20:07:30	1	1939	2	124	40	-	74	14	0	0	715	1328	0	0
20210130	20:07:35	1	1939	2	65	40	-	91	17	0	0	715	1328	0	0
20210130	20:07:40	1	1939	2	109	40	-	93	24	0	0	715	1328	0	0
20210130	20:07:45	1	1939	2	65	40	-	91	24	0	0	715	1328	0	0
20210130	20:07:50	1	1939	2	112	40	-	86	21	0	0	715	1328	0	0
20210130	20:07:55	1	1939	2	59	40	-	92	24	0	0	715	1328	0	0
20210130	20:08:00	1	1939	2	45	40	-	87	23	0	0	715	1328	0	0
20210130	20:08:05	1	1939	2	116	40	-	88	16	0	0	715	1328	0	0
20210130	20:08:10	1	2267	2	109	40	-	73	9	0	0	715	1328	0	0
20210130	20:08:15	1	2267	2	118	40	-	69	8	0	0	715	1328	0	0
20210130	20:08:20	1	2267	2	56	40	-	92	24	0	0	715	1328	0	0
20210130	20:08:25	1	2267	2	127	40	-	89	14	0	0	715	1328	0	0
20210130	20:08:30	1	2267	2	98	41	-	70	12	0	0	715	1328	0	0
20210130	20:08:35	1	2267	2	100	40	-	77	12	0	0	715	1328	0	0
20210130	20:08:40	1	2267	2	53	40	-	91	19	0	0	715	1328	0	0
20210130	20:08:45	1	2267	2	103	40	-	74	14	0	0	715	1328	0	0
20210130	20:08:50	1	2267	2	61	40	-	91	18	0	0	715	1328	0	0
20210130	20:08:55	1	2267	2	113	40	-	90	19	0	0	715	1328	0	0
20210130	20:09:00	1	2267	2	69	40	-	94	26	0	0	715	1328	0	0
20210130	20:09:05	1	2267	2	79	40	-	93	24	0	0	715	1328	0	0
20210130	20:09:10	1	2267	2	44	40	-	91	19	0	0	715	1328	0	0
20210130	20:09:15	1	2267	2	61	40	-	92	19	0	0	715	1328	0	0
20210130	20:09:20	1	2267	2	105	41	-	86	23	0	0	715	1328	0	0
20210130	20:09:25	1	2267	2	117	40	-	75	10	0	0	715	1328	0	0
20210130	20:09:30	1	2267	2	73	40	-	92	24	0	0	715	1328	0	0
#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20210130	20:09:35	1	2267	2	103	40	-	78	18	0	0	715	1328	0	0
20210130	20:09:40	1	2267	2	116	40	-	73	13	0	0	715	1328	0	0
20210130	20:09:45	1	2267	2	63	40	-	87	15	0	0	715	1328	0	0
20210130	20:09:50	1	2267	2	116	40	-	76	14	0	0	715	1328	0	0
20210130	20:09:55	1	2267	2	116	41	-	78	18	0	0	715	1328	0	0
20210130	20:10:00	1	2267	2	68	40	-	90	16	0	0	715	1328	0	0
20210130	20:10:05	1	2267	2	108	41	-	72	11	0	0	715	1328	0	0
20210130	20:10:10	1	2267	2	115	40	-	77	17	0	0	715	1328	0	0
20210130	20:10:15	1	2267	2	64	40	-	79	20	0	0	715	1328	0	0
20210130	20:10:20	1	2267	2	65	40	-	91	24	0	0	715	1328	0	0
20210130	20:10:25	1	2267	2	130	40	-	89	18	0	0	715	1328	0	0
