#Date	Time	gpu	fb	bar1	pwr	gtemp	mtemp	sm	mem	enc	dec	mclk	pclk	pviol	tviol
#YYYYMMDD	HH:MM:SS	Idx	MB	MB	W	C	C	%	%	%	%	MHz	MHz	%	bool
20210129	16:27:43	0	465	2	31	27	-	0	0	0	0	715	1189	0	0
20210129	16:27:43	1	657	2	30	27	-	0	0	0	0	715	1189	0	0
20210129	16:27:43	2	525	2	31	26	-	0	0	0	0	715	1189	100	0
20210129	16:27:48	0	1245	2	31	27	-	0	0	0	0	715	1189	0	0
20210129	16:27:48	1	1245	2	30	27	-	0	0	0	0	715	1189	0	0
20210129	16:27:48	2	1245	2	31	26	-	0	0	0	0	715	1189	0	0
20210129	16:27:53	0	1245	2	31	27	-	0	0	0	0	715	1189	0	0
20210129	16:27:53	1	1245	2	30	27	-	0	0	0	0	715	1189	0	0
20210129	16:27:53	2	1245	2	31	26	-	0	0	0	0	715	1189	0	0
20210129	16:27:58	0	1658	2	31	27	-	0	0	0	0	715	1189	0	0
20210129	16:27:58	1	1245	2	30	27	-	0	0	0	0	715	1189	0	0
20210129	16:27:58	2	1245	2	31	26	-	0	0	0	0	715	1189	0	0
20210129	16:28:03	0	2010	2	31	27	-	0	0	0	0	715	1189	0	0
20210129	16:28:03	1	1788	2	30	27	-	9	0	0	0	715	1189	0	0
20210129	16:28:03	2	1245	2	31	26	-	0	0	0	0	715	1189	0	0
20210129	16:28:08	0	2010	2	31	27	-	0	0	0	0	715	1189	0	0
20210129	16:28:08	1	2010	2	30	27	-	0	0	0	0	715	1189	0	0
20210129	16:28:08	2	1976	2	31	26	-	7	0	0	0	715	1189	0	0
20210129	16:28:14	0	8020	2	149	32	-	99	36	0	0	715	1328	0	0
20210129	16:28:14	1	6650	2	141	33	-	97	35	0	0	715	1328	0	0
20210129	16:28:14	2	6756	2	147	32	-	99	33	0	0	715	1328	0	0
20210129	16:28:19	0	8028	2	133	34	-	98	32	0	0	715	1328	0	0
20210129	16:28:19	1	6658	2	130	34	-	97	36	0	0	715	1328	0	0
20210129	16:28:19	2	6764	2	138	34	-	99	25	0	0	715	1328	0	0
20210129	16:28:24	0	8036	2	169	36	-	98	37	0	0	715	1328	0	0
20210129	16:28:24	1	7534	2	173	36	-	96	38	0	0	715	1328	0	0
20210129	16:28:24	2	7570	2	181	36	-	98	35	0	0	715	1328	0	0
