#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210130   20:01:17      0     0     2    31    27     -     0     0     0     0   715  1189     0     0
 20210130   20:01:22      0  1045     2    32    27     -    12     0     0     0   715  1189     0     0
 20210130   20:01:27      0  2873     2   113    30     -    98    29     0     0   715  1328     0     0
 20210130   20:01:32      0  2875     2   128    31     -    59    10     0     0   715  1328     0     0
 20210130   20:01:37      0  2875     2    97    32     -    95    27     0     0   715  1328     0     0
 20210130   20:01:42      0  3739     2   125    33     -    87    26     0     0   715  1328     0     0
 20210130   20:01:47      0  3739     2    86    34     -    94    27     0     0   715  1328     0     0
 20210130   20:01:52      0  3739     2   102    34     -    94    27     0     0   715  1328     0     0
 20210130   20:01:57      0  3739     2   115    35     -    96    29     0     0   715  1328     0     0
 20210130   20:02:02      0  3739     2   123    36     -    98    29     0     0   715  1328     0     0
 20210130   20:02:07      0  3739     2    73    36     -    92    26     0     0   715  1328     0     0
 20210130   20:02:12      0  3739     2    91    36     -    96    29     0     0   715  1328     0     0
 20210130   20:02:17      0  3739     2   126    37     -    75    19     0     0   715  1328     0     0
 20210130   20:02:22      0  3739     2    95    37     -    96    30     0     0   715  1328     0     0
 20210130   20:02:27      0  3739     2   130    37     -    99    34     0     0   715  1328     0     0
 20210130   20:02:32      0  3739     2   163    37     -    57     9     0     0   715  1328     0     0
 20210130   20:02:37      0  3739     2    42    37     -    70    13     0     0   715  1328     0     0
 20210130   20:02:42      0  3739     2    84    38     -    85    21     0     0   715  1328     0     0
 20210130   20:02:47      0  3739     2    70    38     -    81    19     0     0   715  1328     0     0
 20210130   20:02:52      0  3739     2    90    39     -    92    25     0     0   715  1328     0     0
 20210130   20:02:57      0  3739     2    90    39     -    91    25     0     0   715  1328     0     0
 20210130   20:03:02      0  3741     2   135    39     -    67    15     0     0   715  1328     0     0
 20210130   20:03:07      0  3741     2   147    39     -    63    12     0     0   715  1328     0     0
 20210130   20:03:12      0  3741     2    63    39     -    75    16     0     0   715  1328     0     0
 20210130   20:03:17      0  3741     2    55    39     -    95    28     0     0   715  1328     0     0
 20210130   20:03:22      0  3741     2   123    39     -    66    13     0     0   715  1328     0     0
 20210130   20:03:27      0  3741     2    87    40     -    96    28     0     0   715  1328     0     0
 20210130   20:03:32      0  3741     2   116    40     -    95    28     0     0   715  1328     0     0
 20210130   20:03:38      0  3741     2   129    40     -    85    21     0     0   715  1328     0     0
 20210130   20:03:43      0  3741     2    66    40     -    94    27     0     0   715  1328     0     0
 20210130   20:03:48      0  3741     2   135    41     -    77    17     0     0   715  1328     0     0
 20210130   20:03:53      0  3741     2   116    41     -    65    13     0     0   715  1328     0     0
 20210130   20:03:58      0  3741     2   132    41     -    72    15     0     0   715  1328     0     0
 20210130   20:04:03      0  3741     2   116    41     -    64    14     0     0   715  1328     0     0
 20210130   20:04:08      0  3741     2   150    41     -    94    26     0     0   715  1328     0     0
 20210130   20:04:13      0  3741     2   130    41     -    55     7     0     0   715  1328     0     0
