Appliance	Min	Max	avg	std	op
Toaster 	800	1500	1150	0	Devices
Microwave 	600	1500	1050	0	Devices
Electric mower 	500	1500	1000	0	Devices
Hairdryer 	1000	1000	1000	0	Devices
Electric drill 	900	1000	950	0	Devices
Vacuum cleaner 	500	1200	850	0	Devices
Dehumidifier 	300	700	500	0	Devices
Plasma TV 	280	450	365	0	Devices
Fridge/freezer 	200	400	300	0	Devices
Towel rail 	250	250	250	0	Devices
Heating blanket 	130	200	165	0	Devices
LCD TV 	120	200	160	0	Devices
Freezer 	150	150	150	0	Devices
P100 (general)	30	250	140	0	Devices
1080Ti (general)	13	250	131.5	0	Devices
Games console 	45	190	117.5	0	Devices
Desktop computer 	80	150	115	0	Devices
Fridge 	40	120	80	0	Devices
Video, DVD or CD 	20	60	40	0	Devices
TV box 	30	40	35	0	Devices
Laptop 	20	50	35	0	Devices
Extractor fan 	5	36	20.5	0	Devices
Tablet (charge) 	10	10	10	0	Devices
Broadband router 	7	10	8.5	0	Devices
Smart phone (charge) 	2.5	5	3.75	0	Devices
1080Ti (LSTM – EN-FR)			0		Devices
1080Ti (LSTM – EN-ES)			0		Devices
1080Ti (LSTM – FR-EN)			0		Devices
1080Ti (LSTM – ES-EN)			0		Devices
1080Ti (TRANS – EN-FR)			0		Devices
1080Ti (TRANS – EN-ES)			0		Devices
1080Ti (TRANS – FR-EN)			0		Devices
1080Ti (TRANS – ES-EN)			0		Devices
P100 (LSTM – EN-FR)			0		Devices
P100 (LSTM – EN-ES)			0		Devices
P100 (LSTM – FR-EN)			0		Devices
P100 (LSTM – ES-EN)			0		Devices
P100 (TRANS – EN-FR)			0		Devices
P100 (TRANS – EN-ES)			0		Devices
P100 (TRANS – FR-EN)			0		Devices
P100 (TRANS – ES-EN)			0		Devices
1080Ti (LSTM – EN-FR Translate)			0		Devices
1080Ti (LSTM – EN-ES Translate)			0		Devices
1080Ti (LSTM – FR-EN Translate)			0		Devices
1080Ti (LSTM – ES-EN Translate)			0		Devices
1080Ti (TRANS – EN-FR Translate)			0		Devices
1080Ti (TRANS – EN-ES Translate)			0		Devices
1080Ti (TRANS – FR-EN Translate)			0		Devices
1080Ti (TRANS – ES-EN Translate)			0		Devices
P100 (LSTM – EN-FR Translate)			0		Devices
P100 (LSTM – EN-ES Translate)			0		Devices
P100 (LSTM – FR-EN Translate)			0		Devices
P100 (LSTM – ES-EN Translate)			0		Devices
P100 (TRANS – EN-FR Translate)			0		Devices
P100 (TRANS – EN-ES Translate)			0		Devices
P100 (TRANS – FR-EN Translate)			0		Devices
P100 (TRANS – ES-EN Translate)			0		Devices
